depreciation,total_assets,ppe_net,prev_ppe_net,total_equity,retained_earnings,long_term_debt,total_liabilities,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,interest_expense,net_income,cash,capex,cash_from_operations,roe,debt_ratio,opm,year
381410658000000,591925995000000,,,40181717000000,25126145000000,,551744278000000,,,10683875000000,10085186000000,,,3468356000000,39728616000000,-5926999000000,-9622341000000,,,,2023
403384381000000,637847513000000,,,43576927000000,27640143000000,,594270586000000,,,11212804000000,10683875000000,,,3768529000000,29636710000000,596536000000,-2451814000000,,,,2024
434222513000000,674590676000000,,,45645554000000,29690875000000,,628945122000000,,,12049749000000,11212804000000,,,4036638000000,32766660000000,-3946069000000,-1962471000000,,,,2025
