current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,long_term_debt,roe,debt_ratio,opm,year,short_term_investments,depreciation
90752115156,70176974403,23072539304,50954795833,23446719920,8944726146,27399730378,29328025943,158288305435,93159301151,57063980866,101663822442,2426400778,56624482993,273654423227,161830134796,237404005402,143756561462,36250417825,18073573334,40011554115,27545092747,-3761136290,-9471519413,-8398880802,-7403425328,-26982854033,-811480339,467000000,,,,2016,,
103881478919,90752115156,46364346806,37898214838,50954795833,9647472445,29960200601,27399730378,172136602838,75284372782,93159301151,97487162412,3416729711,74649440426,311549094939,273654423227,270347402104,237404005402,41201692835,36250417825,37678036367,40011554115,3523656468,-3761136290,199812238,-126449862,13226375329,-7969938129,17696575520,,,,2017,,
216521973329,103881478919,55977064637,82045047799,37898214838,41861535816,61936989934,29960200601,403417387604,168761814852,75284372782,227937089370,560930630,175480298234,697948340084,311549094939,646906169722,270347402104,51042170362,41201692835,40639369462,37678036367,10402800900,3523656468,7996526013,5122050859,7806401548,-102112868157,12997772160,,,,2018,12261387379.0,
206197962236,216521973329,40151819472,101158890960,82045047799,42993408631,57076030288,61936989934,392923341773,148366992611,168761814852,228238711994,601956438,164684629779,1542384997188,549190542757,1458112224156,513644502556,84272773032,35546040201,60154238142,27220728849,24118534890,8325311352,11596241569,5561853817,7247669343,-4191359966,0,,,,2019,10148311757.0,
312782977240,206197962236,91225250435,113738041339,101158890960,63847806777,59566886415,57076030288,541851968266,227038522809,148366992611,320825076193,6299055590,221026892073,2275082680581,1534268871051,2182879654547,1452206353659,92203026034,82062517392,77640880807,56861504664,14562145227,25201012728,11604929047,3143849171,17531423875,2807307898,14400000000,,,,2020,12498281400.0,
440495596795,312782977240,79099176468,131129575381,113738041339,148928297708,65980989286,59566886415,686717465463,337920864325,227038522809,445789913829,4102376035,240927551634,3280884490810,2275082680581,3137642582994,2182879654547,143241907816,92203026034,111703439439,77640880807,31538468377,14562145227,7267617179,-2729009946,3555927517,-47240811221,9979880000,,,,2021,10881141963.0,
578454964042,440495596795,182973818237,163356345638,131129575381,135082849704,72837934026,65980989286,830502514685,495237726143,337920864325,556057237858,3779905020,274445276827,2621054378127,3280884490810,2465764807395,3137642582994,155289570732,143241907816,124844163660,111703439439,30445407072,31538468377,41108305245,31183106015,123335388545,-14170838373,0,,,,2022,9620213284.0,
562633063301,578454964042,137911561968,180074988733,163356345638,149212994208,73942104069,72837934026,777368404527,481328669084,495237726143,777368404527,4348015907,284410590885,2815145201364,2621054378127,2649260030538,2465764807395,165885170826,155289570732,135366402838,124844163660,30518767988,30445407072,6804140449,-6202603892,-29332425315,-19816187681,323624000,,,,2023,26616986129.0,6990200391.0
656595006501,562633063301,175554526676,221919540567,180074988733,116980905789,136270783194,73942104069,945435946398,550089331589,481328669084,945435946398,8851725181,322487711525,4470934283,4309008444,4759334966488,2649260030538,202512532663,165885170826,143947811390,135366402838,58564721273,30518767988,11748601449,36063285864,26443155041,-62844289753,6985880000,,,,2024,13365258880.0,0.0
1247956668330,656595006501,397224405642,253847935044,234982604334,351826513988,154736169286,136270783194,1599392088824,1022376406029,550089331589,1599392088824,55435824956,511807880241,3308482461,4470934283,8423635704633,4759334966488,447209085460,202512532663,167283325829,143947811390,279925759631,58564721273,64583817432,198284338685,238152396670,-101090412969,0,,,,2025,14665258880.0,810000.0
