total_assets,cash,depreciation,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,long_term_debt,interest_expense,revenue,prev_revenue,income_tax,net_income,operating_income,prev_operating_income,capex,cash_from_operations,roe,debt_ratio,opm,year
33092023489392,1240190271130,4254293795956,80370414417,84068238540,2910747636564,1702371751958,33092023489392,299320998560,20954549667,4134440836729,5255474909452,47763037879,117205082184,169121164894,162393727744,1775335608112,-990655611624,,,,2023
32493623714996,932184798960,3586235002201,78231186234,80370414417,2563654662740,1943135525693,32493623714996,299429951306,13301690764,85362829397,89561565592,-12982884934,136114870311,122130494168,148725698701,6858638758,-253248637689,,,,2024
32920825236135,982152854435,2881416520683,76853573829,78231186234,2448095130657,2073911957233,32920825236135,598648785162,14954774652,165405099672,160260090131,67933128729,130776431540,194511640633,122130494168,-320471404923,284524522790,,,,2025
