날짜,시가,고가,저가,종가,거래량,Open,High,Low,Close,Volume
2026-02-26,239000.0,243500.0,232000.0,239000.0,906126.0,,,,,
2026-02-27,240000.0,241000.0,227000.0,230000.0,672911.0,,,,,
2026-03-03,221000.0,236250.0,220000.0,221500.0,633693.0,,,,,
2026-03-04,215000.0,215500.0,196100.0,197500.0,624203.0,,,,,
2026-03-05,212000.0,219500.0,205500.0,214000.0,542592.0,,,,,
2026-03-06,203500.0,211750.0,201000.0,210000.0,353025.0,,,,,
2026-03-09,192000.0,200500.0,190500.0,200500.0,339266.0,,,,,
2026-03-10,213000.0,215000.0,206000.0,211500.0,255956.0,,,,,
2026-03-11,223000.0,232000.0,220500.0,226500.0,520055.0,,,,,
2026-03-12,226500.0,226500.0,216500.0,218500.0,526197.0,,,,,
2026-03-13,209000.0,219000.0,208500.0,216000.0,436847.0,,,,,
2026-03-16,213500.0,217500.0,209500.0,212000.0,236922.0,,,,,
2026-03-17,217500.0,221000.0,214000.0,217000.0,208804.0,,,,,
2026-03-18,228500.0,245500.0,225000.0,235000.0,598488.0,,,,,
2026-03-19,229500.0,237000.0,227500.0,230500.0,234935.0,,,,,
2026-03-20,232000.0,232000.0,220000.0,231500.0,569040.0,,,,,
2026-03-23,225500.0,225500.0,214000.0,217500.0,481137.0,,,,,
2026-03-25,233000.0,235500.0,226000.0,227500.0,493421.0,,,,,
2026-03-26,229000.0,229000.0,220500.0,222000.0,384833.0,,,,,
2026-03-27,218000.0,224500.0,215000.0,223000.0,310598.0,,,,,
2026-03-30,209500.0,221000.0,209000.0,219500.0,286890.0,,,,,
2026-03-31,213000.0,217500.0,208000.0,210500.0,347780.0,,,,,
2026-04-01,228000.0,229500.0,220000.0,227000.0,381511.0,,,,,
2026-04-02,228500.0,231500.0,214000.0,217000.0,351480.0,,,,,
2026-04-03,223000.0,227000.0,220000.0,221000.0,141907.0,,,,,
2026-04-06,222000.0,229500.0,222000.0,226000.0,163542.0,,,,,
2026-04-07,230500.0,234500.0,220500.0,222000.0,209007.0,,,,,
2026-04-08,,,,,,240500.0,243000.0,230500.0,238500.0,402137.0
2026-04-09,,,,,,234500.0,236500.0,224000.0,230000.0,453988.0
2026-04-10,,,,,,233000.0,237000.0,232000.0,234500.0,324396.0
2026-04-13,,,,,,233500.0,236000.0,231000.0,235000.0,381274.0
2026-04-14,,,,,,238500.0,250000.0,238500.0,246000.0,431551.0
2026-04-15,,,,,,246000.0,246000.0,246000.0,246000.0,0.0
