날짜,시가,고가,저가,종가,거래량,Open,High,Low,Close,Volume
2026-02-27,69000.0,71200.0,69000.0,70200.0,140942.0,,,,,
2026-03-03,68000.0,74700.0,65900.0,65900.0,319870.0,,,,,
2026-03-04,63500.0,64000.0,55800.0,55900.0,374487.0,,,,,
2026-03-05,60300.0,63400.0,59600.0,61200.0,288813.0,,,,,
2026-03-06,59800.0,64100.0,59800.0,61700.0,172768.0,,,,,
2026-03-09,58600.0,63100.0,57500.0,63100.0,171425.0,,,,,
2026-03-10,66700.0,66700.0,63300.0,64300.0,191734.0,,,,,
2026-03-11,64600.0,66200.0,62600.0,63100.0,152111.0,,,,,
2026-03-12,64900.0,67200.0,64000.0,64100.0,196490.0,,,,,
2026-03-13,63100.0,72000.0,62000.0,69100.0,368452.0,,,,,
2026-03-16,69000.0,69000.0,65000.0,66000.0,136741.0,,,,,
2026-03-17,66800.0,67200.0,65300.0,65300.0,88340.0,,,,,
2026-03-18,65300.0,66100.0,64700.0,65000.0,98936.0,,,,,
2026-03-19,62900.0,63700.0,61700.0,61800.0,113464.0,,,,,
2026-03-20,62700.0,64100.0,62200.0,63600.0,129956.0,,,,,
2026-03-23,61400.0,61600.0,59700.0,60500.0,107035.0,,,,,
2026-03-24,61900.0,62200.0,59200.0,60400.0,87100.0,,,,,
2026-03-25,61500.0,64600.0,57600.0,58900.0,262240.0,,,,,
2026-03-26,57900.0,58000.0,56100.0,56200.0,167223.0,,,,,
2026-03-27,54600.0,58800.0,54300.0,58000.0,146121.0,,,,,
2026-03-30,54900.0,57900.0,54900.0,55500.0,81294.0,,,,,
2026-03-31,54800.0,57200.0,54400.0,54700.0,117995.0,,,,,
2026-04-01,56600.0,58200.0,56300.0,57300.0,92543.0,,,,,
2026-04-02,58700.0,58700.0,53100.0,53900.0,166881.0,,,,,
2026-04-03,54700.0,55200.0,53100.0,53800.0,75262.0,,,,,
2026-04-06,54000.0,54800.0,53000.0,53400.0,89072.0,,,,,
2026-04-07,53900.0,55500.0,52900.0,53400.0,89539.0,,,,,
2026-04-08,,,,,,55700.0,56900.0,55100.0,56600.0,124664.0
2026-04-09,,,,,,56000.0,56100.0,54600.0,55000.0,89776.0
2026-04-10,,,,,,56300.0,57500.0,55800.0,56200.0,81446.0
2026-04-13,,,,,,54800.0,58200.0,54600.0,55800.0,94257.0
2026-04-14,,,,,,57000.0,57400.0,56400.0,56500.0,63099.0
2026-04-15,,,,,,56500.0,56500.0,56500.0,56500.0,0.0
