current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,long_term_debt
,,14565387864,6621543000,,,,,,1146494709343,,,,599071742826,232177807582,547422966517,1089172086930.0,0.0,,,,,,,,,,231925929728,291504267270,-567516336888,,,,2021,
,,101981078829,16394976000,,,,,,1570179025400,,,,627006736608,625362435158,943172288792,1808894546708.0,1089172086930.0,,,,,,,,,,442664517277,344071664610,-145843570373,,,,2022,
,,219989971000,21076902000,,,,,,2005097998970,,,,2005097998970,987775520180,1317741413518,1978495535892.0,1808894546708.0,,,,,,,,,,425017760533,477023578174,-100297870607,,,,2023,
,,119832549324,6388100000,,,,,,2285904738684,,,,2285904738684,1283354688597,1577298222080,,,,,,,,,450737459737.0,551835228989.0,,355959818501,398841092866,-452944744768,,,,2024,
,,325383761882,16380800000,,,,,,2651445897849,,,,2651445897849,1618513539934,1878678882040,1933995926896.0,1896009590086.0,,,,,,,468574150329.0,450737459737.0,,400686468976,355205411881,-32332664203,,,,2025,
