timestamp,bid_price_1,ask_price_1,bid_total,ask_total,imbalance_ratio,note
2026-03-11 09:00:05,0,0,0,0,1.0,no_orderbook_api
2026-03-11 09:30:06,0,0,0,0,1.0,no_orderbook_api
2026-03-11 10:02:39,0,0,0,0,1.0,no_orderbook_api
2026-03-11 10:30:04,0,0,0,0,1.0,no_orderbook_api
2026-03-11 11:00:05,0,0,0,0,1.0,no_orderbook_api
2026-03-11 11:31:56,0,0,0,0,1.0,no_orderbook_api
2026-03-11 12:00:15,0,0,0,0,1.0,no_orderbook_api
2026-03-11 12:39:45,0,0,0,0,1.0,no_orderbook_api
2026-03-11 13:30:07,0,0,0,0,1.0,no_orderbook_api
2026-03-11 14:00:08,0,0,0,0,1.0,no_orderbook_api
2026-03-11 14:33:02,0,0,0,0,1.0,no_orderbook_api
2026-03-11 15:00:07,0,0,0,0,1.0,no_orderbook_api
