current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
17539936619,30535698509,3297104708,6556621543,5651568069,3851099182,827769092,8439207242,8867361927,40813572220,8910723549,21763717621,3143666000,5323517899,12052584154,-28225616459,28760988066,3553891396,18335817610,1495578330,9852532512,2058313066,8483285098,2223275561,5799762893,-1739508487,685599342,-4905723122,-4400635213,-3369209475,289810121,692886948,5885961556,,,,2016
29543251130,17539936619,19707713415,4058032814,3912242652,5651568069,884638182,9487522273,8439207242,40544532973,11723533142,8910723549,3007114400,8050804620,14891653694,-46177358815,25652879279,3908490780,3553891396,1679956843,1495578330,2228533937,2058313066,3213084534,2166867387,-5805528343,-6655114874,-6379930998,-6379930998,-3689052797,205274674,484576695,2836193285,,,,2017
57317003731,29543251130,26363208138,9295432492,19217163162,3912242652,1001545430,11545193807,9487522273,70258505276,15722444522,11723533142,2068393910,7093439008,18589268781,-42482014495,51669236495,18702671511,3908490780,2437565305,1679956843,16265106206,2228533937,3117507701,3213084534,6177595385,-5805528343,5199251694,4278281889,-5077994130,187188410,1272860868,-7918756094,,,,2018
55271846832,57317003731,49234522421,3483034724,547266375,19217163162,1015757491,15548040620,11545193807,72393422362,14416461138,15722444522,1100000000,3701843080,18027158831,-65369499427,54366263531,4368519899,18702671511,2094622326,2437565305,2273897573,16265106206,6720720717,3117507701,-19856234674,6177595385,-22654326016,-24963194556,27468802,261621920,1213747553,1771394981,,,,2019
54966041484,55271846832,5786916818,39733595111,25158122114,547266375,1095752978,12687236719,15548040620,76387767596,15543810427,14416461138,0,0,19146657781,-68518463292,57241109815,43470793384,4368519899,1893897586,2094622326,41576895798,2273897573,7208994472,6720720717,1580436682,-19856234674,1293239060,-2046709557,-17881396374,770508437,709242958,-24388980066,,,,2020
16990417074,54966041484,10581667547,37310558286,662516180,25158122114,1202695903,22931732326,12687236719,48967314569,14442310769,15543810427,6000000000,0,17778798890,-94762651496,31188515679,3902734752,43470793384,1951615800,1893897586,1951118952,41576895798,7339020982,7208994472,-28096765516,1580436682,-28582825112,-28589754575,-8761867982,1276003176,107649546,6782061841,,,,2021
107871877882,16990417074,5523656495,51237182095,1860387824,662516180,1267216347,18927680600,22931732326,143735698279,18574495837,14442310769,9294980000,187740000,21914692257,-119188666885,121821006022,5062376493,3902734752,2023733565,1951615800,3038642928,1951118952,8334190620,7339020982,-28638371344,-28096765516,-27983021370,-27773705664,-26420974927,1544368134,316400169,-99638137372,,,,2022
102428703640,107871877882,7951488609,30326228051,2018264778,1860387824,1700686292,17897832819,18927680600,132578400082,34849044308,18574495837,2088656000,0,132578400082,-143629598204,94717486056,4950929999,5062376493,2030286742,2023733565,2920643257,3038642928,10668645457,8334190620,-32655289595,-28638371344,-3793757739,-28489780658,-22047670114,427261,406635919,13379142677,,,,2023
141218953845,102428703640,13106075270,514302788663,35326045575,2018264778,1769343290,17397129227,17897832819,170778209860,34779293086,34849044308,2727960000,7617482670,170778209860,-142863107075,132359641489,34007602680,4950929999,2226905237,2030286742,31780697443,2920643257,13085469272,10668645457,-2733857885,-32655289595,471924804,-1589923760,-26033707918,130217,1085458527,-327657033,,,,2024
198957801705,141218953845,15192017092,516936277435,87640705644,35326045575,1815145309,19053069608,17397129227,229853200876,38975969509,34779293086,0,9485219913,229853200876,-90855131694,186847579442,99838669222,34007602680,1945760670,2226905237,97892908552,31780697443,18174546472,13085469272,52081332705,-2733857885,-1609519263,54396875656,8302368829,132173,2268237349,-4082071851,,,,2025
