current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year,depreciation,short_term_debt,long_term_debt
162018577769,129079814235,46538322193,15062438834.0,15870141575.0,31024670288,25775197617,29166374656,235455513960,26228089054,12799152243,36548086920,152983623159,198907427040,163071753745,138364037587,91018165599,80025713361,72053588146,58338324226,46730872752,41653745161,25322715394,16684579065,27147459778,19633766149,37514615516,-16130439104,8328236155.0,,,,2016,,,
203881129475,162018577769,52646253279,36700385229.0,15062438834.0,49432945178,27996699889,25775197617,276692093358,40742803164,26228089054,48376530202,186347008880,228315563156,275390544841,163071753745,156290407073,91018165599,119100137768,72053588146,61421771513,46730872752,57678366255,25322715394,52950515849,39443420804,18013448801,-5604016005,-69669913.0,,,,2017,,,
228216663309,203881129475,56363883850,45980966440.0,36700385229.0,57907811248,45932687536,27996699889,319834248958,42639485312,40742803164,48237452381,233297825555,271596796577,328682009873,275390544841,184007329782,156290407073,144674680091,119100137768,77090203219,61421771513,67584476872,57678366255,70101780607,53521667778,41524555935,-26885748477,0.0,,,,2018,94757550488.0,,
53196440125,228216663309,19975968698,14315585025.0,45980966440.0,7473645180,13906357127,45932687536,101648328067,6106135596,42639485312,12815988755,233932995831,88832339312,42078133191,56896898113,23323868960,32306843280,18754264231,24590054833,17291795015,16031117827,1462469216,8558937006,56930012,8394444330,-3557829989,8389377268,,,,,2019,39529468024.0,,
93239081309,25625594197,34965203920,8498018870.0,1630456691.0,11661252374,21662869222,3281802203,239229055636,18093640566,1989984813,41723577341,168957991829,197505478295,39774309564,29478563127,18364206904,11877492337,21410102660,17601070790,23874198178,10309883244,-2464095518,7291187546,57392066468,59201747768,9833579602,13144259140,,,,,2020,66974782148.0,5332366592.0,9651213625.0
126622572632,93239081309,53405058190,14008197234.0,8498018870.0,9172849576,23232676276,21662869222,305839094910,23242307233,18093640566,54300013379,211431956249,251539081531,81623934759,39774309564,31911886233,18364206904,49712048526,21410102660,27085401788,23874198178,22626646738,-2464095518,57730933160,46616689014,28477069630,-17058956932,,,,,2021,39923476716.0,5000000000.0,10150000000.0
128409189488,126622572632,46323707553,10452313083.0,14008197234.0,15730289940,32027277546,23232676276,328430995660,22197474143,23242307233,46254379594,241799371660,282176616066,72790993366,81623934759,30276143185,31911886233,42514850181,49712048526,25611947442,27085401788,16902902739,22626646738,33902208406,40757933000,19108647640,-17441955479,,,,,2022,45882197262.0,5000000000.0,12000000000.0
165192022075,128409189488,87574515588,15527656482.0,10452313083.0,17706980162,48935656616,32027277546,401441877193,35094335258,22197474143,401441877193,273423163563,341312404466,94716683944,72790993366,36850212610,30276143185,57866471334,42514850181,30895716203,25611947442,26970755131,16902902739,6229845956,42696378649,32458332894,-15036163087,,,,,2023,74882197262.0,,13000000000.0
241142492384,165192022075,121476311283,38166625224.0,15527656482.0,28552490470,72309459679,48935656616,513564423195,51738271298,35094335258,513564423195,352804678255,431463424801,215508095005,94716683944,79701857380,36850212610,135806237625,57866471334,47323256734,30895716203,88482980891,26970755131,21073706213,95820109996,66625215940,-23949808588,,,,,2024,67000000000.0,,2224923166.0
268825537021,241142492384,182779167734,,,26527847729,68799967926,72309459679,584879159412,48369925365,51738271298,78501446934,429480985089,506377712478,281770488,121328562,77183969626,79701857380,130580073173,135806237625,57179158404,47323256734,73400914769,88482980891,15588209855,91684937183,81417272271,-833158771,,,,,2025,74000000000.0,,10979267182.0
