total_assets,current_assets,prev_current_assets,cash,inventory,short_term_investments,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,current_liabilities,prev_current_liabilities,long_term_debt,operating_income,prev_operating_income,sga_expense,prev_sga,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,income_tax,net_income,revenue,prev_revenue,short_term_debt,capex,cash_from_operations,roe,debt_ratio,opm,year
120185301263,62813519249,50838474767,10206024752,16671090634,19071836955,11934683021,9170436385,26785383697,26982085867,68373885015,40356615022,120185301263,36373171473,26647553338,16000000000,-369253550,4336496285,7445221406,7149937457,68810212758,65760960964,7075967856,11486433742,-313220907,-1092879556,75886180614,77247394706,0,-17067185680,-2632697872,,,,2024
166522218018,104946060694,62813519249,22701744036,16374632803,40340905930,14894778354,11934683021,30058999323,26785383697,106929208584,32976926667,166522218018,37858687094,36373171473,8200000000,-8908556551,-369253550,11981372261,7445221406,70471155532,68810212758,3072815710,7075967856,-2672643983,-7101548368,73543971242,75886180614,2000000000,-32409438320,-9685015063,,,,2025
