current_assets,prev_current_assets,cash,short_term_investments,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable
,,225287448498,1255518124579,,,,2141931383550,,,,,400229387487,533377515598,1741701996063,456725871196,929000929909,,,,,,,115013617843.0,474219856324.0,,122451949931,-124958284380,272646504511,,,,2022,,
,,127025638858,1147115602719,,,,1852439180084,,,,,1852439180084,549420553457,1703855316376,369505555858,456725871196,,,,,,,,,,22317719237,29346360897,-45278721205,,,,2023,,
,,312701506497,845406651305,,,,2843596036892,,,,,2843596036892,499757259954,2022452177574,267545049154,369505555858,,,,,,,,,,-50117070464,-128019868867,53563803186,,,,2024,,
,,105552891515,800748039267,,,,2955743509068,,,,,2955743509068,445261525575,2037454202719,651368342533,267545049154,,,,,,,,,,-56173210192,102507138558,-361760173273,,,,2025,,
