current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,retained_earnings,total_equity,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
1511133286259,1239297510542,138707350243,16856974899.0,1061758765515,795501656692,15248404330,2036542846509,1772594157176,5521193038772,541606314059,2739265217820,1362369307140,1285580124671,513807878508.0,1252274347266,2781927820952,6081945642204,5055766403519,5410826301199,4506506640312,671119341005,549259763207,442674850590.0,362626045395.0,228444490415,186633717812,91019413577,68210130933,208404672468,108172971125.0,50726291783.0,-705460944592,,,,2016
1803525144813,1511133286259,154297914675,21121010934.0,1307444027746,1061758765515,15658455079,2429542803073,2036542846509,6308948690026,573527129948,2782737758480,1890070241317,1362369307140,,358916097798,3526210931546,7110391207800,6081945642204,6354235538289,5410826301199,756155669511,671119341005,520504249077.0,442674850590.0,235651420434,228444490415,73136218332,38887844435,246413341230,120498255012.0,55337174887.0,-689603421477,,,,2017
2180844614750,1803525144813,163334766909,35493942401.0,1524562676319,1307444027746,21224161938,3306401976471,2429542803073,7868566775246,592145361881,3130737840373,2614012911832,1890070241317,,398817640000,4737828934873,9219680477069,7110391207800,8391607542871,6354235538289,828072934198,756155669511,585386008578.0,520504249077.0,242686925620,235651420434,99818962065,66600069013,61914215815,155548761973.0,85667884477.0,-843492927125,,,,2018
2322199311011,2180844614750,220910016916,,1377217811504,1336459741116,22859293319,3518957879624,3306401976471,9110016110171,612147905317,3655245272225,2508694254095,2614012911832,,59205213443,5454770837946,10415108625820,9219680477069,9442517706512,8391607542871,972590919308,828072934198,665404573134.0,585386008578.0,307186346174,242686925620,93833541248,50889855210,849229005556,,,-318723935743,,,,2019
2538547347452,2322199311011,387621293497,,1420450432670,1377217811504,25323773935,3496200701892,3518957879624,9643498959607,718059907701,4039942261540,2807606983722,2508694254095,,279222060000,5603556698067,10781127150206,10415108625820,9779955604583,9442517706512,1001171545623,972590919308,675833984331.0,665404573134.0,325337561292,307186346174,202298388452,142623241320,572347643891,,,-315839525671,,,,2020
2348222541961,2538547347452,229501708263,,1371077751375,1420450432670,25128745438,3312064212910,3496200701892,8993928516384,747680533239,4016357938933,2448916060807,2807606983722,,199356848400,4977570577451,11343651787492,10781127150206,10272323722285,9779955604583,1071328065207,1001171545623,727447299540.0,675833984331.0,343880765667,325337561292,239190286694,158279696245,344143274398,,,366409537628,,,,2021
2956459492592,2348222541961,582914148949,,1422739126795,1371077751375,34299355194,3364173934235,3312064212910,9693299818264,924838724889,4034308338662,3108759801795,2448916060807,,209333268400,5658991479602,12130712862374,11343651787492,10944706303203,10272323722285,1186006559171,1071328065207,774219671929.0,727447299540.0,411786887242,343880765667,285343810348,196821784424,622939080023,,,-566860798377,,,,2022
2488306558137,2956459492592,290135224989,,1433160224550,1422739126795,29836219535,3327912582905,3364173934235,9357587266747,1112394483636,4043096242871,2622292399933,3108759801795,,398820248400,9357587266747,11767893663269,12130712862374,10468766117130,10944706303203,1299127546139,1186006559171,,,480234863157,411786887242,324971450811,242876054885,836599672323,,,-80050815864,,,,2023
2783266786865,2488306558137,277178323233,,1600260148395,1433160224550,36018783815,3323597366657,3327912582905,9743855522383,1325383720317,4225599854802,2996783656303,2622292399933,,0,5518255667581,12116761147160,11767893663269,10730099638624,10468766117130,1386661508536,1299127546139,855998441403.0,818892682982.0,530663067133,480234863157,110025857048,268320297629,606203425256,,,-278319354708,,,,2024
2766670108486,2783266786865,307146405592,,1557922171508,1600260148395,32899594521,3650806055273,3323597366657,10339205686286,1524687025037,4439637704423,3125807103845,2996783656303,2124294614315.0,398820948400,5899567981863,19164085998,18749060489,10933037584836,10730099638624,1351614886444,1386661508536,843534065816.0,855998441403.0,508080820628,530663067133,70941295278,258742959823,902359906502,,,-582983850511,,,,2025
