ticker,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,ask_price_4,ask_vol_4,ask_price_5,ask_vol_5,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,bid_price_4,bid_vol_4,bid_price_5,bid_vol_5,total_ask_vol,total_bid_vol,order_imbalance,spread,spread_pct,bid_depth_ratio,timestamp
82270,17350,5,17390,13,17400,6,17410,30,17420,50,17270,80,17260,89,17250,1,17240,130,17190,82,104,382,0.5720164608935799,80,0.4632310364791759,0.2094240837641512,2026-05-21 09:00:54
82270,17650,2,17670,43,17680,4,17690,1,17700,200,17580,155,17570,22,17550,7,17530,18,17510,328,250,530,0.3589743589697567,70,0.3981797497153594,0.2924528301831612,2026-05-21 09:11:47
82270,17570,10,17580,36,17590,100,17600,200,17620,168,17500,7,17430,14,17420,231,17400,100,17390,60,514,412,-0.110151187903778,70,0.3999999999997713,0.0169902912617235,2026-05-21 09:20:12
82270,17520,85,17530,5,17550,8,17560,8,17570,5,17430,12,17420,57,17400,170,17390,5,17370,5,111,249,0.3833333333226851,90,0.516351118760461,0.0481927710824018,2026-05-21 09:28:44
82270,17360,119,17400,51,17410,71,17430,752,17470,72,17330,6,17320,32,17300,10,17260,71,17250,1,1065,120,-0.7974683544236502,30,0.1731102135024967,0.0499999999958333,2026-05-21 09:39:58
82270,17500,200,17510,31,17550,5,17580,35,17600,101,17450,148,17440,133,17430,247,17420,200,17410,155,372,883,0.4071713147377915,50,0.286532951289234,0.1676104190241493,2026-05-21 09:51:21
82270,17340,203,17350,2,17360,37,17380,26,17420,1,17310,1,17300,75,17290,187,17280,260,17270,756,269,1279,0.6524547803575423,30,0.1733102253031927,0.0007818608287663,2026-05-21 10:01:24
82270,17320,64,17330,92,17340,50,17380,1001,17390,300,17290,108,17280,1,17270,52,17260,8,17250,198,1507,367,-0.6083244396979278,30,0.1735106998263889,0.2942779291472949,2026-05-21 10:11:45
82270,17150,1,17160,106,17180,58,17190,10,17200,428,17110,35,17100,154,17080,1,17060,1,17040,93,603,284,-0.3596392333668586,40,0.2337814143774203,0.1232394366153789,2026-05-21 10:20:29
82270,17100,369,17110,10,17130,50,17140,100,17150,60,17090,35,17040,44,17000,76,16990,428,16980,24,589,607,0.0150501672239544,10,0.0585137507313876,0.0576606260287041,2026-05-21 10:29:47
82270,17050,59,17060,622,17070,78,17080,77,17090,65,17020,1,17010,6,17000,26,16990,29,16980,295,901,357,-0.432432432428995,30,0.176263219741377,0.0028011204481008,2026-05-21 10:42:19
82270,16940,49,16950,17,16960,66,16990,58,17000,1290,16930,24,16920,3,16900,5,16890,4,16880,204,1480,240,-0.7209302325539482,10,0.0590667454222923,0.0999999999958333,2026-05-21 11:02:39
82270,17100,110,17110,23,17120,198,17130,59,17150,62,17060,46,17050,18,17040,103,17030,20,17020,200,452,387,-0.0774731823590289,40,0.2344665885109997,0.1188630490925358,2026-05-21 11:12:54
82270,17120,30,17130,51,17140,5,17150,62,17160,19,17110,3,17100,9,17090,94,17080,34,17070,1,167,141,-0.0844155844128436,10,0.058445353594355,0.0212765957431718,2026-05-21 11:24:32
82270,17130,61,17140,44,17150,2,17170,246,17180,582,17110,38,17100,51,17090,6,17080,36,17070,139,935,270,-0.5518672199124327,20,0.1168907071887101,0.1407407407355281,2026-05-21 11:46:31
82270,17180,129,17190,619,17200,261,17210,89,17230,4,17150,2,17110,6,17100,53,17090,6,17080,1,1102,68,-0.8837606837531303,30,0.1749271137025219,0.029411764701557,2026-05-21 11:57:48
82270,17130,8,17140,18,17150,152,17160,14,17170,178,17090,45,17080,60,17050,20,17040,5,17030,2,370,132,-0.4741035856479262,40,0.2340550029255506,0.3409090908832644,2026-05-21 12:07:33
82270,17020,52,17050,17,17100,100,17130,16,17140,50,17010,200,17000,151,16980,300,16970,2,16960,1,235,654,0.4713160854840122,10,0.058788947677802,0.3058103975488408,2026-05-21 12:18:01
82270,16960,143,16970,46,16980,2,16990,256,17000,30,16940,30,16930,210,16920,212,16910,347,16900,476,477,1275,0.4554794520521947,20,0.118063754427321,0.0235294117645213,2026-05-21 12:29:05
82270,16970,96,16980,40,16990,17,17000,168,17140,50,16940,52,16930,251,16920,412,16910,347,16900,471,371,1533,0.6102941176438536,30,0.1770956316409816,0.03392041748184,2026-05-21 12:41:00
82270,16990,15,17000,1011,17010,7,17020,7,17030,207,16980,514,16970,111,16960,473,16950,587,16940,101,1247,1786,0.1777118364649597,10,0.0588928150765259,0.2877939529659138,2026-05-21 13:04:09
82270,16990,214,17000,258,17010,73,17020,44,17030,201,16980,136,16970,162,16960,174,16950,588,16940,102,790,1162,0.190573770490827,10,0.0588928150765259,0.1170395869180977,2026-05-21 13:14:34
