current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year,sga_expense,prev_sga,equity_corrected
491982014229,698108662286,182298788180,262500000000,18946845928,24426530004,2402757864,1336963637147,830878168011,2308018643306,289949145220,239598925274,59570000000,10785446664,998353137328,726949182043,1309665505978.0,694856269443,615357060781,556420448712,492742473637,138435820731,122614587144,65785845041,58321728935,75448763354,57622077994,112205584728,24907120258.0,3514314512.0,-499092551272,,,,2016,,,
344658525309,491982014229,171994284006,114200000000,12719466086,18946845928,5373338610,1624157701429,1336963637147,2435323991646,252631886497,289949145220,43828000000,8154940000,1141985104486,680107279346,1293338887160.0,668041930489,694856269443,597720293791,556420448712,70321636698,138435820731,-29952294408,65785845041,-33508413449,-39852527562,3966429904,50821510415.0,25062962146.0,-207487557298,,,,2017,100273931106.0,72649975690.0,
327545212242,344658525309,207084244789,49200000000,22199000706,12719466086,6647674195,2262556567548,1624157701429,3150767406528,421768555471,252631886497,87762000000,20906200000,1524675674151,643171217392,1626091732377.0,787616484264,668041930489,708978983297,597720293791,78637500967,70321636698,2407781942,-29952294408,-42870095019,-44147197621,106400009612,,,-223654732032,,,,2018,,,
498624595905,327545212242,221626613908,210307931506,31470675466,22199000706,6191060102,2196950145121,2262556567548,3470353602407,632416773041,421768555471,77398200000,99693559525,1866151021754,644256345541,,979432908913,787616484264,839893380367,708978983297,139539528546,78637500967,51868333792,2407781942,15480128121,6729906734,156800907529,,,-222485640849,,,,2019,,,
520916396884,498624595905,142335876230,175000000000,5408241113,31470675466,6702722747,2129666565094,2196950145121,3313512458993,361866976688,632416773041,149132977885,231559004348,1879962245119,520558065372,1433550213874.0,453881181278,979432908913,477034530821,839893380367,-23153349543,139539528546,-86150819625,51868333792,-175415815614,-166876406727,-155825957476,,,-98702908388,,,,2020,,,
698166528275,520916396884,108684256211,0,7471347482,5408241113,6852805562,2152638394883,2129666565094,3471796250289,483277821862,361866976688,141911076923,134971601151,1957355763818,489633451298,1514440486471.0,414466172837,453881181278,414664935676,477034530821,-198762839,-23153349543,-55245896594,-86150819625,-65884916614,-78564040253,-35129167750,,,-73654074462,,,,2021,,,
694517541841,698166528275,487396039733,5333286531,19854694322,7471347482,6990615244,2260516318469,2152638394883,3511523805592,1174093555790,483277821862,62177750000,0,1826356918264,524910068727,1685166887328.0,587637410933,414466172837,516056711611,414664935676,71580699322,-198762839,10412544286,-55245896594,30133291670,15811360776,63757608877,,,509079686312,,,,2022,,,
862802346434,694517541841,688899183541,108000000000,26638910529,19854694322,7723357819,2236419363169,2260516318469,3618279367040,690669675163,1174093555790,136275100000,184552948137,3618279367040,571762000712,1785465087170.0,34133420665,103166266701,760244214200,516056711611,233954899443,71580699322,145770072264,10412544286,11315981919,80184040634,287641360617,,,-26116845032,,,,2023,,,
863960043760,862802346434,577696235491,77000000000,25206465854,26638910529,7591732583,2509929971589,2236419363169,3933768381301,668181620209,690669675163,168520000000,111350000000,3933768381301,628783591739,2075202630542.0,1072108965111,994199113643,834030708842,760244214200,238078256269,233954899443,136055145217,145770072264,-9880289223,110693395334,195930160003,,,-186140641118,,,,2024,,,
885049018540,863960043760,341761126505,5000000000,29015146557,25206465854,8493484878,2542362830249,2509929971589,4080365472520,755449653681,668181620209,137240950000,6950000000,4080365472520,701944873612,2212696135949.0,45157885278,46810461338,882109020970,834030708842,267758005491,238078256269,155816230766,136055145217,-9482546867,144781456677,223864661526,,,-397015365682,,,,2025,,,
