date,short_proxy_vol,short_proxy_foreign,short_proxy_score
2026-02-10,0.0,0,0.0
2026-02-11,0.0,0,0.0
2026-02-12,0.0,0,0.0
2026-02-13,0.0,1,0.5
2026-02-19,0.0,0,0.0
2026-02-20,0.0,0,0.0
2026-02-23,0.0,0,0.0
2026-02-24,0.0,0,0.0
2026-02-25,0.0,0,0.0
2026-02-26,0.0,1,0.5
2026-02-27,0.0,0,0.0
2026-03-03,0.0,0,0.0
2026-03-04,0.0,0,0.0
2026-03-05,0.0,1,0.5
2026-03-06,0.0,0,0.0
2026-03-09,0.0,0,0.0
2026-03-10,0.0,1,0.5
2026-03-11,0.0,0,0.0
2026-03-12,0.0,0,0.0
2026-03-13,0.0,1,0.5
2026-03-16,0.0,1,0.5
2026-03-17,0.0,0,0.0
2026-03-18,0.0,0,0.0
2026-03-19,0.0,0,0.0
2026-03-20,0.0,0,0.0
2026-03-23,5.0,0,2.5
2026-03-24,2.981,0,1.49
2026-03-25,0.0,0,0.0
2026-03-26,0.76,0,0.38
2026-03-27,0.0,0,0.0
2026-03-30,0.425,0,0.212
2026-03-31,0.881,0,0.44
2026-04-01,0.0,0,0.0
2026-04-02,1.018,0,0.509
2026-04-03,0.492,0,0.246
2026-04-06,0.457,0,0.228
2026-04-07,0.0,0,0.0
2026-04-08,0.0,0,0.0
2026-04-09,0.0,0,0.0
2026-04-10,0.0,0,0.0
2026-04-13,0.488,0,0.244
2026-04-14,0.0,0,0.0
2026-04-15,0.0,0,0.0
2026-04-16,0.0,0,0.0
2026-04-17,0.73,0,0.365
2026-04-20,0.0,0,0.0
2026-04-21,0.0,0,0.0
2026-04-22,0.715,0,0.358
2026-04-23,0.0,0,0.0
2026-04-24,0.0,0,0.0
2026-04-27,0.0,0,0.0
2026-04-28,0.656,0,0.328
2026-04-29,0.0,0,0.0
2026-04-30,0.0,0,0.0
2026-05-04,0.0,0,0.0
2026-05-06,1.017,0,0.508
2026-05-07,0.0,0,0.0
2026-05-08,0.816,0,0.408
2026-05-11,1.082,0,0.541
2026-05-12,0.0,0,0.0
2026-05-13,0.843,0,0.422
2026-05-14,0.0,0,0.0
2026-05-15,0.927,0,0.464
2026-05-18,0.805,0,0.402
2026-05-19,0.745,0,0.372
