current_assets,prev_current_assets,cash,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,accounts_receivable,prev_accounts_receivable
,,1011701875328,,,,14900311234207.0,,,,,3936201007249.0,4994717277797,10964110226958,5200822510213.0,4954861345574.0,,,,,,,,,,211111190212.0,-1309519499261,1854263840116,,,,2016,,
,,1209015663790,,,,15751476329733.0,,,,,4299476832291.0,5600587220357,11451999497442,6321560921969.0,5200822510213.0,,,,,,,,,,643193862964.0,-250114337079,89325271436,,,,2017,,
,,1516585546977,,,,19349721183929.0,,,,,7124501967739.0,6612515753726,12225219216190,,,,,,,,,,,,745049185447.0,260609735389,-1704729197368,,,,2018,,
,,1156295420684,,,,19852096448004.0,,,,,7191751252868.0,6906868477500,12660345195136,10097426164132.0,9158272454945.0,,,,,,,,,,402366429569.0,923071632668,-1535059765165,,,,2019,,
,,1545974321801,,,,21534232266829.0,,,,,8175305378713.0,7418101759867,13358926888116,11294770446035.0,10097426164132.0,,,,,,,671335358424.0,462176462269.0,,630966297526.0,1948820240507,-1778432984467,,,,2020,,
,,2325692348376,,,,25833192996936.0,,,,,10636493682081.0,8516473334138,15196699314855,13553220248796.0,11294770446035.0,,,,,,,,,,1250401560241.0,2176027358565,-1949533211819,,,,2021,,
,,2614271849898,,,,30257525171127.0,,,,,13040023014999.0,10468351380974,17217502156128,20124069515854.0,13553220248796.0,,,,,,,,,,2039361447986.0,2641096163726,-2946236118966,,,,2022,,
,,1524461361452,,,,34038860192967.0,,,,,14131610215445.0,12335665245892,19907249977522,22708300498633.0,20124069515854.0,,,,,,,,,,2066046562201.0,2103521513959,-4104845382639,,,,2023,,
,,1885068694001,,,,40597344536357.0,,,,,19030107423830.0,12779917889808,21567237112527,16592248884388.0,21436788407451.0,,,,,,,363304463263.0,1545488713572.0,,575512415979.0,-137613377776,-4919660001145,,,,2024,,
,,1803994237947,,,,,,,,,,12088785935947,23570113159830,13266730679499.0,16592248884388.0,,,,,,,289964965354.0,55050809663.0,,,792385760879,-1998634351420,,,,2025,,
