current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,depreciation,operating_income,prev_operating_income,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,income_tax
80534636534,45472487898,25135624884,7603800000,459376005.0,158246785.0,6712887903,3304384691,185180595640,72172317167,8750452060,115667312852,-339134128606,69513282788,67300799414,5332068943,2324825785,907999453,-52305340534,3208631006,72131523498,-71249519308,,,,2022,
75538557727,80534636534,28064217234,8009854663,,,76034513528,6712887903,160144371976,41759889908,72172317167,86065261491,-342344816048,74079110485,65547054627,67300799414,2589778844,-2617101131,907999453,-2646663290,-28361974590,29883582476,,,,2023,
144151432332,75538557727,56288982505,80000000000,,,85405929016,76034513528,231975702513,63360812897,41759889908,64695919270,-398304244268,167279783243,33403030159,65547054627,2409938602,-59377417080,-2617101131,-55529347885,-69402667056,-47174419613,,,,2024,
176050917156,144151432332,111981944913,0,59116366652.0,1679461021.0,101141547930,85405929016,280934191003,123497673706,63360812897,124236774842,-436216448290,156697416161,79349848373,33403030159,3449154510,-40389935899,-59377417080,-37877499346,-41253077040,62113159408,,,,2025,0.0
