current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,equity_corrected
6999361510000,7085183801000,1314823009000,892052823000.0,1315268078000.0,778986820000,6020305589000,6097536347000,13799657849000,5976923117000,5914258410000,8438873228000,-505085250000,5360784621000.0,8312009823000,5456667592000,7837882674000,5040235338000,474127149000,416432254000,441618088000,286951965000,32509061000,129480289000,-540112448000,-431445898000,-199999817000,-201041263000,,,,2020,
7886064934000,6999361510000,2137391421000,1032431186000.0,892052823000.0,898666745000,5986254763000,6020305589000,15078671491000,7048607453000,5976923117000,9484646542000,1151717791000,5594024949000.0,8311275924000,8312009823000,8520484596000,7837882674000,-209208672000,474127149000,591054105000,441618088000,-800262777000,32509061000,-1111448166000,-814227962000,762061398000,151732601000,,,,2021,
8000865934000,7886064934000,744148120000,1135986607000.0,1032431186000.0,1377137503000,6237402566000,5986254763000,16289398053000,9072004186000,7048607453000,11001578566000,845402772000,,9045480488000,8311275924000,8882619441000,8520484596000,162861047000,-209208672000,452012200000,591054105000,-289151153000,-800262777000,-421483784000,-352064622000,71218400000,-517879154000,,,,2022,
8799684121000,8000865934000,928043107000,168216131000.0,176766787000.0,1309807342000,6452067647000,6237402566000,17133618109000,9945027489000,9072004186000,17133618109000,772843969000,5207440310000.0,11963925991000,9045480488000,11309062476000,8882619441000,654863515000,162861047000,476223550000,452012200000,178639965000,-289151153000,9673788000,24689214000,168837181000,-477904615000,,,,2023,
10403121877000,8799684121000,1257867151000,,,1510905566000,6609788996000,6452067647000,19390946750000,11796215796000,9945027489000,13686498249000,1288341189000,5704448501000.0,14486453544000,11963925991000,12992522670000,11309062476000,1493930874000,654863515000,788707391000,476223550000,705223483000,178639965000,176628293000,621509420000,2883882708000,-499123973000,,,,2024,
14980009479000,10403121877000,1869917695000,,,2016750847000,8780697058000,6609788996000,26163044535000,15332586082000,11796215796000,16821424437000,2393864230000,9341620098000.0,17580633257000,14486453544000,14616416939000,12992522670000,2964216318000,1493930874000,926706215000,788707391000,2037510103000,705223483000,385431973000,1415484565000,3510392442000,-2039627879000,,,,2025,
