current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation
,,184653644522,,,,,,4464352801882,,,,,2949299051585,654240368133,1515053750297,5866371812609,5299190813983,,,,,,,305005411495.0,265644607987.0,,210079641643,350197343162,-366163173908,,,,2016,
,,118772104634,,,,,,4451024578854,,,,,3038768709668,604415987369,1412255869186,5684704725016,5866371812609,,,,,,,,,,18250869343,276925050685,-377399517175,,,,2017,
,,117632619224,,,,,,4437275124272,,,,,2955506315018,681236493495,1481768809254,5664832721067,5684704725016,,,,,,,,,,112927632658,286855273130,-297647174882,,,,2018,1238822170.0
,,205313705931,,,,,,4595620752355,,,,,3010006243656,754540157988,1585614508699,5981877182405,5664832721067,,,,,,,,,,118239649304,272509290984,-300126459497,,,,2019,5852508338.0
,,561431986751,,,,,,4938346284697,,,,,3228765245944,722266465746,1709581038753,5563504491650,5981877182405,,,,,,,,,,13861437600,430018641488,-144437485696,,,,2020,15989396025.0
,,852255588536,,,,,,5704365860108,,,,,3660109900441,915476628934,2044255959667,6147433112950,5563504491650,,,,,,,,,,178615842352,412687944955,-376635080191,,,,2021,1341197303.0
,,492059312583,,,,,,5845841407280,,,,,3572095295017,1082655900016,2273746112263,7516163841233,6147433112950,,,,,,,,,,118287647376,-13328882668,-137360458441,,,,2022,11814216125.0
,,614874983929,,,,,,6286700392151,,,,,3930545236233,1152664599641,2356155155918,8393086800929,7516163841233,,,,,,,279276996280.0,248102024875.0,,154600073679,429387081698,-322406452008,,,,2023,4609978973.0
,,535530177504,,,,,,7052043027166,,,,,4379288260980,1236937953874,2672754766186,8848181871751,8393086800929,,,,,,,358760766831.0,279276996280.0,,158249191839,434658342629,-396777154428,,,,2024,1006806959.0
,,799652317531,,,,,,7136602919112,,,,,4260786115044,1311047191413,2875816804068,9454812581023,8848181871751,,,,,,,357120974882.0,358760766831.0,,122802266761,720937744650,-363703178370,,,,2025,609601739.0
