date,US_M1
1990-01-01,795.4
1990-02-01,798.1
1990-03-01,801.5
1990-04-01,806.1
1990-05-01,804.2
1990-06-01,808.8
1990-07-01,810.1
1990-08-01,815.7
1990-09-01,820.2
1990-10-01,819.9
1990-11-01,822.1
1990-12-01,824.7
1991-01-01,827.2
1991-02-01,832.6
1991-03-01,838.7
1991-04-01,843.1
1991-05-01,848.8
1991-06-01,856.7
1991-07-01,861.6
1991-08-01,866.8
1991-09-01,869.7
1991-10-01,878.0
1991-11-01,887.6
1991-12-01,897.0
1992-01-01,910.4
1992-02-01,925.2
1992-03-01,936.7
1992-04-01,943.8
1992-05-01,950.6
1992-06-01,954.3
1992-07-01,963.3
1992-08-01,973.7
1992-09-01,988.0
1992-10-01,1003.7
1992-11-01,1015.7
1992-12-01,1024.9
1993-01-01,1030.4
1993-02-01,1033.5
1993-03-01,1038.4
1993-04-01,1047.6
1993-05-01,1065.9
1993-06-01,1075.1
1993-07-01,1084.6
1993-08-01,1094.2
1993-09-01,1104.2
1993-10-01,1113.1
1993-11-01,1124.1
1993-12-01,1129.6
1994-01-01,1131.6
1994-02-01,1136.3
1994-03-01,1140.1
1994-04-01,1141.1
1994-05-01,1143.3
1994-06-01,1145.2
1994-07-01,1150.7
1994-08-01,1150.6
1994-09-01,1151.9
1994-10-01,1150.2
1994-11-01,1150.9
1994-12-01,1150.7
1995-01-01,1151.4
1995-02-01,1147.4
1995-03-01,1146.7
1995-04-01,1149.3
1995-05-01,1145.3
1995-06-01,1144.2
1995-07-01,1145.5
1995-08-01,1145.4
1995-09-01,1142.0
1995-10-01,1137.3
1995-11-01,1134.1
1995-12-01,1127.5
1996-01-01,1123.5
1996-02-01,1118.5
1996-03-01,1122.6
1996-04-01,1124.8
1996-05-01,1116.5
1996-06-01,1115.2
1996-07-01,1112.4
1996-08-01,1101.6
1996-09-01,1096.2
1996-10-01,1085.7
1996-11-01,1083.5
1996-12-01,1081.3
1997-01-01,1081.2
1997-02-01,1078.8
1997-03-01,1072.5
1997-04-01,1063.9
1997-05-01,1063.8
1997-06-01,1066.1
1997-07-01,1065.5
1997-08-01,1075.3
1997-09-01,1066.9
1997-10-01,1065.6
1997-11-01,1070.9
1997-12-01,1072.3
1998-01-01,1074.0
1998-02-01,1077.8
1998-03-01,1076.9
1998-04-01,1076.5
1998-05-01,1079.1
1998-06-01,1076.3
1998-07-01,1075.1
1998-08-01,1075.9
1998-09-01,1079.9
1998-10-01,1086.0
1998-11-01,1094.9
1998-12-01,1095.0
1999-01-01,1098.1
1999-02-01,1096.7
1999-03-01,1096.6
1999-04-01,1101.6
1999-05-01,1103.8
1999-06-01,1099.8
1999-07-01,1099.1
1999-08-01,1099.2
1999-09-01,1096.5
1999-10-01,1103.3
1999-11-01,1110.7
1999-12-01,1122.2
2000-01-01,1122.1
2000-02-01,1108.6
2000-03-01,1107.5
2000-04-01,1115.6
2000-05-01,1104.9
2000-06-01,1102.6
2000-07-01,1103.5
2000-08-01,1100.2
2000-09-01,1099.7
2000-10-01,1098.7
2000-11-01,1092.4
2000-12-01,1088.6
2001-01-01,1096.7
2001-02-01,1101.2
2001-03-01,1108.9
2001-04-01,1116.7
2001-05-01,1118.5
2001-06-01,1126.2
2001-07-01,1138.9
2001-08-01,1150.2
2001-09-01,1205.7
2001-10-01,1165.7
2001-11-01,1171.0
2001-12-01,1183.2
2002-01-01,1190.7
2002-02-01,1190.6
2002-03-01,1193.3
2002-04-01,1186.9
2002-05-01,1189.3
2002-06-01,1193.3
2002-07-01,1199.1
2002-08-01,1187.1
2002-09-01,1196.1
2002-10-01,1204.0
2002-11-01,1209.6
2002-12-01,1220.2
2003-01-01,1227.3
2003-02-01,1238.2
2003-03-01,1239.3
2003-04-01,1250.0
2003-05-01,1268.8
2003-06-01,1281.0
2003-07-01,1287.5
2003-08-01,1296.4
2003-09-01,1297.2
2003-10-01,1297.8
2003-11-01,1299.1
