date,US_M3
1990-01-01,4087.2
1990-01-08,4091.1
1990-01-15,4088.5
1990-01-22,4089.3
1990-01-29,4088.4
1990-02-05,4100.1
1990-02-12,4095.2
1990-02-19,4095.5
1990-02-26,4096.4
1990-03-05,4095.9
1990-03-12,4095.2
1990-03-19,4093.8
1990-03-26,4101.7
1990-04-02,4103.9
1990-04-09,4105.3
1990-04-16,4103.8
1990-04-23,4105.0
1990-04-30,4107.2
1990-05-07,4106.5
1990-05-14,4109.0
1990-05-21,4107.9
1990-05-28,4104.8
1990-06-04,4109.7
1990-06-11,4109.4
1990-06-18,4111.1
1990-06-25,4118.0
1990-07-02,4126.3
1990-07-09,4124.7
1990-07-16,4125.9
1990-07-23,4130.4
1990-07-30,4129.9
1990-08-06,4133.0
1990-08-13,4141.0
1990-08-20,4145.3
1990-08-27,4147.1
1990-09-03,4156.7
1990-09-10,4153.7
1990-09-17,4148.8
1990-09-24,4149.0
1990-10-01,4155.6
1990-10-08,4157.2
1990-10-15,4156.7
1990-10-22,4154.7
1990-10-29,4154.1
1990-11-05,4153.5
1990-11-12,4152.8
1990-11-19,4151.7
1990-11-26,4152.2
1990-12-03,4142.9
1990-12-10,4153.0
1990-12-17,4153.6
1990-12-24,4156.8
1990-12-31,4161.2
1991-01-07,4165.0
1991-01-14,4169.2
1991-01-21,4183.7
1991-01-28,4188.4
1991-02-04,4190.6
1991-02-11,4198.4
1991-02-18,4191.7
1991-02-25,4191.3
1991-03-04,4195.6
1991-03-11,4196.6
1991-03-18,4201.1
1991-03-25,4206.1
1991-04-01,4203.8
1991-04-08,4209.4
1991-04-15,4216.2
1991-04-22,4208.4
1991-04-29,4201.4
1991-05-06,4203.8
1991-05-13,4207.7
1991-05-20,4209.6
1991-05-27,4208.0
1991-06-03,4199.3
1991-06-10,4205.7
1991-06-17,4209.9
1991-06-24,4208.6
1991-07-01,4207.5
1991-07-08,4206.5
1991-07-15,4205.9
1991-07-22,4202.5
1991-07-29,4199.7
1991-08-05,4194.9
1991-08-12,4200.1
1991-08-19,4198.7
1991-08-26,4203.8
1991-09-02,4192.1
1991-09-09,4193.3
1991-09-16,4192.9
1991-09-23,4189.0
1991-09-30,4192.6
1991-10-07,4195.6
1991-10-14,4196.0
1991-10-21,4192.7
1991-10-28,4197.2
1991-11-04,4196.3
1991-11-11,4199.9
1991-11-18,4199.3
1991-11-25,4206.5
1991-12-02,4202.4
1991-12-09,4207.4
1991-12-16,4221.3
1991-12-23,4214.2
1991-12-30,4203.2
1992-01-06,4189.9
1992-01-13,4211.0
1992-01-20,4217.3
1992-01-27,4231.0
1992-02-03,4233.7
1992-02-10,4239.2
1992-02-17,4241.9
1992-02-24,4225.9
1992-03-02,4239.9
1992-03-09,4237.9
1992-03-16,4242.1
1992-03-23,4238.7
1992-03-30,4235.7
1992-04-06,4228.3
1992-04-13,4229.4
1992-04-20,4223.1
1992-04-27,4226.3
1992-05-04,4220.9
1992-05-11,4220.9
1992-05-18,4222.0
1992-05-25,4221.1
1992-06-01,4217.1
1992-06-08,4218.3
1992-06-15,4223.6
1992-06-22,4221.6
1992-06-29,4214.3
1992-07-06,4199.5
1992-07-13,4222.6
1992-07-20,4222.2
1992-07-27,4224.8
1992-08-03,4225.2
1992-08-10,4225.4
1992-08-17,4224.6
1992-08-24,4224.2
1992-08-31,4236.0
1992-09-07,4226.9
1992-09-14,4238.2
1992-09-21,4239.8
1992-09-28,4243.0
1992-10-05,4218.6
1992-10-12,4240.8
1992-10-19,4230.9
1992-10-26,4241.1
1992-11-02,4240.4
1992-11-09,4234.5
1992-11-16,4228.1
1992-11-23,4226.9
1992-11-30,4230.8
1992-12-07,4229.5
1992-12-14,4228.5
1992-12-21,4219.0
1992-12-28,4219.1
1993-01-04,4209.3
1993-01-11,4200.3
1993-01-18,4206.0
1993-01-25,4200.8
1993-02-01,4208.5
1993-02-08,4197.5
1993-02-15,4208.0
1993-02-22,4210.6
1993-03-01,4215.9
1993-03-08,4208.8
1993-03-15,4213.0
1993-03-22,4209.2
1993-03-29,4214.1
1993-04-05,4205.7
1993-04-12,4209.8
1993-04-19,4205.4
1993-04-26,4216.6
1993-05-03,4232.0
1993-05-10,4245.2
1993-05-17,4243.3
1993-05-24,4240.2
1993-05-31,4243.9
1993-06-07,4245.1
1993-06-14,4248.8
1993-06-21,4242.8
1993-06-28,4235.8
1993-07-05,4227.7
1993-07-12,4240.5
1993-07-19,4243.0
1993-07-26,4238.6
1993-08-02,4242.4
1993-08-09,4238.1
1993-08-16,4243.2
1993-08-23,4238.9
1993-08-30,4240.6
1993-09-06,4241.2
1993-09-13,4250.7
1993-09-20,4252.8
1993-09-27,4252.5
1993-10-04,4249.6
1993-10-11,4252.1
1993-10-18,4252.5
1993-10-25,4260.5
1993-11-01,4266.0
1993-11-08,4269.5
1993-11-15,4278.3
1993-11-22,4276.1
1993-11-29,4277.3
1993-12-06,4286.0
1993-12-13,4293.1
1993-12-20,4285.2
1993-12-27,4284.4
1994-01-03,4274.9
1994-01-10,4282.6
1994-01-17,4284.8
1994-01-24,4281.1
1994-01-31,4283.9
1994-02-07,4272.4
1994-02-14,4270.0
1994-02-21,4265.6
1994-02-28,4267.0
1994-03-07,4268.4
1994-03-14,4283.7
1994-03-21,4284.7
1994-03-28,4281.2
1994-04-04,4280.6
1994-04-11,4290.8
1994-04-18,4294.5
1994-04-25,4290.2
1994-05-02,4292.1
1994-05-09,4298.0
1994-05-16,4300.0
1994-05-23,4304.0
1994-05-30,4304.7
1994-06-06,4295.0
1994-06-13,4298.7
1994-06-20,4293.7
1994-06-27,4297.5
1994-07-04,4306.7
1994-07-11,4312.9
1994-07-18,4319.6
1994-07-25,4323.2
1994-08-01,4325.0
1994-08-08,4312.8
1994-08-15,4319.1
1994-08-22,4325.0
1994-08-29,4321.4
