date,KR_M1
1990-01-01,157636500000000.0
1990-02-01,159750500000000.0
1990-03-01,162759500000000.0
1990-04-01,165958400000000.0
1990-05-01,169452200000000.0
1990-06-01,173526100000000.0
1990-07-01,176422600000000.0
1990-08-01,179845500000000.0
1990-09-01,183072500000000.0
1990-10-01,186613100000000.0
1990-11-01,190826600000000.0
1990-12-01,196923600000000.0
1991-01-01,200058100000000.0
1991-02-01,203594300000000.0
1991-03-01,207615000000000.0
1991-04-01,211717100000000.0
1991-05-01,214972900000000.0
1991-06-01,218000600000000.0
1991-07-01,221643900000000.0
1991-08-01,226221800000000.0
1991-09-01,231215000000000.0
1991-10-01,235232300000000.0
1991-11-01,236281400000000.0
1991-12-01,243345500000000.0
1992-01-01,248659300000000.0
1992-02-01,250688500000000.0
1992-03-01,255139200000000.0
1992-04-01,259635700000000.0
1992-05-01,264315900000000.03
1992-06-01,267527200000000.0
1992-07-01,272147300000000.0
1992-08-01,275421200000000.0
1992-09-01,280326800000000.0
1992-10-01,286269400000000.0
1992-11-01,291118700000000.0
1992-12-01,296248400000000.0
1993-01-01,301306600000000.0
1993-02-01,306799800000000.0
1993-03-01,310999700000000.0
1993-04-01,315872400000000.0
1993-05-01,319352200000000.0
1993-06-01,324778000000000.0
1993-07-01,329943700000000.0
1993-08-01,336053400000000.0
1993-09-01,342634600000000.0
1993-10-01,343193400000000.0
1993-11-01,349015000000000.0
1993-12-01,352755700000000.0
1994-01-01,358502500000000.0
1994-02-01,366535000000000.0
1994-03-01,374024000000000.0
1994-04-01,380322100000000.0
1994-05-01,389554500000000.0
1994-06-01,397727500000000.0
1994-07-01,405221000000000.0
1994-08-01,410607900000000.0
1994-09-01,417985400000000.0
1994-10-01,425672600000000.0
1994-11-01,431195800000000.0
1994-12-01,439953800000000.0
1995-01-01,449300100000000.0
1995-02-01,447122200000000.0
1995-03-01,454025400000000.0
1995-04-01,460584800000000.0
1995-05-01,466942800000000.0
1995-06-01,473916100000000.0
1995-07-01,481159300000000.0
1995-08-01,488326600000000.0
1995-09-01,495402900000000.0
1995-10-01,504397000000000.0
1995-11-01,513279000000000.0
1995-12-01,523818500000000.0
1996-01-01,528039400000000.0
1996-02-01,533498500000000.0
1996-03-01,544485199999999.94
1996-04-01,554056300000000.06
1996-05-01,561129500000000.0
1996-06-01,568077100000000.0
1996-07-01,573647000000000.0
1996-08-01,580677600000000.0
1996-09-01,591648900000000.0
1996-10-01,595609200000000.0
1996-11-01,602177900000000.0
1996-12-01,614273600000000.0
1997-01-01,619290300000000.0
1997-02-01,627844700000000.0
1997-03-01,636726500000000.0
1997-04-01,640938800000000.0
1997-05-01,648844900000000.0
1997-06-01,659356600000000.0
1997-07-01,666535100000000.0
1997-08-01,675271300000000.0
1997-09-01,681902700000000.0
1997-10-01,692558600000000.0
1997-11-01,699165800000000.0
1997-12-01,700805300000000.0
1998-01-01,714734300000000.0
1998-02-01,720181500000000.0
1998-03-01,727457700000000.0
1998-04-01,738371300000000.0
1998-05-01,743648600000000.0
1998-06-01,746292500000000.0
1998-07-01,762337400000000.0
1998-08-01,770606400000000.0
1998-09-01,774253200000000.0
1998-10-01,782671000000000.0
1998-11-01,789199300000000.0
1998-12-01,788999700000000.0
1999-01-01,810544600000000.0
1999-02-01,818819000000000.0
1999-03-01,822834800000000.0
1999-04-01,828354600000000.0
1999-05-01,835980100000000.0
1999-06-01,835593300000000.0
1999-07-01,845939700000000.0
1999-08-01,842726500000000.0
1999-09-01,845552400000000.0
1999-10-01,844401100000000.0
1999-11-01,854551200000000.0
1999-12-01,853511000000000.0
2000-01-01,854693400000000.0
2000-02-01,860081000000000.0
2000-03-01,866556000000000.0
2000-04-01,874486500000000.0
2000-05-01,877159000000000.0
2000-06-01,881660700000000.0
2000-07-01,887810000000000.0
2000-08-01,894646300000000.0
2000-09-01,897795500000000.0
2000-10-01,902896600000000.0
2000-11-01,908554400000000.0
2000-12-01,912762900000000.0
2001-01-01,921098600000000.0
2001-02-01,929227900000000.0
2001-03-01,932483600000000.0
2001-04-01,938725700000000.0
2001-05-01,949403700000000.0
2001-06-01,962962600000000.0
2001-07-01,972641200000000.0
2001-08-01,982884200000000.0
2001-09-01,1005159400000000.0
2001-10-01,1005272600000000.0
2001-11-01,1006797600000000.0
2001-12-01,1015077400000000.0
2002-01-01,1034665500000000.0
2002-02-01,1047524600000000.0
2002-03-01,1067363000000000.0
2002-04-01,1077324400000000.0
2002-05-01,1086574600000000.0
2002-06-01,1089391900000000.0
2002-07-01,1099216800000000.0
2002-08-01,1110061000000000.0
2002-09-01,1124309800000000.0
2002-10-01,1139450900000000.0
2002-11-01,1148864600000000.0
2002-12-01,1154146800000000.0
2003-01-01,1167449400000000.0
2003-02-01,1170650800000000.0
2003-03-01,1175175700000000.0
2003-04-01,1173178600000000.0
2003-05-01,1179166100000000.0
2003-06-01,1178868800000000.0
2003-07-01,1190679300000000.0
2003-08-01,1193340000000000.0
2003-09-01,1201056400000000.0
2003-10-01,1203739100000000.0
2003-11-01,1210038500000000.0
2003-12-01,1205855000000000.0
2004-01-01,1215967600000000.0
2004-02-01,1228521100000000.0
2004-03-01,1235720500000000.0
2004-04-01,1242258600000000.0
2004-05-01,1253253700000000.0
2004-06-01,1255674600000000.0
2004-07-01,1263377900000000.0
2004-08-01,1271475900000000.0
2004-09-01,1277067200000000.0
2004-10-01,1280069000000000.0
2004-11-01,1289905200000000.0
2004-12-01,1293701800000000.0
2005-01-01,1306223000000000.0
2005-02-01,1314848800000000.0
2005-03-01,1312915100000000.0
2005-04-01,1329095900000000.0
2005-05-01,1334902800000000.0
2005-06-01,1348978400000000.0
2005-07-01,1360047300000000.0
2005-08-01,1366054700000000.0
2005-09-01,1373152200000000.0
2005-10-01,1373353400000000.0
2005-11-01,1379619100000000.0
2005-12-01,1386986700000000.0
2006-01-01,1396140400000000.0
2006-02-01,1406214100000000.0
2006-03-01,1410545800000000.0
2006-04-01,1419409500000000.0
2006-05-01,1435829300000000.0
2006-06-01,1450521000000000.0
2006-07-01,1461797400000000.0
2006-08-01,1475658600000000.0
2006-09-01,1493603600000000.0
2006-10-01,1502150600000000.0
2006-11-01,1514641400000000.0
2006-12-01,1532674900000000.0
2007-01-01,1542112300000000.0
2007-02-01,1546101800000000.0
2007-03-01,1559916100000000.0
2007-04-01,1566260800000000.0
2007-05-01,1583956400000000.0
2007-06-01,1600521300000000.0
2007-07-01,1610609100000000.0
2007-08-01,1623078200000000.0
2007-09-01,1636299100000000.0
2007-10-01,1666209600000000.0
2007-11-01,1671730700000000.0
2007-12-01,1693727600000000.0
2008-01-01,1718764800000000.0
2008-02-01,1737213800000000.0
2008-03-01,1753022600000000.0
2008-04-01,1786719900000000.0
2008-05-01,1792383000000000.0
2008-06-01,1788569100000000.0
2008-07-01,1798137100000000.0
2008-08-01,1817074400000000.0
2008-09-01,1824654400000000.0
2008-10-01,1839728400000000.0
2008-11-01,1843056400000000.0
2008-12-01,1838816000000000.0
2009-01-01,1864478300000000.0
2009-02-01,1890271000000000.0
2009-03-01,1898207400000000.0
2009-04-01,1907199400000000.0
2009-05-01,1920575200000000.0
2009-06-01,1933108800000000.0
2009-07-01,1940014700000000.0
2009-08-01,1964771000000000.0
2009-09-01,1969102900000000.0
2009-10-01,1986934300000000.0
2009-11-01,2004522700000000.0
2009-12-01,2012150300000000.0
2010-01-01,2036031900000000.0
2010-02-01,2049637400000000.0
2010-03-01,2075700100000000.0
2010-04-01,2087989000000000.0
2010-05-01,2103393500000000.0
2010-06-01,2107717100000000.0
2010-07-01,2108925100000000.0
2010-08-01,2114711800000000.0
2010-09-01,2120264200000000.0
2010-10-01,2132796900000000.0
2010-11-01,2147584800000000.0
2010-12-01,2131813700000000.0
2011-01-01,2148337100000000.0
2011-02-01,2161366600000000.0
2011-03-01,2165873600000000.0
2011-04-01,2179613800000000.0
2011-05-01,2183882500000000.0
2011-06-01,2191725300000000.0
2011-07-01,2219392400000000.0
2011-08-01,2228292400000000.0
2011-09-01,2247875000000000.0
2011-10-01,2262782900000000.0
2011-11-01,2272690700000000.0
2011-12-01,2270290600000000.0
2012-01-01,2288015600000000.0
2012-02-01,2305839400000000.0
2012-03-01,2354871900000000.0
2012-04-01,2351764000000000.0
2012-05-01,2366039400000000.0
2012-06-01,2379174400000000.0
2012-07-01,2399809100000000.0
2012-08-01,2404332600000000.0
2012-09-01,2413342400000000.0
2012-10-01,2426002800000000.0
2012-11-01,2443514100000000.0
2012-12-01,2456774600000000.0
2013-01-01,2470638800000000.0
2013-02-01,2487591500000000.0
2013-03-01,2505394300000000.0
2013-04-01,2518493800000000.0
2013-05-01,2527816200000000.0
2013-06-01,2531897400000000.0
2013-07-01,2545581300000000.0
2013-08-01,2562856000000000.0
2013-09-01,2577109600000000.0
2013-10-01,2587669800000000.0
2013-11-01,2599184500000000.0
2013-12-01,2614120500000000.0
2014-01-01,2637009100000000.0
2014-02-01,2653767100000000.0
2014-03-01,2665000100000000.0
2014-04-01,2677077300000000.0
2014-05-01,2693410700000000.0
2014-06-01,2704686300000000.0
2014-07-01,2731663800000000.0
2014-08-01,2745461200000000.0
2014-09-01,2762033800000000.0
2014-10-01,2791008300000000.0
2014-11-01,2814450200000000.0
2014-12-01,2840916100000000.0
2015-01-01,2855048500000000.0
2015-02-01,2877617700000000.0
2015-03-01,2923408000000000.0
2015-04-01,2953778700000000.0
2015-05-01,2978319500000000.0
2015-06-01,2995989300000000.0
2015-07-01,3020618900000000.0
2015-08-01,3040783500000000.0
2015-09-01,3051473900000000.0
2015-10-01,3068058600000000.0
2015-11-01,3074774000000000.0
2015-12-01,3097275700000000.0
2016-01-01,3113501300000000.0
2016-02-01,3139016000000000.0
2016-03-01,3182769700000000.0
2016-04-01,3183739700000000.0
2016-05-01,3210170000000000.0
2016-06-01,3227595100000000.0
2016-07-01,3256311400000000.0
2016-08-01,3283729600000000.0
2016-09-01,3305365700000000.0
2016-10-01,3311977200000000.0
2016-11-01,3329633300000000.0
2016-12-01,3329531200000000.0
2017-01-01,3346893500000000.0
2017-02-01,3377210000000000.0
2017-03-01,3405949300000000.0
2017-04-01,3425435100000000.0
2017-05-01,3436036800000000.0
2017-06-01,3446556400000000.0
2017-07-01,3477276000000000.0
2017-08-01,3482006600000000.0
2017-09-01,3491021900000000.0
2017-10-01,3514000000000000.0
2017-11-01,3525553900000000.0
2017-12-01,3548024800000000.0
2018-01-01,3588558800000000.0
2018-02-01,3606830600000000.0
2018-03-01,3627714100000000.0
2018-04-01,3647777100000000.0
2018-05-01,3674735300000000.0
2018-06-01,3681404900000000.0
2018-07-01,3708833000000000.0
2018-08-01,3728044200000000.0
2018-09-01,3742999600000000.0
2018-10-01,3778372300000000.0
2018-11-01,3788048200000000.0
2018-12-01,3817417900000000.0
2019-01-01,3845861600000000.0
2019-02-01,3867718400000000.0
2019-03-01,3898978700000000.0
2019-04-01,3932018700000000.0
2019-05-01,3953701000000000.0
2019-06-01,3977728500000000.0
2019-07-01,4010577400000000.0
2019-08-01,4038367800000000.0
2019-09-01,4061773400000000.0
2019-10-01,4080975200000000.0
2019-11-01,4110109000000000.0
2019-12-01,4119440100000000.0
2020-01-01,4158022000000000.0
2020-02-01,4189046600000000.0
2020-03-01,4221865700000000.0
2020-04-01,4258859000000000.0
2020-05-01,4295239400000001.0
2020-06-01,4315895400000001.0
2020-07-01,4351543500000000.0
2020-08-01,4352268599999999.0
2020-09-01,4383669800000000.0
2020-10-01,4426616099999999.0
2020-11-01,4467193000000000.0
2020-12-01,4457135800000000.0
2021-01-01,4506848200000000.0
2021-02-01,4542731400000000.0
2021-03-01,4600475200000000.0
2021-04-01,4693398500000000.0
2021-05-01,4665862800000000.0
2021-06-01,4698454400000000.0
2021-07-01,4745932100000000.0
2021-08-01,4781355300000000.0
2021-09-01,4795349300000000.0
2021-10-01,4835329100000000.0
2021-11-01,4884426500000000.0
2021-12-01,4905635100000000.0
2022-01-01,4944617900000000.0
2022-02-01,4966861800000000.0
2022-03-01,4975051000000000.0
2022-04-01,4994984200000000.0
2022-05-01,5031752700000000.0
2022-06-01,5031741400000000.0
2022-07-01,5055718600000000.0
2022-08-01,5073188300000000.0
2022-09-01,5080969700000000.0
2022-10-01,5098634300000000.0
2022-11-01,5120148300000000.0
2022-12-01,5096813300000000.0
2023-01-01,5118587400000000.0
2023-02-01,5133492800000000.0
2023-03-01,5146397400000000.0
2023-04-01,5154214600000000.0
2023-05-01,5149386000000000.0
2023-06-01,5168944400000000.0
2023-07-01,5178609300000000.0
2023-08-01,5189439700000000.0
2023-09-01,5176985900000000.0
2023-10-01,5207204000000000.0
