current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
,,1169282970000,477372001000.0,,,,,,27009587950000,,,,,15755138247000,2699483254000,11254449703000,13433216743000,11865683805000,,,,,,,,,,569823382000,2091748639000,-3344703500000,,,,2016
,,1219547558000,433707497000.0,,,,,,29325383064000,,,,,17333214255000,3115329926000,11992168809000,26898599989000,23954197397000,,,,,,,1325955339000.0,1252913231000.0,,1137728417000,2240404302000,-2863799623000,,,,2017
,,1473565899000,162956597000.0,,,,,,31729548648000,,,,,19207738403000,3336515558000,12521810245000,29523435477000,26898599989000,,,,,,,1332475208000.0,1325955339000.0,,880027278000,1541092351000,-2126012873000,,,,2018
,,1602642314000,1107425309000.0,,,,,,40381364593000,,,,,25766279658000,3533424597000,14615084935000,33779706665000,29523435477000,,,,,,,1509154524000.0,1332475208000.0,,323842817000,3864576582000,-4895720982000,,,,2019
,,2603100147000,,,,,,,40024965069000,,,,,24628738994000,3604574736000,15396226075000,31999102947000,33779706665000,,,,,,,1390340166000.0,1509154524000.0,,204007798000,3032814780000,-1443779122000,,,,2020
,,3193864799000,,,,,,,41955995804000,,,,,25492465688000,3809734660000,16463530116000,34484026554000,31999102947000,,,,,,,1881800099000.0,1390340166000.0,,806961658000,3353190728000,-1623491611000,,,,2021
,,4021275506000,,,,,,,48240408307000,,,,,30506774819000,3962816952000,17733633488000,40924879773000,34484026554000,,,,,,,2154201790000.0,1881800099000.0,,686845690000,4044985960000,-4610826113000,,,,2022
,,3646474585000,,,,,,,47203762893000,,,,,29310944319000,4062667674000,17892818574000,41352688159000,40924879773000,,,,,,,,,,524667990000,5016996681000,-2365324347000,,,,2023
,,3156399016000,,,,,,,47496993224000,,,,,29750607288000,4037835662000,17746385936000,43646656090000,41352688159000,,,,,,,,,,151195776000,4830828591000,-2188212616000,,,,2024
,,2587324564000,,,,,,,46966393292000,,,,,29949340845000,4059899088000,17017052447000,45018829227000,43646656090000,,,,,,,2527738458000.0,2532252269000.0,,142631457000,4987380240000,-3322707955000,,,,2025
