current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
25864818442000,27096467095000,4326493276000,5195833888000.0,5324603233000.0,3879525758000,18729240248000,16027157696000,48949259814000,23237004912000,23065151183000,31162698165000,13433928634000,17786561649000,39320377292000,46317640151000,34852183108000,44814940955000,4468194184000,1502699196000,2918549751000,3087605116000,1549644433000,-1584905920000,1042820194000,626990744000,2649202768000,-524754490000,,,,2016
17663719902000,25864818442000,3239726945000,1942374070000.0,5195833888000.0,845360005000,11046256085000,18729240248000,30408847507000,15614871052000,23237004912000,18036809525000,16236901897000,12372037982000,15468835510000,22300438167000,14434935998000,20329443875000,1033899512000,1970994292000,1019253882000,1579464608000,14645630000,391529684000,-26905460000,-93390053000,593314273000,596311709000,,,,2017
12316692940000,17663719902000,3041786200000,1477334313000.0,1942374070000.0,1009063255000,10269011371000,11046256085000,24729898792000,9410253086000,15614871052000,11618935420000,16043716602000,13110963372000,13119891213000,15468835510000,12763180484000,14434935998000,356710729000,1033899512000,879230742000,1019253882000,-522520013000,14645630000,-854036980000,-644987313000,126519621000,-5728546000,,,,2018
12545988679000,12316692940000,2225143190000,1442648621000.0,1477334313000.0,1318325637000,9946724472000,10269011371000,25055372817000,8941941350000,9410253086000,12129057655000,16180566267000,12926315162000,15182553166000,13161045950000,14191186947000,12763180484000,991366219000,397865466000,701198605000,879230742000,290167614000,-481365276000,89941162000,213081106000,-1464118747000,-329586110000,,,,2019
13001432736000,12545988679000,3703409917000,,,1252994979000,9970539162000,9946724472000,25244191252000,9511529229000,8941941350000,12822965818000,15419079574000,12421225434000,14903657734000,15182553166000,14159004629000,14191186947000,744653105000,991366219000,670285971000,701198605000,74367134000,290167614000,-568967637000,-835177677000,-89969458000,457083409000,,,,2020
14562196013000,13001432736000,4567468098000,,,1554136717000,9872011979000,9970539162000,27293093978000,11286467399000,9511529229000,14879338674000,14467170337000,12413755304000,15493381773000,14903657734000,16010119587000,14159004629000,-516737814000,744653105000,868077963000,670285971000,-1384815777000,74367134000,-1632184275000,-1141204413000,835843497000,181471920000,,,,2021
15775914217000,14562196013000,2697222866000,,,2203316626000,10143112509000,9872011979000,29883476300000,15033482523000,11286467399000,17571346490000,14300366736000,12312129810000,17302020185000,15493381773000,16935580632000,16010119587000,366439553000,-516737814000,722000146000,868077963000,-355560593000,-1384815777000,-431095252000,-295177096000,462245767000,-1339470657000,,,,2022
17735127271000,15775914217000,3018390965000,,,2005664722000,10503503219000,10143112509000,32242568184000,17497867505000,15033482523000,19872465252000,14374459760000,12370102932000,21296205574000,17302020185000,20248178434000,16935580632000,1048027140000,366439553000,765766421000,722000146000,282260719000,-355560593000,-152975968000,144930284000,2081590925000,-1266889555000,,,,2023
20431356435000,17735127271000,3717318959000,,,2232067007000,11110889882000,10503503219000,36719137422000,19325058391000,17497867505000,22563324218000,15083879465000,14155813204000,25538577356000,21296205574000,22943209928000,20248178434000,2595367428000,1048027140000,1161276936000,765766421000,1434090492000,282260719000,368082961000,1454580111000,4288660178000,-1232801406000,,,,2024
23424477841000,20431356435000,3742015549000,,,2765843221000,12025454745000,11110889882000,39542213288000,20010814307000,19325058391000,22633860456000,16667529658000,16908352832000,29933215227000,25538577356000,24604794179000,22943209928000,5328421048000,2595367428000,1423931470000,1161276936000,3904489578000,1434090492000,637911299000,2928395265000,4422050644000,-3603840324000,,,,2025
