current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
105333028029,92679144194,6523497906,58280827436,38893677321,34158348322,119573701546,84570398468,267644513222,84210063288,71467046367,57375944890,0,160230211578,69026497670,107414301644,141979321639,136031630056,90464290843,90542681353,51515030796,45488948703,28422400051,22210493154,23092630745,23278455549,18102645538,14642894293,6865344642,-48965178554,,,,2016
175708976871,105333028029,11351261793,86409741240,58280827436,50558216698,135021807121,119573701546,342380078258,150247316327,84210063288,73681655708,21359925173,189753640311,103475922572,152626437947,222772282250,141979321639,144537669808,90464290843,78234612442,51515030796,36718623973,28422400051,41515988469,23092630745,47992604373,39386784981,26155614652,-49170359790,,,,2017
148244633981,175708976871,11317594412,52074427054,86409741240,61290144352,164838791569,135021807121,335916619194,121317144399,150247316327,61986647000,10000000000,172249817892,118880123812,163666801302,193710297233,222772282250,129044537605,144537669808,64665759628,78234612442,39572810365,36718623973,25092949263,41515988469,22824942489,18560595798,39549127265,-33368568168,,,,2018
169308489751,148244633981,15285925213,66234410389,52074427054,60543672520,185996659495,164838791569,379323829691,120150696691,121317144399,59496647000,12382234056,190755479830,126945301185,188568349861,186865005850,193710297233,122565403160,129044537605,64299602690,64665759628,39899507594,39572810365,24400095096,25092949263,12777287280,11319610244,20527116854,-8381355273,,,,2019
192299068903,169308489751,29730891062,66223550372,66234410389,64994901317,200852029656,185996659495,416008701621,138631907404,120150696691,64496647000,3458770000,199693815899,152985981069,216314885722,228153323968,186865005850,144730342325,122565403160,83422981643,64299602690,45512706861,39899507594,37910274782,24400095096,40658633027,32928361791,25099582656,-25182263874,,,,2020
229483476972,192299068903,20266401961,89592064755,66223550372,85101343265,241595909065,200852029656,508771975735,146870848691,138631907404,83103317466,8052520000,278333001237,167037693927,230438974498,255915216713,228153323968,168903379405,144730342325,87011837308,83422981643,50792431115,45512706861,36219406193,37910274782,21925674928,17110463460,2406698360,-64687859770,,,,2021
181278223634,229483476972,23330438006,53298940491,89592064755,86833365984,242657172058,241595909065,488252355491,176912624630,146870848691,57050000000,83416307000,242694770306,187130538097,245557585185,267491091324,255915216713,158043943726,168903379405,109447147598,87011837308,51774236912,50792431115,57672910686,36219406193,42737032963,33237861105,68170988306,-24877006267,,,,2022
143794835264,181278223634,13614104103,39462161322,53298940491,81331310562,270618683389,242657172058,485887420673,139213885144,176912624630,25873214948,120237750000,485887420673,172490179998,215586935429,133604260260,267491091324,84056217530,158043943726,49548042730,109447147598,46387555676,51774236912,3160487054,57672910686,1788821408,-11097331447,20371517264,-67217103146,,,,2023
156076110331,143794835264,25482851154,43795625789,39462161322,79265623368,232023074952,270618683389,506220625653,218505563731,139213885144,25046044600,95717877000,506220625653,146226836993,188303434692,185507171034,133604260260,114021534378,84056217530,71485636656,49548042730,48074559392,46387555676,23411077264,3160487054,13447388922,-21970453220,32722277624,-29905589196,,,,2024
264156995714,156076110331,42167522083,40808036345,43795625789,113305861181,252183391737,232023074952,633699354109,153794926293,218505563731,85500000000,36167320000,633699354109,148761904960,212119683580,15612898957,13893750945,91933305151,114021534378,67195093251,71485636656,51357520404,48074559392,15837572847,23411077264,-1470020630,8996126448,-16089053787,-109263739041,,,,2025
