code,name,foreign_90d,inst_90d,foreign_5d,inst_5d
005930,삼성전자,-8265158243300.0,3610527207200.0,-971963658500.0,1106269755150.0
000660,SK하이닉스,-4666008934000.0,5079104206000.0,889386385000.0,632699562500.0
058470,리노공업,-515816115750.0,421447081000.0,-43780894600.0,-9083044600.0
357780,솔브레인,-124233923500.0,206151593750.0,-18638010500.0,9825900000.0
240810,원익IPS,-151245204100.0,322005645600.0,-7186465600.0,7114547900.0
