code,name,foreign_90d,inst_90d,foreign_5d,inst_5d
047810,한국항공우주,-587399358250.0,507692865950.0,-79907480300.0,36520072050.0
012450,한화에어로스페이스,203419654000.0,309296160500.0,26388012000.0,12507588500.0
000880,한화,45073332600.0,26710878700.0,13018476800.0,20239390500.0
