code,name,foreign_90d,inst_90d,foreign_5d,inst_5d
010950,S-Oil,86760867100.0,151701433250.0,5444472050.0,39123785750.0
267250,HD현대,177053785250.0,-13570624300.0,35143974750.0,26116693500.0
096770,SK이노베이션,3670694600.0,-31530584950.0,59120546500.0,38494003200.0
009540,HD한국조선해양,396060234250.0,-249268488250.0,49396282250.0,66245496250.0
010140,삼성중공업,501909233800.0,-288667982350.0,46169684525.0,-30097967150.0
