total_assets,cash,depreciation,ppe_net,prev_ppe_net,total_equity,retained_earnings,total_liabilities,interest_expense,revenue,prev_revenue,income_tax,net_income,operating_income,prev_operating_income,long_term_debt,capex,cash_from_operations,roe,debt_ratio,opm,year
314655050000000,5494179000000,82774703000000,,,44337441000000,17978086000000,314655050000000,,8437019000000.0,7748609000000.0,,2033709000000,,,,-4244115000000,1465023000000,,,,2023
312218844000000,4177972000000,82320607000000,,,32737931000000,19419956000000,312218844000000,,,,,2260255000000,2499751000000.0,2398377000000.0,,-5135887000000,4999558000000,,,,2024
350685701000000,4537833000000,80631611000000,,,64835318000000,21085481000000,350685701000000,,,,,2451515000000,2580469000000.0,2499751000000.0,,-7123599000000,5256261000000,,,,2025
