ppe_net,prev_ppe_net,current_assets,prev_current_assets,accounts_receivable,prev_accounts_receivable,inventory,short_term_investments,cash,total_assets,retained_earnings,total_equity,long_term_debt,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
1866086997503,2079058179469,801499331687,787109119558,373652474325,388610173007,253488993764,10300203270,105007879854,3528839514026.0,1146369401214,1523921106210.0,924882481925,862621053055,1056390106093,423611008133,2004918407816.0,2359440143632,2465721171654,1949486064475,1972627140308,409954079157,493094031346,260653169411,275172700345,149300909746,217921331001,119639706149,61145745670.0,249101740288,120148647678.0,49237945961.0,-3908099961,,,,2016
1903207598211,1866086997503,897152436758,801499331687,363068968498,373652474325,299316350342,180220,175996299108,3667311813522.0,1238982571601,1593575326464.0,675606673931,1200800223832,862621053055,739010582600,2073736487058.0,2653544415383,2359440143632,2227350357817,1949486064475,426194057566,409954079157,250499319897,260653169411,175694737669,149300909746,180697787768,136346624797.0,209334786887,117266339793.0,46084203125.0,-175691127296,,,,2017
1978552148784,1903207598211,910124832044,897152436758,338638598468,363068968498,353201994796,188076,160388218414,3833128681093.0,1325424493188,1694800412017.0,825947389703,1081502643497,1200800223832,609958246285,2138328269076.0,2767834347283,2653544415383,2289106109057,2227350357817,478728238226,426194057566,277599086475,250499319897,201129151751,175694737669,182106560056,141041714507.0,231587575579,118799716111.0,51923715577.0,-212784269012,,,,2018
2115916732340,1978552148784,992719762193,910124832044,372574481700,338638598468,385658113202,10194754,79957905564,3972988752154.0,1349951206241,1726373836870.0,989471372473,1043159965247,1081502643497,662850770371,2246614915284.0,2539766499160,2767834347283,2096888285521,2289106109057,442878213639,478728238226,287797403999,277599086475,155080809640,201129151751,73343367719,67392287037.0,40533569102,133966214496.0,56559936171.0,-272724580025,,,,2019
2298073369422,2115916732340,1247268102692,992719762193,398637900608,372574481700,336793144277,938017040,428586447897,5406405840533.0,1363920371024,1915113581068.0,1479794594887,1733924057112,1043159965247,1073959623839,3491292259465.0,2702184519734,2361068172429,2192956636246,1962078105546,509227883488,398990066883,318439624905,259235070873,190788258583,139754996010,207110964460,73620866788.0,337112812601,164879216058.0,84722602920.0,-1055432867795,,,,2020
2486379440429,2298073369422,1820030594141,1247268102692,471114667683,398637900608,515479241989,6949050000,722154796935,6180132503610.0,1543823183390,2282360691902.0,1854408240372,1720045412510,1733924057112,999561349596,3897771811708.0,3396056746194,2465850080730,2528790074440,1974234324614,867266671754,491615756116,402523298065,289599059912,464743373689,202016696204,425074980549,342340322117.0,282512631068,177336863049.0,79539631285.0,-260884518418,,,,2021
1978765342581,2486379440429,2526145050706,1820030594141,388081444299,471114667683,553271367576,366000000000,1098442056091,6393092564908.0,1450957852808,2241850761208.0,1954921445650,1870885565853,1720045412510,1293048261742,4151241803700.0,3138910077125,2264207086420,2638728817819,1669725571243,500181259306,594481515177,279925316308,193027196151,220255942998,401454319026,159297081484,-24636826941.0,-147158687779,208577544290.0,134027235637.0,-249037632718,,,,2022
2665422526121,1890721222053,2081259893738,2526145050706,162451481898,388081444299,332902731126,29447000000,531046016471,,1135515621582,2524424248940.0,9990989994,1845575953952,1870885565853,1155758457827,,1570751580937,2386650004087,1549059991776,2010318576751,21691589161,376331427336,237992443894,190137220183,-216300854733,186194207153,-119237704373,-326360017026.0,-234741996756,,,-987482059009,,,,2023
3240460441997,2665422526121,1520451642691,2081259893738,218212767051,162451481898,234679326195,322476500000,403559820743,,685856971671,,124943922515,2211034562287,1845575953952,1150667939322,,1721564345604,1493474706830,1746498225689,1485255933889,-24933880085,8218772941,251898974499,221946768554,123165366343,-47208067350,-661977166265,-578220907942.0,-199714849316,,,16663311311,,,,2024
3098798636577,3240460441997,1779269138668,1520451642691,244224971804,218212767051,340058970101,262260000000,783286752410,,-50553511150,,49908048401,2437828953247,2211034562287,1176505206999,,1840036441822,1717923737959,1859134392604,1743352312044,-19097950782,-25428574085,285927499091,250330527593,136019801250,122091613437,-898994906850,,-567575812502,,,292181066613,,,,2025
