current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,roe,debt_ratio,opm,year,equity_corrected
4048446712394,4217166746005,431707331819,1736071596567.0,1859541738873.0,1524769672246,5845021989677,5628843018936,14120801414917,6883076534236,6718310490806,2662171015348,10279585009887,2996260192287,3841216405030.0,11929113071954,12458453529733,9770993714723,10429795501306,2158119357231,2028658028427,1025168978871,957004274104,1016346708846,950168850345,696513950066,475401956226,1812938835260,-908332969277,11927715530418,,,,2016,
4630981270390,4048446712394,501132727881,2013675533945.0,1736071596567.0,1679932259367,5663176124292,5845021989677,14534978561488,7601179357212,6883076534236,2345089385399,10671696866127,3143152952249,3863281695361.0,12546410309121,11929113071954,10654352129338,9770993714723,1892058179783,2158119357231,1003611543267,1025168978871,770807277329,1016346708846,382828668262,340839217054,684622052254,-970202695015,10856705186287,,,,2017,
1379400368412,4630981270390,341208429550,464295515660.0,2013675533945.0,498425758135,947975530325,5663176124292,6407904915731,2247871301437,7601179357212,942926481922,3705758075892,6353426533060,2702146839839.0,2991006158183,2692847402400,2552510515246,2344612447965,438495642937,348234954435,277358106663,295541795806,143483398266,35923911449,567234043717,464067281050,264011738938,-633505208770,7862977390026,,,,2018,
1312039578827,1379400368412,189328247350,403089403423.0,464295515660.0,573741879435,918324919008,947975530325,6527055213077,2238401833668,2247871301437,988377551848,3816813415960,6336611325606,,3373447404431,3002479811125,2828597562025,2552510515245,544849842406,449969295880,289818690396,277358106662,236828089086,154957051210,200685080209,150009464862,140833978379,-127834713157,1025246450577,,,,2019,
1626794999340,1312039578827,222014612609,493059608654.0,403089403423.0,463205748574,930908871117,918324919008,4429749879590,1090337562697,2238401833668,448280675319,1915426594884,6180531010357,,2782554818809,3175624291414,2366560952847,2699398712660,415993865962,476225578754,257417197956,255937395804,138793355652,202085120026,109770055526,1220252292,278194216102,-228708161262,1191272117444,,,,2020,
1906511663624,1626794999340,181959761970,,,696361682668,1000115579741,930908871117,5257873533894,1561238723227,1090337562697,270436383160,2265599709955,6498302166897,,3538942985039,2596175947064,2601583004983,2199347767606,937359980056,396828179458,277361770340,239903772785,640562745995,137141094319,638910325179,543004619223,-71291486305,-71542534289,837517264008,,,,2021,
2060065764290,1906511663624,143609621970,,,907203580146,999987877617,1000115579741,5267284720508,1811856720954,1561238723227,159693398534,2369980096744,6414344637566,,3719325523137,3536522769098,3343961778421,2601583004983,375363744716,934939764115,289443126802,277361770340,64887143335,638142530054,20858603953,24807189262,168209187483,-154264034033,1085634295495,,,,2022,
1766631178074,2060065764290,147661908119,,,778475640210,1018923261581,999987877617,5088858301845,1708893344984,1811856720954,158671895216,5088858301845,6319076517041,2776232060583.0,3436688023238,3719325523137,3027869172937,3343961778421,408818850301,375363744716,297606213119,289443126802,94366525424,64887143335,24030009497,-438141363,398841163285,-104873922900,965626537623,,,,2023,
1021710482736,1766631178074,108875286608,,,440219965506,921222285514,1018923261581,4340864429768,1351828011529,1708893344984,54609360000,4340864429768,6669271596604,2504438694987.0,18894834299,18921030924,1753143933955,1518627702152,519612464605,328578997878,284145219239,254075058516,221133379310,57657827604,13274077498,484258153404,464802029998,-227370834154,780229869486,,,,2024,
1324496905178,1021710482736,300343505265,,,369947943821,1075937979347,921222285514,5387103885233,1305490493768,1351828011529,737502340837,5387103885233,6951695817278,2857192993387.0,104762240142,18894834299,1755981381347,1753143933955,675727333390,519612464605,270784700601,284145219239,393021437826,221133379310,108650673937,422120861647,421093178280,-678994439002,621977856754,,,,2025,
