current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,long_term_debt,roe,debt_ratio,opm,year,short_term_investments
1490453059158,0,241374267060,841532652215.0,0.0,357615112488,471562205952,0,2094576576063,588831464538,0,1054462680230,15625138897.0,1040113895833,1449573280270,0,1254561884485,0,195011395785,0,132592130352,0,62419265433,0,22367555752,14281034940,-4438758090,-71598767194,71505447140.0,151610000000.0,,,,2017,
1651651858686,1490453059158,376328702307,649018990259.0,841532652215.0,424705401756,527967462785,471562205952,2326055714894,1123316044022,588831464538,1474757170794,-173307675050.0,851298544100,1940412136088,1449573280270,1787659456259,1254561884485,152752679829,195011395785,253334137078,132592130352,-100581457249,62419265433,-216366395671,-178926078845,-4026713716,-124697213091,141041985299.0,146003030000.0,,,,2018,15000000000.0
1484220244388,1651651858686,189724611893,487479246228.0,649018990259.0,390771146147,516893453293,527967462785,2256474848477,1123767373332,1123316044022,1556258916971,-427892647018.0,700215931506,1771133588482,1940412136088,1617777085454,1787659456259,153356503028,152752679829,310050968583,253334137078,-156694465555,-100581457249,-333636166353,-264300822542,57542834842,-206214853999,483414369573.0,-11656500000.0,,,,2019,
1474374926184,1484220244388,524256768315,385082327598.0,487479246228.0,358593899339,510469690559,516893453293,2272620339599,1275328870603,1123767373332,1593446800528,-461479505971.0,679173539071,1811344734384,1771133588482,1501167513697,1617777085454,310177220687,153356503028,237478128471,310050968583,72699092216,-156694465555,-53498699948,-40246346429,204526388307,138990813699,380871072156.0,52000000000.0,,,,2020,
1398337921716,1474374926184,354808620188,456484450183.0,385082327598.0,357079097027,516254305308,510469690559,2214970249748,1252495843373,1275328870603,1568748135135,,646222114613,1805991746883,1811344734384,1570865258704,1501167513697,235126488179,310177220687,225390128124,237478128471,9736360055,72699092216,-40421488446,-33686739374,109777416049,-42393183060,272967666041.0,92000000000.0,,,,2021,
1548305844287,1398337921716,172685883612,506398548270.0,456484450183.0,627806183081,536867989055,516254305308,2435030170738,1411144505503,1252495843373,1603861296111,171907879675.0,831168874627,2104499487335,1805991746883,1768194218395,1570865258704,336305268940,235126488179,203264281614,225390128124,133040987326,9736360055,163915271479,162017992899,-124138810949,-57612911584,236060949995.0,54240000000.0,,,,2022,
1972953333108,1548305844287,176097890089,659957378794.0,506398548270.0,849724918573,624252694877,536867989055,2910160077690,1497428721709,1411144505503,2910160077690,396620702346.0,1057030326170,2702799337370,2104499487335,2092381405801,1768194218395,610417931569,336305268940,295199640848,203264281614,315218290721,133040987326,51060898495,259455508262,-22438778035,-93295676645,473572233244.0,858071600.0,,,,2023,
2763740978393,1972953333108,569771637520,,,1081391018449,730080201042,624252694877,3795545096460,2001078594202,1497428721709,3795545096460,815876343990.0,1507517124598,3322349007529,2702799337370,2277783725387,2092381405801,1044565282142,610417931569,375594568595,295199640848,668970713547,315218290721,151662396435,498409535389,1033722426199,-143186078555,,,,,,2024,
3426275170373,2763740978393,950781542257,,,1266517678791,942724542237,730080201042,4769815393358,2548719075384,2001078594202,4769815393358,1322719258029.0,2032934924019,4079497658529,3322349007529,2686658538765,2277783725387,1392839119764,1044565282142,397525681974,375594568595,995313437790,668970713547,224569238338,731816191305,959572657325,-225911470009,,,,,,2025,
