current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,short_term_debt,roe,debt_ratio,opm,year
,,3019311209614,,,,,5635100724323,,,,1026856415552,557809704858,4608244308771,,,,,,519877622732,713908175923,-1199699012605,14610000000,,,,,2021
,,674689124024,,,,,6030311640765,,,,917461503208,3467581310414,5112850137557,,,751606569542.0,650608053460.0,,500154032217,512702525133,-2862953636827,52700774448,,,,,2022
,,721048785947,,,,,6440456619598,,,,881636358567,3894954771671,5558820261031,,,768045608970.0,751606569542.0,,594060314352,662346237987,-394207201491,52857165038,,,,,2023
,,581659970379,,,,,7919463568015,,,,1090331965788,5081464676060,6829131602227,,,1182487684188.0,768045608970.0,,1302592653712,907928823450,-831615866837,80588867612,,,,,2024
,,596725775511,,,,,9433648042482,,,,2249503836253,5637474831053,7184144206229,,,1054380980188.0,1182487684188.0,,733703643561,1045103395353,-579592723164,110955578137,,,,,2025
