ticker,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,ask_price_4,ask_vol_4,ask_price_5,ask_vol_5,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,bid_price_4,bid_vol_4,bid_price_5,bid_vol_5,total_ask_vol,total_bid_vol,order_imbalance,spread,spread_pct,bid_depth_ratio,timestamp
15760,47150,333,47200,20,47250,21,47300,166,47350,61,47000,559,46950,5595,46900,1485,46850,709,46800,608,601,8956,0.874228314323664,150,0.3191489361701449,0.0624162572576346,2026-03-24 09:02:55
15760,47000,1400,47050,1780,47100,839,47150,1073,47200,1038,46950,428,46900,6406,46850,1064,46800,1813,46750,422,6130,10133,0.2461415482996703,50,0.1064962726304352,0.042238231520732,2026-03-24 09:09:11
15760,46950,2284,47000,1333,47050,642,47100,3052,47150,200,46900,2036,46850,7233,46800,1919,46750,626,46700,1718,7511,13532,0.2861284037445772,50,0.1066098081023226,0.1504581732189251,2026-03-24 09:15:29
15760,47300,557,47350,574,47400,2129,47450,1018,47500,3354,47250,720,47200,482,47150,6659,47100,359,47050,289,7632,8509,0.0543336844061369,50,0.1058201058200834,0.0846162886354628,2026-03-24 09:22:10
15760,47200,1064,47250,487,47300,1762,47350,157,47400,2022,47150,3045,47100,5589,47050,1411,47000,1047,46950,488,5492,11580,0.3566073102153487,50,0.1060445387062341,0.2629533678754205,2026-03-24 09:28:31
15760,47100,370,47150,1040,47200,607,47250,2283,47300,1501,47050,7434,47000,1547,46950,450,46900,915,46850,60,5801,10406,0.2841364842350317,50,0.1062699256110294,0.7143955410333322,2026-03-24 09:34:50
15760,47000,6481,47050,2264,47100,1121,47150,1792,47200,2713,46950,272,46900,309,46850,3609,46800,2137,46750,349,14371,6676,-0.3656103007552783,50,0.1064962726304352,0.0407429598561402,2026-03-24 09:41:17
15760,47000,2188,47050,953,47100,3945,47150,2688,47200,2793,46950,4488,46900,841,46850,294,46800,2485,46750,868,12567,8976,-0.1666898760617524,50,0.1064962726304352,0.4999999999994429,2026-03-24 09:47:43
15760,46850,4692,46900,727,46950,1061,47000,12595,47050,940,46800,2345,46750,1120,46700,6220,46650,3021,46600,3932,20015,16638,-0.0921343409816134,50,0.106837606837584,0.1409424209639734,2026-03-24 09:54:11
15760,46750,16,46800,754,46850,4128,46900,370,46950,2254,46700,9974,46650,3081,46600,3917,46550,1813,46500,8852,7522,27637,0.5721152478737814,50,0.107066381156294,0.3608930057530264,2026-03-24 10:00:38
15760,46550,674,46600,2709,46650,1357,46700,2879,46750,172,46500,2263,46450,4256,46400,2197,46350,1190,46300,1547,7791,11453,0.190293078361988,50,0.1075268817204069,0.1975901510519535,2026-03-24 10:06:55
15760,46700,2407,46750,2748,46800,460,46850,132,46900,416,46650,68,46600,4133,46550,2134,46500,2306,46450,1361,6163,10002,0.2374884008659217,50,0.1071811361200199,0.0067986402719388,2026-03-24 10:13:14
15760,46450,169,46500,49,46550,3577,46600,163,46650,2002,46400,3522,46350,323,46300,1771,46250,2179,46200,493,5960,8288,0.1633913531722604,50,0.1077586206896319,0.4249517374512246,2026-03-24 10:19:32
15760,46750,1097,46800,3935,46850,220,46900,578,46950,4146,46700,379,46650,1342,46600,2213,46550,1435,46500,895,9976,6264,-0.2285714285712878,50,0.107066381156294,0.060504469987132,2026-03-24 10:25:50
15760,46750,239,46800,1715,46850,2647,46900,81,46950,2010,46700,692,46650,5488,46600,579,46550,1154,46500,2248,6692,10161,0.205838723075888,50,0.107066381156294,0.0681035331167521,2026-03-24 10:32:06
15760,46550,624,46600,1591,46650,5,46700,298,46750,3621,46500,2319,46450,5895,46400,549,46350,229,46300,3711,6139,12703,0.3483706612884256,50,0.1075268817204069,0.1825553018970459,2026-03-24 10:38:21
15760,46300,4243,46350,1784,46400,1901,46450,1810,46500,1653,46250,2994,46200,6161,46150,3746,46100,10987,46050,1877,11391,25765,0.3868554203896042,50,0.1081081081080847,0.1162041529205836,2026-03-24 10:44:36
15760,46350,1388,46400,312,46450,1861,46500,1853,46550,52,46300,743,46250,1961,46200,6556,46150,3686,46100,9717,5466,22663,0.6113619396350345,50,0.1079913606911213,0.032784715174499,2026-03-24 10:50:53
15760,46100,4025,46150,4700,46200,389,46300,884,46350,91,46050,2044,46000,7442,45950,5712,45900,2666,45850,1278,10089,19142,0.3097054496937122,50,0.1085776330075768,0.1067809006372861,2026-03-24 10:57:09
15760,46300,1787,46350,3046,46400,720,46450,787,46500,1704,46250,251,46200,6219,46150,171,46100,522,46050,265,8044,7428,-0.0398138572905637,50,0.1081081081080847,0.0337910608507891,2026-03-24 11:03:23
15760,46300,1245,46350,4954,46450,570,46500,1704,46550,2011,46250,1865,46200,4903,46150,320,46100,898,46050,552,10484,8538,-0.1023025969929017,50,0.1081081081080847,0.2184352307329369,2026-03-24 11:09:41
15760,46250,68,46300,4633,46350,126,46400,801,46450,564,46200,632,46150,994,46100,1577,46050,1840,46000,7291,6192,12334,0.3315340602394842,50,0.1082251082250848,0.051240473487878,2026-03-24 11:16:04
15760,46500,1969,46550,2037,46600,4797,46650,662,46700,1124,46450,2346,46400,89,46350,56,46300,262,46250,505,10589,3258,-0.5294287571311262,50,0.1076426264800629,0.7200736648228359,2026-03-24 11:22:22
15760,46550,447,46600,5110,46650,261,46700,567,46750,2070,46500,271,46450,584,46400,260,46350,55,46300,237,8455,1407,-0.7146623402953612,50,0.1075268817204069,0.1926083866368684,2026-03-24 11:28:41
15760,46600,2437,46650,4811,46700,778,46750,2070,46800,2573,46550,764,46500,1302,46450,371,46400,982,46350,377,12669,3796,-0.5389006984509329,50,0.1074113856068512,0.2012644889351916,2026-03-24 11:34:56
15760,46550,749,46600,7745,46650,1128,46700,6149,46750,2070,46500,2282,46450,1634,46400,847,46350,389,46300,458,17841,5610,-0.521555583983403,50,0.1075268817204069,0.4067736185375993,2026-03-24 11:41:16
