current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year
2372221000000,2357300000000,138821000000,134921000000,183171000000,675011000000,2404052000000,2735463000000,5256464000000,2636927000000,3468681000000,514563000000.0,182689000000,4361281000000,-527832000000.0,895183000000,2813271000000,3063623000000,2753545000000,3052318000000,59726000000,11305000000,139045000000,234665000000,-79319000000,-223360000000,-338330000000,-334446000000,-36763000000,-85380000000,,,,2016
1894161000000,2264280000000,145442000000,130629000000,162353000000,709533000000,1792322000000,2404052000000,4206655000000,3329421000000,2636927000000,243789000000.0,0,3629457000000,-773344000000.0,577198000000,2452314000000,2813271000000,2431066000000,2753545000000,21248000000,59726000000,137941000000,139045000000,-116693000000,-79319000000,-276333000000,-277978000000,385461000000,198422000000,,,,2017
1720906000000,1894161000000,229003000000,109666000000,130629000000,519198000000,638765000000,1792322000000,2733620000000,2140149000000,3329421000000,104816000000.0,20398000000,3441806000000,,-708186000000,1697869000000,1647652000000,1557089000000,1562408000000,140780000000,85244000000,79104000000,87170000000,61676000000,-1926000000,-8407000000,-1283647000000,420195000000,-2020000000,,,,2018
1300538000000,1720906000000,122434000000,147449000000,109666000000,363759000000,615117000000,638765000000,2470222000000,1845223000000,2140149000000,0.0,0,2225228000000,,244994000000,1628751000000,1697869000000,1451267000000,1557089000000,177484000000,140780000000,93645000000,79104000000,83839000000,61676000000,-22227000000,306169000000,155934000000,36099000000,,,,2019
1067516000000,1300538000000,213893000000,55364000000,147449000000,167158000000,596098000000,615117000000,2193855000000,1034561000000,1845223000000,0.0,28882000000,1873852000000,,320003000000,1695815000000,1628751000000,1565344000000,1451267000000,130471000000,177484000000,78842000000,93645000000,51629000000,83839000000,12884000000,78346000000,264454000000,73036000000,,,,2020
948999000000,1067516000000,118309000000,67032000000,55364000000,147110000000,923488000000,596098000000,2385236000000,949994000000,1034561000000,0.0,28455000000,1953231000000,,432005000000,1706532000000,1695815000000,1727059000000,1565344000000,-20527000000,130471000000,88464000000,78842000000,-108991000000,51629000000,-157668000000,-139844000000,-110633000000,38384000000,,,,2021
1430318000000,948999000000,102233000000,135519000000,67032000000,200698000000,644984000000,923488000000,2567697000000,1418222000000,949994000000,,29421000000,2182707000000,,384990000000,1788163000000,1706532000000,1691528000000,1727059000000,96635000000,-20527000000,90010000000,88464000000,6625000000,-108991000000,-51627000000,-50160000000,84575000000,-36615000000,,,,2022
1727429000000,1430318000000,350257000000,133627000000,135519000000,135297000000,745840000000,644984000000,2890585000000,2125811000000,1418222000000,,0,2549673000000,,340912000000,53666000000,11768000000,2163956000000,1691528000000,-1883000000,96635000000,106904000000,90010000000,-108787000000,6625000000,10918000000,-114319000000,154788000000,86883000000,,,,2023
1073183000000,1727429000000,207128000000,77852000000,133627000000,105441000000,740427000000,745840000000,2204429000000,1555136000000,2125811000000,381747000000.0,22500000000,1861032000000,,343397000000,42152000000,53666000000,1779701000000,2163956000000,106261000000,-1883000000,99009000000,106904000000,7252000000,-108787000000,-1945000000,5225000000,-86365000000,187534000000,,,,2024
1258882000000,1073183000000,332206000000,111528000000,77852000000,115769000000,822328000000,740427000000,2453082000000,1491810000000,1555136000000,270520000000.0,20250000000,1783494000000,,669588000000,13552000000,42152000000,1822778000000,1779701000000,176927000000,106261000000,109853000000,99009000000,67074000000,7252000000,-24195000000,51444000000,6330000000,-3023000000,,,,2025
