current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
1424609790941,1331132646966,338852484632,26900000000,492904237268,436136894500,535885784084,1463778199075,1290065094797,4502162481976.0,1146889563421,1159458140741,92337291262,5000000000,1881322775776.0,2539475738560,2620839706200.0,6094059406134,5328492268366,2434038196159,2226175065424,3660021209975,3102317202942,2779084592453,2418222038591,880936617522,684095164351,752735650428,579239822062,713435543563,115732844784,19869392720,-405531578368,,,,2016
1513346103918,1424609790941,386194252722,16900000000,522800476778,469645558997,546905773461,1616594289066,1463778199075,4777969500138.0,1244057335010,1146889563421,71040535459,5000000000,1695353026338.0,3044976550514,3082616473800.0,6270463509780,6094059406134,2460927029869,2434038196159,3809536479911,3660021209975,2879187494098,2779084592453,930348985813,880936617522,861404290438,618549514889,735477193004,127124654891,13953664226,-333798547089,,,,2017
1691202854302,1513604950809,396643798594,16900000000,556088266669,522800476778,614747846838,1813288570135,1616594289066,5275874284165.0,1358883491897,1245441234713,210810384650,13566080000,1681854156165.0,3563364542417,3594020128000.0,6747536801608,6105137370794,2696414092278,2609677025273,4051122709330,3495460345521,3011872573693,2565437072689,1039250135637,930023272832,956005119033,692278706347,817116843804,135694205295,10135518970,-430292259476,,,,2018
2163074840988,1691202854302,647104059171,72263450599,611044864691,556088266669,746323199447,2036044655189,1813288570135,6493669662971.0,1771203779670,1358883491897,287644127872,3566080000,2256581997835.0,4174881534589,4237087665136.0,7685424230297,6747536801608,2917246274571,2696414092278,4768177955726,4051122709330,3591766708822,3011872573693,1176411246904,1039250135637,1092081190103,788173092234,1139641474935,223940938745,13870018114,-461380844546,,,,2019
1982768917805,2163074840988,434105464098,58536528000,585564696288,611044864691,808965987719,2329834013415,2036044655189,6801415783710.0,1479723875311,1771203779670,186412985536,3578572000,1952220084845.0,4805404131407,4849195698865.0,7844506057131,7685424230297,2962930553558,2917246274571,4881575503573,4768177955726,3660710772262,3591766708822,1220864731311,1176411246904,1121074272313,813101140024,1004842472035,233925508629,12507879942,-745883641217,,,,2020
2472884295774,1982768917805,734520611733,95352448800,554857050527,585564696288,1000655942465,2449112181346,2329834013415,7555239417717.0,1525844759254,1479723875311,256676145850,5460181804,2057406606361.0,5484022033744,5497832811356.0,8091511297961,7844506057131,3039883555040,2962930553558,5051627742921,4881575503573,3761997319316,3660710772262,1289630423605,1220864731311,1187364858585,861127851880,984481666368,240917419595,12537198896,-465122432772,,,,2021
2284388637755,2472884295774,655092563078,21974830400,550861505948,554857050527,955432614662,2383867277039,2449112181346,7302929652203.0,1162757522705,1525844759254,215544469417,7504919540,1834093663954.0,5542446884994,5468835988249.0,7185759184335,8091511297961,3168512092765,3039883555040,4017247091570,5051627742921,3306124157201,3761997319316,711122934369,1289630423605,417769360752,258340046881,497299483100,246887613016,14830609188,-197383721806,,,,2022
2429583603574,2284388637755,910348037982,16477971200,529076344154,550861505948,884515142151,2307114070178,2383867277039,7220285811725.0,1089658847771,1162757522705,138182509535,7790336487,1671359345925.0,5604425480133,5548926465800.0,6804839370129,7185759184335,3177921081645,3168512092765,3626918288484,4017247091570,3139937063742,3306124157201,486981224742,711122934369,112859158403,163524219980,659061627244,1294475720,19366715671,-140774747630,,,,2023
2856048500735,2429583603574,1253469878367,16481916800,576205113721,529076344154,922418157031,2226368549375,2307114070178,,1295900316472,1089658847771,241330029491,1993443590,,5695579977322,,6811918756741,6804839370129,3251086359896,3177921081645,3560832396845,3626918288484,3101786484665,3139937063742,459045912180,486981224742,112748613963,203887730139,527630110092,713134900,17267275143,-152177113918,,,,2024
2635393494720,2856048500735,1086333734803,100697817600,487543683002,576205113721,832397070629,2063345759149,2226368549375,,945031595946,1295900316472,55803511595,0,,5540328337306,,6355489977342,6811918756741,3210894971704,3251086359896,3144595005638,3560832396845,2973906408709,3101786484665,170688596929,459045912180,22462315126,-85778983809,446433049589,386546373,20989855484,-171079058821,,,,2025
