year,quarter,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq,earnings_surprise,earnings_momentum
2025,Q1,142369362877.0,0.0,1697877264205.0,0.0,142369362877.0,1697877264205.0,,,,0.0,0.0
2025,Q2,54814037403.0,0.0,1604872243862.0,0.0,-87555325474.0,-93005020343.0,,,-1.6149871271787837,-0.7071067811865476,-1.0
2025,Q3,46195070525.0,0.0,1579950874205.0,0.0,-8618966878.0,-24921369657.0,,,-0.9015597642823058,-0.20557711184924995,-2.0
2025,Q4,170688596929.0,459045912180.0,6355489977342.0,6811918756741.0,124493526404.0,4775539103137.0,,,-15.444135610008084,0.744608064512742,-1.0
2026,Q1,107831141908.0,0.0,1576592750887.0,0.0,107831141908.0,1576592750887.0,-0.0714330275073147,-0.24259588068002588,-0.1338413729395702,0.7350963391524519,1.0
