current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,short_term_debt,roe,debt_ratio,opm,year
,,68623111481,27500000000.0,,,,,,284988380023,,,,75643573774,205555135854,209344806249,166268021834,117791353740,,,,,,,38554457582.0,22741656873.0,,31445454320,38100568069,4297540303,,-30412951831,,,,,2016
,,73470890403,0.0,,,,,,285064244128,,,,78890956748,205235351417,206173287380,197300043409,166268021834,,,,,,,51655165751.0,38554457582.0,,9500246912,36015991397,4591403518,,16742696026,,,,,2017
,,24854971910,0.0,,,,,,246028948270,,,,30471881395,203941883900,215557066875,217114859555,197300043409,,,,,,,56788924892.0,51655165751.0,,49272961449,45626978011,4648109221,,-22969014357,,,,,2018
,,47806100487,0.0,,,,,,257474681329,,,,37769479525,208881643066,219705201804,120377520384,217114859555,,,,,,,13725362614.0,56788924892.0,,19262572161,27170525034,6002183966,,9147890608,,,,,2019
,,81154267884,,,,,,,326966868038,,,,69876325235,215235788066,257090542803,257385897660,120377520384,,,,,,,66649466315.0,13725362614.0,,50131485364,37483996929,5714618954,,11667327543,,,,,2020
,,49608464797,,,,,,,429285683427,,,,82473641150,282619540445,346812042277,373169401913,257385897660,,,,,,,122419465500.0,66649466315.0,,104438304265,52279090690,6101121932,,-64957521614,,,,,2021
,,90895691895,12673000000.0,,,,,,455432965985,,,,65336210199,325269340929,390096755786,327592058714,373169401913,,,,,,,111859422080.0,122419465500.0,,92259257411,109501808221,8391371700,,-18079678286,,,,,2022
,,179732421459,0.0,,,,,,723839103741,,,,151940478614,532248974169,571898625127,159008528366,327592058714,,,,,,,34571410992.0,111859422080.0,,267167515858,44990807438,7565505197,,84636164574,,,,,2023
,,103966003566,0.0,,,,,,710872366678,,,,710872366678,610049963397,540887863389,558917191547,159008528366,,,,,,,,,,152614498001,141363819580,9109315260,,9424530414,,,,,2024
,,276235377529,0.0,,,,,,813331626120,,,,813331626120,639253488501,690327519537,576684619527,558917191547,,,,,,,,,,214007548411,228626759780,371793491,,18323837100,,,,,2025
