year,report,account,current,previous,fs_div,sj_div
2025,연간,자산총계,171234323350,73658644252,CFS,BS
2025,연간,자본총계,103795095825,66412537872,CFS,BS
2025,연간,자본과부채총계,171234323350,73658644252,CFS,BS
2025,연간,부채총계,67439227525,7246106380,CFS,BS
2025,연간,영업이익(손실),-54384535976,-36339049690,CFS,CIS
2025,연간,당기순이익(손실),-42706333585,-32613098090,CFS,CIS
2024,연간,자산총계,73658644252,94653233638,CFS,BS
2024,연간,자본총계,66412537872,81343825337,CFS,BS
2024,연간,자본과부채총계,73658644252,94653233638,CFS,BS
2024,연간,부채총계,7246106380,13309408301,CFS,BS
2024,연간,영업이익(손실),-36339049690,-31335510474,CFS,CIS
2024,연간,당기순이익(손실),-32613098090,-36848289927,CFS,CIS
2023,연간,자산총계,94653233638,63950031136,CFS,BS
2023,연간,자본총계,81343825337,34258167614,CFS,BS
2023,연간,자본과부채총계,94653233638,63950031136,CFS,BS
2023,연간,부채총계,13309408301,29691863522,CFS,BS
2023,연간,영업이익(손실),-31335510474,-17863480687,CFS,CIS
2023,연간,당기순이익(손실),-36848289927,-19899662518,CFS,CIS
2022,연간,자산총계,63950031136,40160528811,CFS,BS
2022,연간,부채총계,29691863522,33242391200,CFS,BS
2022,연간,자본총계,34258167614,6918137611,CFS,BS
2022,연간,자본과부채총계,63950031136,40160528811,CFS,BS
2022,연간,영업이익(손실),-17863480687,-10820161233,CFS,CIS
2022,연간,당기순이익(손실),-19899662518,-15574606051,CFS,CIS
2025,3분기,자산총계,99558001410,73658644252,CFS,BS
2025,3분기,자본총계,53207112421,66412537872,CFS,BS
2025,3분기,자본과부채총계,99558001410,73658644252,CFS,BS
2025,3분기,부채총계,46350888989,7246106380,CFS,BS
2025,3분기,영업이익(손실),-13563158292,0,CFS,CIS
2025,3분기,당기순이익(손실),-13804598635,0,CFS,CIS
2024,3분기,자산총계,82340231644,94653233638,CFS,BS
2024,3분기,자본총계,74528462247,81343825337,CFS,BS
2024,3분기,자본과부채총계,82340231644,94653233638,CFS,BS
2024,3분기,부채총계,7811769397,13309408301,CFS,BS
2024,3분기,영업이익(손실),-9493772141,0,CFS,CIS
2024,3분기,당기순이익(손실),-9437166226,0,CFS,CIS
2023,3분기,자산총계,107068357589,63950031136,CFS,BS
