date,open,high,low,close,volume
2026-01-21,219.0354531203157,222.2590556230766,217.85149041771174,220.45822143554688,12616600
2026-01-22,221.1148825581443,227.56207234781587,219.99059849237156,226.9352569580078,9483000
2026-01-23,225.631887371227,229.68128960740884,225.50254065972533,226.8954620361328,9408000
2026-01-26,228.2684638486727,229.78077283788318,226.4377828089404,228.23861694335938,7239600
2026-01-27,230.76577162679038,234.5465365970097,225.12447866823874,227.37303161621094,9838400
2026-01-28,228.22867657571544,230.68617302822608,226.5173831306909,226.80592346191406,8465900
2026-01-29,215.57306934234734,216.1799817205514,207.7230144205324,212.99618530273438,18555600
2026-01-30,213.07578362115376,214.4587459115801,209.96162489992233,211.21524047851562,11090400
2026-02-02,213.2648234781596,215.79195762501485,208.73785557506747,209.74273681640625,7950900
2026-02-03,203.96215839054668,204.51932088198188,192.13235381115655,195.38580322265625,20194200
2026-02-04,192.33132733492616,199.65406648164677,186.33185662106087,198.4302978515625,23010000
2026-02-05,193.00790751721436,198.54970082096247,187.83422100387264,189.0082550048828,21956300
2026-02-06,190.6598526107087,193.614817806995,186.17267536666094,190.3812713623047,13652600
2026-02-09,188.34164940956356,194.21177388952142,184.78971566942653,193.04769897460938,12112000
2026-02-10,190.92847090617403,198.09203195316294,189.7842990292034,192.4706268310547,13393000
2026-02-11,192.17213318074323,192.6895048269234,180.8895478564994,184.0634002685547,16350200
2026-02-12,185.01855696072852,187.36660972255456,179.32751408344743,184.49122619628906,16849100
2026-02-13,185.4961280832271,192.4706336714869,183.36696269123988,188.759521484375,14822900
2026-02-17,190.00318391536615,192.02290548914857,182.24266967276117,183.35699462890625,13692900
2026-02-18,182.94908565557333,187.1875133215944,180.93930794808088,186.8392791748047,9852900
2026-02-19,185.65532471483155,186.00354369553665,182.30237535695642,184.35194396972656,9565100
2026-02-20,184.38178882736634,190.75932542059104,182.79982697292309,184.22259521484375,10816200
2026-02-23,180.3522971382107,181.54621891828097,173.6862199497409,177.25804138183594,15498600
2026-02-24,176.74068088999576,187.71483930683232,175.3875654052501,184.48129272460938,15564700
2026-02-25,182.07353407400996,191.6249386554261,181.33727497360252,190.77923583984375,21875100
2026-02-26,195.76385728556096,200.02218770640036,190.36135504465778,198.46014404296875,26680500
2026-02-27,190.93843889578375,194.92813237973576,188.95850801668388,193.80384826660156,16346500
2026-03-02,191.52542579297662,194.94801245437512,189.7146326619775,191.97314453125,9932700
2026-03-03,189.7843086141992,197.66421098231984,188.62023368065707,195.05747985839844,13208900
2026-03-04,194.11228627607576,195.4753456100833,191.12747417658636,192.10250854492188,11583700
2026-03-05,193.37602908063636,203.385096657981,193.25664145356333,200.3704376220703,15860900
2026-03-06,199.7734673796906,201.9324948273444,196.37078340395692,201.0867919921875,9657400
2026-03-09,197.5547685014358,202.63889924293775,194.8783844557345,197.78359985351562,10754800
2026-03-10,196.2613420240266,198.55966012327272,189.6350706142157,193.92324829101562,14467400
2026-03-11,195.40569849623307,198.53976040246795,190.32156779555592,193.14720153808594,9580000
2026-03-12,193.14718190935727,203.8228548323795,192.17213242968643,198.27110290527344,26309700
2026-03-13,198.7188368100057,199.98241152169524,190.77924084221425,191.85377502441406,14834700
2026-03-16,194.16200877766246,197.62440152583858,194.16200877766246,197.3358612060547,13419600
2026-03-17,197.2164841210229,201.35542716975343,193.4655660342646,194.3212127685547,11559300
2026-03-18,192.4208813209107,195.15695908891587,191.6647343849253,193.3561248779297,10525100
2026-03-19,194.5997914321279,199.38543762680524,192.32139159468133,194.00283813476562,9254300
2026-03-20,192.23184176984265,194.6793790179939,189.03808636764919,194.39085388183594,20201100
2026-03-23,196.09219798916334,197.04734452173435,191.0279705387624,194.19186401367188,13976200
2026-03-24,191.16726893579764,191.16726893579764,181.36712960098163,182.09344482421875,18631400
2026-03-25,184.75985899559834,186.4413055109877,178.93948472871847,181.03880310058594,12565200
2026-03-26,180.26275252839085,186.52091733450015,178.621111875675,184.70018005371094,10330700
2026-03-27,183.06848048634785,183.17792420694366,177.91471207283868,178.4022216796875,9902000
2026-03-30,179.18821288326532,185.44636178828011,178.67084123908901,184.09324645996094,11617700
2026-03-31,183.96390178610653,187.54568215991932,181.38701780742542,185.72494506835938,11041400
2026-04-01,185.904046779924,188.02325297618086,182.08347588248927,185.29713439941406,11677700
2026-04-02,184.36188899597133,186.63034487798376,180.66072093973236,186.23236083984375,11635500
2026-04-06,186.55074279287547,187.18750205434696,182.670493415399,184.09324645996094,14391000
2026-04-07,184.01366814096977,185.635420952666,181.09850886120205,182.03375244140625,12344600
2026-04-08,185.5558168284281,185.82445416528418,174.89008716135405,175.4770965576172,13472100
2026-04-09,172.72420647519016,173.84131838786436,166.6897779521393,170.41018676757812,20855400
2026-04-10,170.81910867689837,170.81910867689837,163.09904400673946,164.53533935546875,18109300
2026-04-13,166.619956593861,172.95360029090386,165.3432529892489,172.37510681152344,12390800
2026-04-14,174.7589572577855,177.043055331393,170.06107568452117,170.86898803710938,13123600
2026-04-15,173.77150333531898,179.15759592410797,172.43495657566135,177.14280700683594,14340300
2026-04-16,183.52632111625425,184.07490827218808,178.110307097372,180.75347900390625,11866700
2026-04-17,184.95263583877443,187.49607435707364,180.56396895114642,181.67111206054688,17225700
2026-04-20,182.03018257545776,188.5134493521179,181.65115595519515,185.7904815673828,14382300
2026-04-21,186.11962956244392,193.0617034585096,183.6260654751631,186.62831115722656,12073700
2026-04-22,187.71551415547867,190.6579169337777,186.5485279099638,189.3114013671875,14565900
