current_assets,prev_current_assets,cash,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,short_term_debt,equity_corrected
,,380243932000,,,,,,1924442638000,,,,725503228000,44001233000,1198939410000.0,796283397000,587224478000,,,,,,,145515649000,98742469000,,87061118000,116677031000,-1022430146000,,,,2020,,
,,677679348000,,,,,,4728915303000,,,,1842330260000,180802722000,2886585043000.0,1255926483000,796283397000,,,,,,,190247657000,145515649000,,140834607000,177258248000,-2110184115000,,,,2021,,
,,531623878000,,,,,,4870434315000,,,,1941754310000,233123564000,2928680005000.0,1776153957000,1255926483000,,,,,,,236907930000,190247657000,,48032125000,347125164000,-285343823000,,,,2022,,
,,357864096000,,,,,,5345681487000,,,,2235766519000,1420376781000,3109914968000.0,2178088207000,1776153957000,,,,,,,295643307000,236907930000,,183449559000,310627196000,-470768062000,,,,2023,,
,,412039917000,,,,,,5479186860000,,,,1965408202000,1400600116000,,2255648536000,2178088207000,,,,,,,184045287000,295643307000,,-3431847000,151599247000,-10354050000,,,,2024,,
,,534914956000,,,,,,5485474443000,,,,1934017978000,1154720769000,,2649870246000,2255648536000,,,,,,,49318276000,184045287000,,-254385318000,107483561000,-168987949000,,,,2025,,
