close,high,low,open,volume
65.0,65.0,63.0,64.0,0
64.0,65.0,63.0,65.0,257779526
64.0,65.0,63.0,64.0,404872665
65.0,66.0,64.0,65.0,300140443
66.0,66.0,64.0,66.0,372093722
66.0,67.0,65.0,65.0,506658905
67.0,67.0,65.0,66.0,240701180
66.0,67.0,66.0,67.0,83315424
66.0,67.0,65.0,66.0,371321982
66.0,67.0,65.0,66.0,315276595
67.0,67.0,65.0,66.0,540727864
67.0,67.0,66.0,67.0,15569488
66.0,67.0,65.0,67.0,0
67.0,68.0,66.0,66.0,394778781
66.0,67.0,66.0,67.0,17324124
66.0,67.0,65.0,66.0,164720964
66.0,66.0,65.0,66.0,14180000
67.0,67.0,65.0,65.0,770569469
66.0,68.0,66.0,67.0,185700842
66.0,67.0,66.0,67.0,7130744
67.0,68.0,66.0,66.0,349748499
67.0,68.0,67.0,67.0,173718269
67.0,68.0,67.0,67.0,11540794
68.0,69.0,67.0,67.0,610695172
68.0,69.0,67.0,68.0,407420044
69.0,69.0,68.0,69.0,244486859
69.0,69.0,68.0,69.0,121476635
69.0,70.0,68.0,69.0,403543238
70.0,70.0,69.0,70.0,81873296
69.0,70.0,69.0,70.0,68081109
70.0,70.0,69.0,69.0,0
70.0,71.0,69.0,69.0,188529366
70.0,71.0,70.0,71.0,37684603
72.0,72.0,70.0,71.0,250048093
72.0,72.0,71.0,72.0,45820726
71.0,73.0,71.0,72.0,367712260
72.0,73.0,71.0,72.0,288313366
73.0,74.0,72.0,72.0,461828544
73.0,73.0,73.0,73.0,16684085
72.0,74.0,72.0,73.0,506798193
74.0,74.0,72.0,72.0,185415306
72.0,74.0,72.0,73.0,110144653
71.0,73.0,71.0,72.0,298167268
71.0,72.0,71.0,71.0,306287896
72.0,73.0,71.0,71.0,495054771
72.0,73.0,71.0,72.0,219085406
72.0,72.0,71.0,72.0,27744344
72.0,73.0,71.0,72.0,111140388
72.0,73.0,72.0,73.0,166389899
73.0,73.0,71.0,73.0,0
73.0,74.0,72.0,72.0,407092100
73.0,74.0,72.0,72.0,260158825
73.0,74.0,72.0,72.0,111414445
73.0,74.0,72.0,73.0,110202603
73.0,74.0,72.0,73.0,88911400
73.0,73.0,72.0,73.0,8628741
72.0,73.0,71.0,72.0,223413526
71.0,73.0,70.0,72.0,415186015
71.0,72.0,70.0,71.0,339974921
71.0,72.0,71.0,71.0,15415325
70.0,72.0,69.0,72.0,389208425
70.0,71.0,69.0,70.0,82881438
71.0,71.0,69.0,70.0,393533739
71.0,72.0,70.0,70.0,264878426
71.0,72.0,71.0,71.0,21617337
71.0,72.0,70.0,71.0,103124869
72.0,72.0,71.0,71.0,33108443
