ppe_net,prev_ppe_net,current_assets,prev_current_assets,inventory,accounts_receivable,prev_accounts_receivable,cash,total_assets,retained_earnings,total_equity,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_investments,roe,debt_ratio,opm,year,long_term_debt
37039233883,36835203863,181648384855,149631842951,6038429959,6747390181,1720189524,50089783513,239672180931,204192628241,211741071498,25155724106,15585229563,0.0,27931109433,141054668743,94672562665,74579124344,50265449477,66475544399,44407113188,30024485120.0,25837130949.0,36451059279,18569982239,40451685614,31952314175,43618670102,-32023904869,11867204388,,,,2016,
43197851297,37039233883,157075872731,181648384855,19507593431,44556601037,6747390181,28048889252,265845995238,226594832441,231190813773,30786045372,25155724106,0.0,34655181465,130154064755,141054668743,66464137493,74579124344,63689927262,66475544399,37964391646.0,30024485120.0,25725535616,36451059279,29734780452,27378454095,-20889114604,6683481649,-48655661166,,,,2017,
66406743098,43197851297,149234238826,157075872731,54786497209,17105804122,44556601037,23593326241,273456215111,226723549966,236707361451,33016587359,30786045372,,36748853660,220177523746,130154064755,115337733540,66464137493,104839790206,63689927262,64036540875.0,37964391646.0,40803249331,25725535616,33752389485,20688885768,29832280165,-29993530498,-3410209273,,,,2018,
78072016154,66406743098,148631541027,149234238826,34237319434,11594132101,17105804122,21295497776,278351029018,226466582653,245256689119,23492977997,33016587359,,33094339899,205466890210,220177523746,106337996272,115337733540,99128893938,104839790206,75314935998.0,64036540875.0,23813957940,40803249331,21507996967,10808360718,52100066872,-48500222158,29050459750,,,,2019,
86234503120,78072016154,160340273812,148631541027,56206266723,11032211622,11594132101,22886137643,293959661022,225523684391,249002535772,32372732783,23492977997,,44957125250,202591825421,205466890210,104726317229,106337996272,97865508192,99128893938,75579063569.0,75314935998.0,22286444623,23813957940,17482239854,9856634287,17329279267,-12833231734,-3650344884,,,,2020,2740184576.0
94914467848,86234503120,240979230283,160340273812,78436611157,20591063226,11032211622,30008118913,382891842028,280875284005,310740586788,61800466412,32372732783,,72151255240,324575857261,202591825421,170061327901,104726317229,154514529360,97865508192,80602543224.0,75579063569.0,73911986136,22286444623,84212985420,63193771953,72457608239,-66066025501,41603256962,,,,2021,11855000.0
92315395365,94914467848,297304073244,240979230283,117124632525,19970042774,20591063226,45886183005,434013808798,314021837652,346702038418,77570179279,61800466412,,87311770380,310632917779,324575857261,158927042938,170061327901,151705874841,154514529360,98064920474.0,80602543224.0,53640954367,73911986136,59182009132,42595162228,38949017461,-12203339671,2501992690,,,,2022,12673000.0
92246974103,91007507173,299911803748,297304073244,102172034234,8324659029,19862318048,43582951058,436989837327,331735826563,368475409140,56762313792,77570179279,,436989837327,3542393308,7878647605,150882618208,158927042938,125650732568,151705874841,101325003604.0,98064920474.0,24325728964,53640954367,6398440209,25397015593,47693888794,-43146128894,77247035874,,,,2023,0.0
90945476015,92246974103,391289214675,299911803748,107466325393,44774580715,8324659029,29907390340,539499743575,389517789559,435742335000,83383640937,56762313792,,539499743575,11415736223,3542393308,172365011847,150882618208,165702800465,125650732568,104525787568.0,101325003604.0,61177012897,24325728964,11422639237,65440277257,61502669541,-75827511736,69658065108,,,,2024,0.0
93307768126,90945476015,427618492058,391289214675,91438516149,40274185255,44774580715,54924701691,580613743719,425775016795,491392923336,66915612338,83383640937,,580613743719,350324287104,338067812312,179375081597,172365011847,170949205507,165702800465,,,51671713116,61177012897,9739152986,44481997780,66476818240,-55048153074,93510663036,,,,2025,
