date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year,report_type,thstrm_add_amount,frmtrm_add_amount
2016-12-31,20220624000545,11011,2016,554024,91990,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 17 기,2016.01.01 ~ 2016.12.31,"118,459,112,689",제 16 기,2015.01.01 ~ 2015.12.31,"-14,998,113,243",제 15 기,2014.01.01 ~ 2014.12.31,"-364,143,265,590",30,KRW,2016,annual,,
2017-12-31,20171115000164,11014,2017,554024,91990,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 18 기3분기,2017.01.01 ~ 2017.09.30,"28,125,113,446",제 17 기3분기,2016.01.01 ~ 2016.09.30,"28,864,616,723",,,,30,KRW,2017,3Q,"94,538,234,504","29,656,823,017"
2018-12-31,20181114001215,11014,2018,554024,91990,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 19 기3분기,2018.01.01 ~ 2018.09.30,"4,721,980,422",제 18 기3분기,2017.01.01 ~ 2017.09.30,"6,418,660,604",,,,30,KRW,2018,3Q,"79,303,438,632","81,069,439,964"
2019-12-31,20191114001520,11014,2019,554024,91990,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 20 기3분기,2019.01.01 ~ 2019.09.30,"49,652,115,503",제 19 기3분기,2018.01.01 ~ 2018.09.30,"4,721,980,422",,,,30,KRW,2019,3Q,"85,164,737,512","79,303,438,632"
2020-12-31,20201116001486,11014,2020,554024,91990,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 21 기3분기,2020.01.01 ~ 2020.09.30,"140,594,987,676",제 20 기3분기,2019.01.01 ~ 2019.09.30,"49,652,115,503",,,,30,KRW,2020,3Q,"333,383,572,142","85,164,737,512"
2021-12-31,20211112000655,11014,2021,554024,91990,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 22 기3분기,2021.01.01 ~ 2021.09.30,"30,126,834,484",제 21 기3분기,2020.01.01 ~ 2020.09.30,"140,594,987,676",,,,30,KRW,2021,3Q,"116,874,673,148","333,383,572,142"
2022-12-31,20221114001374,11014,2022,554024,91990,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 23 기3분기,2022.01.01 ~ 2022.09.30,"112,423,289,102",제 22 기3분기,2021.01.01 ~ 2021.09.30,"30,126,834,484",,,,30,KRW,2022,3Q,"294,790,499,985","116,874,673,148"
2023-12-31,20231114000287,11014,2023,554024,91990,OFS,재무제표,IS,손익계산서,총포괄손익,제 24 기3분기,2023.01.01 ~ 2023.09.30,"-10,781,294,013",제 23 기3분기,2022.01.01 ~ 2022.09.30,"112,423,289,102",,,,64,KRW,2023,3Q,"188,820,221,625","294,790,499,985"
