date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year,report_type,thstrm_add_amount,frmtrm_add_amount
2016-12-31,20161114002019,11014,2016,111704,42660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 17 기3분기,2016.01.01 ~ 2016.09.30,"-109,544,860,334",제 16 기3분기,2015.01.01 ~ 2015.09.30,"-1,417,787,249,590",,,,30,KRW,2016,3Q,"-1,561,991,128,992","-2,400,837,330,884"
2017-12-31,20171114002634,11014,2017,111704,42660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 18 기3분기,2017.01.01 ~ 2017.09.30,"107,784,066,066",제 17 기3분기,2016.01.01 ~ 2016.09.30,"-155,143,381,738",,,,30,KRW,2017,3Q,"1,596,930,606,826","-1,378,857,666,466"
2018-12-31,20181114001649,11014,2018,111704,42660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 19 기3분기,2018.01.01 ~ 2018.09.30,"136,696,285,512",제 18 기3분기,2017.01.01 ~ 2017.09.30,"107,784,066,066",,,,30,KRW,2018,3Q,"698,512,803,680","1,596,930,606,826"
2019-12-31,20191114002044,11014,2019,111704,42660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 20 기3분기,2019.01.01 ~ 2019.09.30,"-304,644,133,770",제 19 기3분기,2018.01.01 ~ 2018.09.30,"136,696,285,512",,,,30,KRW,2019,3Q,"28,084,505,873","698,512,803,680"
2020-12-31,20201116001061,11014,2020,111704,42660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 21 기3분기,2020.01.01 ~ 2020.09.30,"-29,051,377,294",제 20 기3분기,2019.01.01 ~ 2019.09.30,"-304,644,133,770",,,,30,KRW,2020,3Q,"262,097,413,251","28,084,505,873"
2021-12-31,20211115001018,11014,2021,111704,42660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 22 기3분기,2021.01.01 ~ 2021.09.30,"-47,290,961,118",제 21 기3분기,2020.01.01 ~ 2020.09.30,"-29,051,377,294",,,,30,KRW,2021,3Q,"-1,283,283,534,631","262,097,413,251"
2022-12-31,20221111000310,11014,2022,111704,42660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 23 기3분기,2022.01.01 ~ 2022.09.30,"-652,679,622,356",제 22 기3분기,2021.01.01 ~ 2021.09.30,"-47,290,961,118",,,,30,KRW,2022,3Q,"-1,325,270,920,469","-1,283,283,534,631"
2023-12-31,20231114002221,11014,2023,111704,42660,OFS,재무제표,IS,손익계산서,총포괄손익,제 24 기3분기,2023.01.01 ~ 2023.09.30,"223,181,922,798",제 23 기3분기,2022.01.01 ~ 2022.09.30,"-653,251,080,429",,,,64,KRW,2023,3Q,"-207,387,255,699","-1,326,403,789,471"
2024-12-31,20241114002675,11014,2024,111704,42660,OFS,재무제표,IS,손익계산서,총포괄손익,제 25 기3분기,2024.01.01 ~ 2024.09.30,"-87,914,049,487",제 24 기3분기,2023.01.01 ~ 2023.09.30,"223,181,922,798",,,,64,KRW,2024,3Q,"-88,096,259,567","-207,387,255,699"
2025-12-31,20251112000440,11014,2025,111704,42660,OFS,재무제표,IS,손익계산서,총포괄손익,제 26 기3분기,2025.01.01 ~ 2025.09.30,"281,877,371,617",제 25 기3분기,2024.01.01 ~ 2024.09.30,"-87,914,049,487",,,,64,KRW,2025,3Q,"685,269,262,903","-88,096,259,567"
