date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year,report_type,thstrm_add_amount,frmtrm_add_amount
2016-12-31,20161114001491,11014,2016,126380,5930,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 48 기3분기,2016.01.01 ~ 2016.09.30,"1,682,512,000,000",제 47 기3분기,2015.01.01 ~ 2015.09.30,"3,140,174,000,000",,,,30,KRW,2016,3Q,"6,911,377,000,000","9,268,518,000,000"
2017-12-31,20171114001694,11014,2017,126380,5930,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 49 기3분기,2017.01.01 ~ 2017.09.30,"7,777,375,000,000",제 48 기3분기,2016.01.01 ~ 2016.09.30,"1,682,512,000,000",,,,30,KRW,2017,3Q,"18,794,866,000,000","6,911,377,000,000"
2018-12-31,20181114001530,11014,2018,126380,5930,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 50 기3분기,2018.01.01 ~ 2018.09.30,"10,211,548,000,000",제 49 기3분기,2017.01.01 ~ 2017.09.30,"7,777,375,000,000",,,,30,KRW,2018,3Q,"26,741,991,000,000","18,794,866,000,000"
2019-12-31,20191114001273,11014,2019,126380,5930,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 51 기3분기,2019.01.01 ~ 2019.09.30,"4,585,890,000,000",제 50 기3분기,2018.01.01 ~ 2018.09.30,"10,211,548,000,000",,,,30,KRW,2019,3Q,"11,737,687,000,000","26,741,991,000,000"
2020-12-31,20201116001248,11014,2020,126380,5930,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 52 기3분기,2020.01.01 ~ 2020.09.30,"5,270,095,000,000",제 51 기3분기,2019.01.01 ~ 2019.09.30,"4,585,890,000,000",,,,30,KRW,2020,3Q,"11,098,267,000,000","11,737,687,000,000"
2021-12-31,20211115001965,11014,2021,126380,5930,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 53 기3분기,2021.01.01 ~ 2021.09.30,"8,594,666,000,000",제 52 기3분기,2020.01.01 ~ 2020.09.30,"5,270,095,000,000",,,,30,KRW,2021,3Q,"22,271,460,000,000","11,098,267,000,000"
2022-12-31,20221114001832,11014,2022,126380,5930,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 54 기3분기,2022.01.01 ~ 2022.09.30,"5,748,478,000,000",제 53 기3분기,2021.01.01 ~ 2021.09.30,"8,594,666,000,000",,,,30,KRW,2022,3Q,"21,591,729,000,000","22,271,460,000,000"
2023-12-31,20231114002109,11014,2023,126380,5930,OFS,재무제표,IS,손익계산서,총포괄손익,제 55 기3분기,2023.01.01 ~ 2023.09.30,"10,471,395,000,000",제 54 기3분기,2022.01.01 ~ 2022.09.30,"5,583,413,000,000",,,,64,KRW,2023,3Q,"24,149,126,000,000","21,209,258,000,000"
2024-12-31,20241114002642,11014,2024,126380,5930,OFS,재무제표,IS,손익계산서,총포괄손익,제 56 기3분기,2024.01.01 ~ 2024.09.30,"5,653,405,000,000",제 55 기3분기,2023.01.01 ~ 2023.09.30,"10,471,396,000,000",,,,64,KRW,2024,3Q,"22,641,505,000,000","24,149,127,000,000"
2025-12-31,20251114002447,11014,2025,126380,5930,OFS,재무제표,IS,손익계산서,총포괄손익,제 57 기3분기,2025.01.01 ~ 2025.09.30,"11,263,775,000,000",제 56 기3분기,2024.01.01 ~ 2024.09.30,"5,653,405,000,000",,,,64,KRW,2025,3Q,"20,946,618,000,000","22,641,505,000,000"
