date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year,report_type,thstrm_add_amount,frmtrm_add_amount
2016-12-31,20161114001476,11014,2016,164779,660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 69 기3분기,2016.01.01 ~ 2016.09.30,"465,852,000,000",제 68 기3분기,2015.01.01 ~ 2015.09.30,"1,031,765,000,000",,,,30,KRW,2016,3Q,"1,178,258,000,000","3,433,202,000,000"
2017-12-31,20171114002328,11014,2017,164779,660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 70 기3분기,2017.01.01 ~ 2017.09.30,"2,938,555,000,000",제 69 기3분기,2016.01.01 ~ 2016.09.30,"465,852,000,000",,,,30,KRW,2017,3Q,"7,248,436,000,000","1,178,258,000,000"
2018-12-31,20181114002438,11014,2018,164779,660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 71 기3분기,2018.01.01 ~ 2018.09.30,"4,611,144,000,000",제 70 기3분기,2017.01.01 ~ 2017.09.30,"2,938,555,000,000",,,,30,KRW,2018,3Q,"12,011,626,000,000","7,248,436,000,000"
2019-12-31,20191114002661,11014,2019,164779,660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 72 기3분기,2019.01.01 ~ 2019.09.30,"418,687,000,000",제 71 기3분기,2018.01.01 ~ 2018.09.30,"4,611,144,000,000",,,,30,KRW,2019,3Q,"1,740,198,000,000","12,011,626,000,000"
2020-12-31,20201116001609,11014,2020,164779,660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 73 기3분기,2020.01.01 ~ 2020.09.30,"888,283,000,000",제 72 기3분기,2019.01.01 ~ 2019.09.30,"418,687,000,000",,,,30,KRW,2020,3Q,"2,783,848,000,000","1,740,198,000,000"
2021-12-31,20211115001474,11014,2021,164779,660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 74 기3분기,2021.01.01 ~ 2021.09.30,"3,358,333,000,000",제 73 기3분기,2020.01.01 ~ 2020.09.30,"894,870,000,000",,,,30,KRW,2021,3Q,"6,260,679,000,000","2,781,230,000,000"
2022-12-31,20221114001566,11014,2022,164779,660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 75 기3분기,2022.01.01 ~ 2022.09.30,"2,131,215,000,000",제 74 기3분기,2021.01.01 ~ 2021.09.30,"3,358,333,000,000",,,,30,KRW,2022,3Q,"7,646,892,000,000","6,260,679,000,000"
2023-12-31,20231114002574,11014,2023,164779,660,OFS,재무제표,IS,손익계산서,총포괄손익,제 76 기3분기,2023.01.01 ~ 2023.09.30,"-754,194,000,000",제 75 기3분기,2022.01.01 ~ 2022.09.30,"2,115,015,000,000",,,,64,KRW,2023,3Q,"-3,794,429,000,000","7,617,250,000,000"
2024-12-31,20241114001712,11014,2024,164779,660,OFS,재무제표,IS,손익계산서,총포괄손익,제 77 기3분기,2024.01.01 ~ 2024.09.30,"5,177,218,000,000",제 76 기3분기,2023.01.01 ~ 2023.09.30,"-754,194,000,000",,,,64,KRW,2024,3Q,"11,285,024,000,000","-3,794,429,000,000"
2025-12-31,20251114001805,11014,2025,164779,660,OFS,재무제표,IS,손익계산서,총포괄손익,제 78 기3분기,2025.01.01 ~ 2025.09.30,"12,387,971,000,000",제 77 기3분기,2024.01.01 ~ 2024.09.30,"5,177,218,000,000",,,,64,KRW,2025,3Q,"26,842,111,000,000","11,285,024,000,000"
