date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year,report_type,thstrm_add_amount,frmtrm_add_amount
2016-12-31,20161114001715,11014,2016,159193,15760,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 56 기3분기,2016.01.01 ~ 2016.09.30,"2,032,120,000,000",제 55 기3분기,2015.01.01 ~ 2015.09.30,"8,062,830,000,000",,,,30,KRW,2016,3Q,"4,479,653,000,000","9,991,784,000,000"
2017-12-31,20171114002509,11014,2017,159193,15760,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 57 기3분기,2017.01.01 ~ 2017.09.30,"1,458,878,000,000",제 56 기3분기,2016.01.01 ~ 2016.09.30,"2,032,120,000,000",,,,30,KRW,2017,3Q,"2,008,166,000,000","4,479,653,000,000"
2018-12-31,20181114002722,11014,2018,159193,15760,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 58 기3분기,2018.01.01 ~ 2018.09.30,"502,127,000,000",제 57 기3분기,2017.01.01 ~ 2017.09.30,"1,458,878,000,000",,,,30,KRW,2018,3Q,"-543,642,000,000","2,008,166,000,000"
2019-12-31,20191114002666,11014,2019,159193,15760,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 59 기3분기,2019.01.01 ~ 2019.09.30,"-2,881,000,000",제 58 기3분기,2018.01.01 ~ 2018.09.30,"502,127,000,000",,,,30,KRW,2019,3Q,"-1,527,046,000,000","-543,642,000,000"
2020-12-31,20201116001049,11014,2020,159193,15760,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 60 기3분기,2020.01.01 ~ 2020.09.30,"1,106,690,000,000",제 59 기3분기,2019.01.01 ~ 2019.09.30,"-2,881,000,000",,,,30,KRW,2020,3Q,"1,145,172,000,000","-1,527,046,000,000"
2021-12-31,20211115001967,11014,2021,159193,15760,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 61 기3분기,2021.01.01 ~ 2021.09.30,"-1,026,168,000,000",제 60 기3분기,2020.01.01 ~ 2020.09.30,"1,106,690,000,000",,,,30,KRW,2021,3Q,"-2,232,658,000,000","1,145,172,000,000"
2022-12-31,20221114002696,11014,2022,159193,15760,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 62 기3분기,2022.01.01 ~ 2022.09.30,"-6,576,039,000,000",제 61 기3분기,2021.01.01 ~ 2021.09.30,"-1,026,168,000,000",,,,30,KRW,2022,3Q,"-17,386,661,000,000","-2,232,658,000,000"
2023-12-31,20231114002735,11014,2023,159193,15760,OFS,재무제표,IS,손익계산서,총포괄손익,제 63 기3분기,2023.01.01 ~ 2023.09.30,"-882,651,000,000",제 62 기3분기,2022.01.01 ~ 2022.09.30,"-6,499,276,000,000",,,,64,KRW,2023,3Q,"-7,032,539,000,000","-17,154,181,000,000"
2024-12-31,20241114002446,11014,2024,159193,15760,OFS,재무제표,IS,손익계산서,총포괄손익,제 64 기3분기,2024.01.01 ~ 2024.09.30,"-1,014,599,000,000",제 63 기3분기,2023.01.01 ~ 2023.09.30,"-882,651,000,000",,,,64,KRW,2024,3Q,"-929,837,000,000","-7,032,539,000,000"
2025-12-31,20251114001180,11014,2025,159193,15760,OFS,재무제표,IS,손익계산서,총포괄손익,제 65 기3분기,2025.01.01 ~ 2025.09.30,"1,826,188,000,000",제 64 기3분기,2024.01.01 ~ 2024.09.30,"-1,014,599,000,000",,,,64,KRW,2025,3Q,"4,936,329,000,000","-929,837,000,000"
