date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year,report_type,thstrm_add_amount,frmtrm_add_amount
2016-12-31,20161114001097,11014,2016,159616,34020,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 54 기3분기,2016.01.01 ~ 2016.09.30,"6,057,118,640",제 53 기3분기,2015.01.01 ~ 2015.09.30,"-51,756,083,243",,,,30,KRW,2016,3Q,"31,529,353,325","10,071,264,513"
2017-12-31,20171114001621,11014,2017,159616,34020,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 55 기3분기,2017.01.01 ~ 2017.09.30,"6,959,647,923",제 54 기3분기,2016.01.01 ~ 2016.09.30,"6,057,118,640",,,,30,KRW,2017,3Q,"35,041,906,362","31,529,353,325"
2018-12-31,20181114002524,11014,2018,159616,34020,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 56 기3분기,2018.01.01 ~ 2018.09.30,"-17,030,703,032",제 55 기3분기,2017.01.01 ~ 2017.09.30,"6,959,647,923",,,,30,KRW,2018,3Q,"89,946,134,500","35,041,906,362"
2019-12-31,20191114002511,11014,2019,159616,34020,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 57 기3분기,2019.01.01 ~ 2019.09.30,"-120,389,840,484",제 56 기3분기,2018.01.01 ~ 2018.09.30,"-17,030,703,032",,,,30,KRW,2019,3Q,"-180,408,533,193","89,946,134,500"
2020-12-31,20201113000791,11014,2020,159616,34020,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 58 기3분기,2020.01.01 ~ 2020.09.30,"-349,039,154,013",제 57 기3분기,2019.01.01 ~ 2019.09.30,"-120,389,840,484",,,,30,KRW,2020,3Q,"-1,155,077,109,168","-180,408,533,193"
2021-12-31,20211112001083,11014,2021,159616,34020,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 59 기3분기,2021.01.01 ~ 2021.09.30,"-58,467,629,950",제 58 기3분기,2020.01.01 ~ 2020.09.30,"-349,039,154,013",,,,30,KRW,2021,3Q,"127,682,226,491","-1,155,077,109,168"
2022-12-31,20221114002161,11014,2022,159616,34020,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 60 기3분기,2022.01.01 ~ 2022.09.30,"-85,371,515,894",제 59 기3분기,2021.01.01 ~ 2021.09.30,"-58,467,629,950",,,,30,KRW,2022,3Q,"-329,808,196,274","127,682,226,491"
2023-12-31,20231114002953,11014,2023,159616,34020,OFS,재무제표,IS,손익계산서,총포괄손익,제 61 기3분기,2023.01.01 ~ 2023.09.30,"-27,058,260,779",제 60 기3분기,2022.01.01 ~ 2022.09.30,"-43,859,174,940",,,,64,KRW,2023,3Q,"84,144,039,955","-267,412,232,462"
2024-12-31,20241112000354,11014,2024,159616,34020,OFS,재무제표,IS,손익계산서,총포괄손익,제 62 기3분기,2024.01.01 ~ 2024.09.30,"5,762,919,523",제 61 기3분기,2023.01.01 ~ 2023.09.30,"-27,058,260,779",,,,64,KRW,2024,3Q,"185,100,694,780","84,144,039,955"
2025-12-31,20251113001034,11014,2025,159616,34020,OFS,재무제표,IS,손익계산서,총포괄손익,제 63 기3분기,2025.01.01 ~ 2025.09.30,"-6,617,000,000",제 62 기3분기,2024.01.01 ~ 2024.09.30,"5,763,000,000",,,,64,KRW,2025,3Q,"163,218,000,000","185,101,000,000"
