date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year,report_type,thstrm_add_amount,frmtrm_add_amount
2023-12-31,20231115000112,11014,2023,1596425,402340,OFS,재무제표,IS,손익계산서,영업비용,제 3 기3분기,2023.01.01 ~ 2023.09.30,"19,557,000,000",제 2 기3분기,2022.01.01 ~ 2022.09.30,"17,621,000,000",,,,66,KRW,2023,3Q,"55,446,000,000","52,374,000,000"
2024-12-31,20241114002200,11014,2024,1596425,402340,OFS,재무제표,IS,손익계산서,영업비용,제 4 기3분기,2024.01.01 ~ 2024.09.30,"15,668,000,000",제 3 기3분기,2023.01.01 ~ 2023.09.30,"19,557,000,000",,,,66,KRW,2024,3Q,"49,740,000,000","55,446,000,000"
2025-12-31,20251113000629,11014,2025,1596425,402340,OFS,재무제표,IS,손익계산서,영업비용,제 5 기3분기,2025.01.01 ~ 2025.09.30,"14,748,000,000",제 4 기3분기,2024.01.01 ~ 2024.09.30,"15,668,000,000",,,,66,KRW,2025,3Q,"41,464,000,000","49,740,000,000"
