date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord,currency,year,report_type,frmtrm_nm,frmtrm_dt,thstrm_add_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_dt
2020-12-31,20210317000676,11011,2020,1515323,373220,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 1 기,2020.12.01 ~ 2020.12.31,"-377,980,000,000",-,-,30,KRW,2020,annual,,,,,,
2021-12-31,20211115002487,11014,2021,1515323,373220,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 2 기3분기,2021.01.01 ~ 2021.09.30,"-470,639,000,000",-,,30,KRW,2021,3Q,,,"48,904,000,000",-,,
2022-12-31,20221114001585,11014,2022,1515323,373220,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 3 기3분기,2022.01.01 ~ 2022.09.30,"59,911,000,000","-470,639,000,000",,30,KRW,2022,3Q,제 2 기3분기,2021.01.01 ~ 2021.09.30,"-163,036,000,000","48,904,000,000",,
2023-12-31,20231114001430,11014,2023,1515323,373220,OFS,재무제표,IS,손익계산서,총포괄손익,제 4 기3분기,2023.01.01 ~ 2023.09.30,"-94,143,000,000","194,332,000,000",,64,KRW,2023,3Q,제 3 기3분기,2022.01.01 ~ 2022.09.30,"67,065,000,000","-29,653,000,000",,
2024-12-31,20241114000371,11014,2024,1515323,373220,OFS,재무제표,IS,손익계산서,총포괄손익,제 5 기3분기,2024.01.01 ~ 2024.09.30,"-260,600,000,000","-94,143,000,000",,64,KRW,2024,3Q,제 4 기3분기,2023.01.01 ~ 2023.09.30,"-509,532,000,000","67,065,000,000",,
2025-12-31,20251114000625,11014,2025,1515323,373220,OFS,재무제표,IS,손익계산서,총포괄손익,제 6 기3분기,2025.01.01 ~ 2025.09.30,"82,584,000,000","-260,600,000,000",,64,KRW,2025,3Q,제 5 기3분기,2024.01.01 ~ 2024.09.30,"-141,055,000,000","-509,532,000,000",,
