date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year,report_type,thstrm_add_amount,frmtrm_add_amount
2016-12-31,20161114002135,11014,2016,126566,12450,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 40 기3분기,2016.01.01 ~ 2016.09.30,"29,917,549,652",제 39 기3분기,2015.01.01 ~ 2015.09.30,"4,436,689,116",,,,30,KRW,2016,3Q,"256,824,415,858","-38,251,537,168"
2017-12-31,20171114002523,11014,2017,126566,12450,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 41 기3분기,2017.01.01 ~ 2017.09.30,"69,655,515,288",제 40 기3분기,2016.01.01 ~ 2016.09.30,"29,917,549,652",,,,30,KRW,2017,3Q,"110,186,866,861","256,824,415,858"
2018-12-31,20181114002643,11014,2018,126566,12450,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 42 기3분기,2018.01.01 ~ 2018.09.30,"-15,370,039,241",제 41 기3분기,2017.01.01 ~ 2017.09.30,"69,655,515,288",,,,30,KRW,2018,3Q,"-48,176,261,714","110,186,866,861"
2019-12-31,20191114001889,11014,2019,126566,12450,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 43 기3분기,2019.01.01 ~ 2019.09.30,"14,425,512,437",제 42 기3분기,2018.01.01 ~ 2018.09.30,"-15,370,039,241",,,,30,KRW,2019,3Q,"25,349,669,320","-48,176,261,714"
2020-12-31,20201116000968,11014,2020,126566,12450,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 44 기3분기,2020.01.01 ~ 2020.09.30,"-6,235,113,715",제 43 기3분기,2019.01.01 ~ 2019.09.30,"14,425,512,437",,,,30,KRW,2020,3Q,"8,188,636,654","25,349,669,320"
2021-12-31,20211112000560,11014,2021,126566,12450,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 45 기3분기,2021.01.01 ~ 2021.09.30,"45,228,793,235",제 44 기3분기,2020.01.01 ~ 2020.09.30,"-6,235,113,715",,,,30,KRW,2021,3Q,"138,934,903,954","8,188,636,654"
2022-12-31,20221111000788,11014,2022,126566,12450,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 46 기3분기,2022.01.01 ~ 2022.09.30,"45,250,011,038",제 45 기3분기,2021.01.01 ~ 2021.09.30,"45,228,793,235",,,,30,KRW,2022,3Q,"247,672,589,373","138,934,903,954"
2023-12-31,20231114000792,11014,2023,126566,12450,OFS,재무제표,IS,손익계산서,총포괄손익,제 47 기3분기,2023.01.01 ~ 2023.09.30,"-84,064,672,982",제 46 기3분기,2022.01.01 ~ 2022.09.30,"45,818,821,328",,,,64,KRW,2023,3Q,"465,982,615,872","248,997,295,320"
2024-12-31,20241113000565,11014,2024,126566,12450,OFS,재무제표,IS,손익계산서,총포괄손익,제 48 기3분기,2024.01.01 ~ 2024.09.30,"272,552,484,685",제 47 기3분기,2023.01.01 ~ 2023.09.30,"-84,064,672,982",,,,64,KRW,2024,3Q,"424,401,350,403","465,982,615,872"
2025-12-31,20251113000661,11014,2025,126566,12450,OFS,재무제표,IS,손익계산서,총포괄손익,제 49 기3분기,2025.01.01 ~ 2025.09.30,"315,762,250,000",제 48 기3분기,2024.01.01 ~ 2024.09.30,"272,552,485,000",,,,64,KRW,2025,3Q,"904,698,784,000","424,401,350,000"
