date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year,report_type,thstrm_add_amount,frmtrm_add_amount
2016-12-31,20170908000436,11014,2016,266961,35420,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 18 기3분기,2016.01.01 ~ 2016.09.30,"192,458,528,141",제 17 기3분기,2015.01.01 ~ 2015.09.30,"146,487,387,265",,,,30,KRW,2016,3Q,"545,227,534,867","466,699,675,433"
2017-12-31,20171114001543,11014,2017,266961,35420,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 19 기3분기,2017.01.01 ~ 2017.09.30,"220,678,324,637",제 18 기3분기,2016.01.01 ~ 2016.09.30,"192,458,528,141",,,,30,KRW,2017,3Q,"645,339,476,208","545,227,534,867"
2018-12-31,20181114002026,11014,2018,266961,35420,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 20 기3분기,2018.01.01 ~ 2018.09.30,"188,345,671,120",제 19 기3분기,2017.01.01 ~ 2017.09.30,"220,678,324,637",,,,30,KRW,2018,3Q,"654,966,348,723","645,339,476,208"
2019-12-31,20191114002479,11014,2019,266961,35420,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 21 기3분기,2019.01.01 ~ 2019.09.30,"310,784,330,770",제 20 기3분기,2018.01.01 ~ 2018.09.30,"188,345,671,120",,,,30,KRW,2019,3Q,"846,893,506,408","654,966,348,723"
2020-12-31,20201113000918,11014,2020,266961,35420,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 22 기3분기,2020.01.01 ~ 2020.09.30,"302,306,038,339",제 21 기3분기,2019.01.01 ~ 2019.09.30,"310,784,330,770",,,,30,KRW,2020,3Q,"883,149,601,434","846,893,506,408"
2021-12-31,20211112001053,11014,2021,266961,35420,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 23 기3분기,2021.01.01 ~ 2021.09.30,"438,184,683,856",제 22 기3분기,2020.01.01 ~ 2020.09.30,"302,306,038,339",,,,30,KRW,2021,3Q,"1,111,461,450,920","883,149,601,434"
2022-12-31,20221114002234,11014,2022,266961,35420,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 24 기3분기,2022.01.01 ~ 2022.09.30,"458,531,401,270",제 23 기3분기,2021.01.01 ~ 2021.09.30,"438,184,683,856",,,,30,KRW,2022,3Q,"1,316,244,456,598","1,111,461,450,920"
2023-12-31,20231114001166,11014,2023,266961,35420,OFS,재무제표,IS,손익계산서,총포괄손익,제 25 기3분기,2023.01.01 ~ 2023.09.30,"383,253,428,287",제 24 기3분기,2022.01.01 ~ 2022.09.30,"376,877,029,075",,,,64,KRW,2023,3Q,"1,030,674,232,387","882,932,252,997"
2024-12-31,20241114001252,11014,2024,266961,35420,OFS,재무제표,IS,손익계산서,영업비용,제 26 기3분기,2024.01.01 ~ 2024.09.30,"1,075,909,819,676",제 25 기3분기,2023.01.01 ~ 2023.09.30,"959,413,307,427",,,,66,KRW,2024,3Q,"3,110,761,000,844","2,888,076,137,011"
2025-12-31,20251114001436,11014,2025,266961,35420,OFS,재무제표,IS,손익계산서,영업비용,제 27 기3분기,2025.01.01 ~ 2025.09.30,"1,290,754,671,069",제 26 기3분기,2024.01.01 ~ 2024.09.30,"1,075,909,819,676",,,,66,KRW,2025,3Q,"3,639,900,935,689","3,110,761,000,844"
