date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_amount,ord,currency,year,report_type,bfefrmtrm_nm,bfefrmtrm_dt,thstrm_add_amount,frmtrm_add_amount
2020-12-31,20210401001108,11011,2020,1390344,329180,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 2 기,2020.01.01 ~ 2020.12.31,"-431,462,550,000",제 1 기,2019.06.01 ~ 2019.12.31,"-88,945,128,000",-,30,KRW,2020,annual,,,,
2021-12-31,20211115000980,11014,2021,1390344,329180,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 3 기3분기,2021.01.01 ~ 2021.09.30,"51,354,252,000",제 2 기3분기,2020.01.01 ~ 2020.09.30,"-73,880,232,000",,30,KRW,2021,3Q,,,"-293,786,615,000","-67,597,955,000"
2022-12-31,20221114001378,11014,2022,1390344,329180,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 4 기3분기,2022.01.01 ~ 2022.09.30,"71,831,429,000",제 3 기3분기,2021.01.01 ~ 2021.09.30,"54,908,009,000",,28,KRW,2022,3Q,,,"-258,377,599,000","-404,514,607,000"
2023-12-31,20231114001059,11014,2023,1390344,329180,OFS,재무제표,IS,손익계산서,총포괄손익,제 5 기3분기,2023.01.01 ~ 2023.09.30,"-12,348,399,000",제 4 기3분기,2022.01.01 ~ 2022.09.30,"53,337,613,000",,64,KRW,2023,3Q,,,"-18,147,161,000","-153,090,359,000"
2024-12-31,20241114001816,11014,2024,1390344,329180,OFS,재무제표,IS,손익계산서,총포괄손익,제 6 기3분기,2024.01.01 ~ 2024.09.30,"76,283,872,000",제 5 기3분기,2023.01.01 ~ 2023.09.30,"-12,348,399,000",,64,KRW,2024,3Q,,,"251,587,446,000","-18,147,161,000"
2025-12-31,20251114001468,11014,2025,1390344,329180,OFS,재무제표,IS,손익계산서,총포괄손익,제 7 기3분기,2025.01.01 ~ 2025.09.30,"432,103,576,000",제 6 기3분기,2024.01.01 ~ 2024.09.30,"76,283,872,000",,64,KRW,2025,3Q,,,"1,096,009,634,000","251,587,446,000"
