date,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year,report_type,thstrm_add_amount,frmtrm_add_amount
2016-12-31,20161114002424,11014,2016,106641,270,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 73 기3분기,2016.01.01 ~ 2016.09.30,"227,338,000,000",제 72 기3분기,2015.01.01 ~ 2015.09.30,"555,608,000,000",,,,30,KRW,2016,3Q,"1,871,289,000,000","2,084,561,000,000"
2017-12-31,20171114002725,11014,2017,106641,270,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 74 기3분기,2017.01.01 ~ 2017.09.30,"-430,495,000,000",제 73 기3분기,2016.01.01 ~ 2016.09.30,"227,338,000,000",,,,30,KRW,2017,3Q,"767,626,000,000","1,871,289,000,000"
2018-12-31,20181114002573,11014,2018,106641,270,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 75 기3분기,2018.01.01 ~ 2018.09.30,"-18,814,000,000",제 74 기3분기,2017.01.01 ~ 2017.09.30,"-430,495,000,000",,,,30,KRW,2018,3Q,"366,948,000,000","767,626,000,000"
2019-12-31,20191114002317,11014,2019,106641,270,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 76 기3분기,2019.01.01 ~ 2019.09.30,"262,648,000,000",제 75 기3분기,2018.01.01 ~ 2018.09.30,"-18,814,000,000",,,,30,KRW,2019,3Q,"1,452,956,000,000","366,948,000,000"
2020-12-31,20201116001829,11014,2020,106641,270,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 77 기3분기,2020.01.01 ~ 2020.09.30,"278,970,000,000",제 76 기3분기,2019.01.01 ~ 2019.09.30,"262,648,000,000",,,,30,KRW,2020,3Q,"648,628,000,000","1,452,956,000,000"
2021-12-31,20211115002339,11014,2021,106641,270,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 78 기3분기,2021.01.01 ~ 2021.09.30,"190,267,000,000",제 77 기3분기,2020.01.01 ~ 2020.09.30,"278,970,000,000",,,,30,KRW,2021,3Q,"1,353,390,000,000","648,628,000,000"
2022-12-31,20221114002323,11014,2022,106641,270,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 79 기3분기,2022.01.01 ~ 2022.09.30,"98,336,000,000",제 78 기3분기,2021.01.01 ~ 2021.09.30,"190,267,000,000",,,,30,KRW,2022,3Q,"1,094,366,000,000","1,353,390,000,000"
2023-12-31,20231114002541,11014,2023,106641,270,OFS,재무제표,IS,손익계산서,총포괄손익,제 80 기3분기,2023.01.01 ~ 2023.09.30,"502,233,000,000",제 79 기3분기,2022.01.01 ~ 2022.09.30,"239,582,000,000",,,,64,KRW,2023,3Q,"6,981,888,000,000","1,353,149,000,000"
2024-12-31,20241114002124,11014,2024,106641,270,OFS,재무제표,IS,손익계산서,총포괄손익,제 81 기3분기,2024.01.01 ~ 2024.09.30,"1,061,857,000,000",제 80 기3분기,2023.01.01 ~ 2023.09.30,"502,233,000,000",,,,64,KRW,2024,3Q,"5,371,838,000,000","6,981,888,000,000"
2025-12-31,20251114002676,11014,2025,106641,270,OFS,재무제표,IS,손익계산서,총포괄손익,제 82 기3분기,2025.01.01 ~ 2025.09.30,"854,633,000,000",제 81 기3분기,2024.01.01 ~ 2024.09.30,"1,061,857,000,000",,,,64,KRW,2025,3Q,"4,032,302,000,000","5,371,838,000,000"
