current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,short_term_debt,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,roe,debt_ratio,opm,year,depreciation,equity_corrected
,,2149984000000,1445235000000,,,,,,19873443000000,,,,,11748798000000,4621812000000,8124645000000.0,18825015000000,19233180000000,,,,,,,1158959000000.0,1089328000000.0,,731713000000,1086520000000,-775201000000,,,,2016,,
,,2107242000000,1356651000000,,,,,,18431902000000,,,,,9958964000000,4813249000000,8472938000000.0,16887090000000,18825015000000,,,,,,,,,,371564000000,514404000000,-16252000000,,,,2017,,
,,2241188000000,1824955000000,,,,,,18054609000000,,,,,9762753000000,4986437000000,8291856000000.0,16730894000000,16887090000000,,,,,,,839989000000.0,986105000000.0,,535303000000,249524000000,-92043000000,,,,2018,14692000000.0,
,,2586007000000,1711216000000,,,,,,18226972000000,,,,,9511990000000,5325219000000,8714982000000.0,17278792000000,16730894000000,,,,,,,859667000000.0,839989000000.0,,573331000000,478916000000,-151156000000,,,,2019,3280000000.0,
,,3186842000000,2348743000000,,,,,,17939274000000,,,,,9172896000000,5300823000000,8766378000000.0,16970859000000,17278792000000,,,,,,,548972000000.0,859667000000.0,,227697000000,1729721000000,-1219172000000,,,,2020,3367000000.0,
,,2926856000000,2351547000000,,,,,,19637264000000,,,,,10207973000000,5639961000000,9429291000000.0,18065534000000,16970859000000,,,,,,,753504000000.0,548972000000.0,,554377000000,1009401000000,-798316000000,,,,2021,8432000000.0,
,,3973897000000,767359000000,,,,,,20911708000000,,,,,10987431000000,6009139000000,9924277000000.0,21239082000000,18065534000000,,,,,,,574902000000.0,753504000000.0,,470876000000,-143474000000,1853258000000,,,,2022,20388000000.0,
,,4205665000000,375802000000,,,,,,23714495000000,,,,,23714495000000,6420220000000,,29651357000000,21239082000000,,,,,,,,,,654281000000,-714716000000,562566000000,,,,2023,1774000000.0,
,,5130372000000,266002000000,,,,,,27005385000000,,,,,27005385000000,6130230000000,9669413000000.0,32670268000000,29651357000000,,,,,,,,,,-766221000000,-118800000000,211699000000,,,,2024,10823000000.0,
,,4812659000000,364101000000,,,,,,27791708000000,,,,,27791708000000,6403339000000,10112865000000.0,31062912000000,32670268000000,,,,,,,,,,559068000000,-748259000000,25227000000,,,,2025,1957000000.0,
