날짜,Open,High,Low,Close,Volume
2016-01-04,8174,8229,8134,8179,119223
2016-01-05,8214,8263,8214,8263,42033
2016-01-06,8259,8268,8249,8263,36491
2016-01-07,8373,8448,8363,8413,135163
2016-01-08,8497,8532,8448,8467,190653
2016-01-11,8487,8502,8463,8472,39654
2016-01-12,8428,8433,8398,8408,38680
2016-01-13,8348,8353,8308,8323,34111
2016-01-14,8398,8408,8378,8383,46032
2016-01-15,8283,8323,8259,8308,38150
2016-01-18,8373,8393,8353,8373,63367
2016-01-19,8363,8373,8323,8363,30461
2016-01-20,8343,8388,8343,8373,45394
2016-01-21,8423,8458,8413,8453,101083
2016-01-22,8448,8448,8418,8438,277513
2016-01-25,8438,8467,8423,8463,100569
2016-01-26,8507,8552,8502,8547,74205
2016-01-27,8587,8617,8577,8607,67988
2016-01-28,8627,8632,8592,8602,23985
2016-01-29,8577,8582,8532,8567,37930
2016-02-01,8592,8612,8567,8607,51062
2016-02-02,8657,8671,8627,8637,30314
2016-02-03,8666,8676,8647,8666,110443
2016-02-04,8766,8776,8751,8771,108803
2016-02-05,8866,8885,8856,8861,107142
2016-02-11,9189,9303,9189,9259,481894
2016-02-12,9512,9542,9458,9512,380626
2016-02-15,9468,9477,9338,9373,326639
2016-02-16,9288,9288,9139,9184,262973
2016-02-17,9229,9303,9189,9259,180501
2016-02-18,9264,9298,9264,9283,119984
2016-02-19,9453,9463,9408,9418,104041
2016-02-22,9423,9438,9353,9353,98094
2016-02-23,9283,9398,9278,9358,143038
2016-02-24,9448,9463,9408,9433,164406
2016-02-25,9428,9507,9413,9502,113567
2016-02-26,9482,9532,9472,9527,73164
2016-02-29,9398,9448,9378,9448,59916
2016-03-02,9477,9482,9413,9423,192597
2016-03-03,9537,9552,9512,9522,77744
2016-03-04,9676,9706,9652,9696,142863
2016-03-07,9706,9741,9662,9676,67725
2016-03-08,9721,9766,9711,9741,126837
2016-03-09,9706,9726,9622,9637,47298
2016-03-10,9632,9642,9587,9592,34197
2016-03-11,9751,9846,9741,9786,151295
2016-03-14,9617,9647,9607,9632,52761
2016-03-15,9468,9482,9403,9413,113908
2016-03-16,9443,9468,9428,9453,50303
2016-03-17,9672,9691,9637,9672,113043
2016-03-18,9706,9761,9686,9741,172161
2016-03-21,9622,9637,9552,9552,46379
2016-03-22,9537,9582,9537,9572,64974
2016-03-23,9592,9592,9463,9472,44113
2016-03-24,9383,9383,9318,9348,63350
2016-03-25,9348,9497,9333,9487,111195
2016-03-28,9453,9453,9278,9338,99160
2016-03-29,9348,9388,9343,9358,31715
2016-03-30,9492,9532,9463,9497,61669
2016-03-31,9418,9443,9403,9443,16686
2016-04-01,9433,9472,9433,9458,84564
2016-04-04,9378,9378,9323,9333,64619
2016-04-05,9338,9413,9308,9403,25216
2016-04-06,9443,9453,9423,9438,16498
2016-04-07,9413,9448,9388,9443,18089
2016-04-08,9497,9497,9477,9482,12213
2016-04-11,9542,9617,9537,9577,43304
2016-04-12,9652,9652,9602,9622,27634
2016-04-14,9468,9592,9443,9487,67651
2016-04-15,9448,9448,9408,9448,45994
2016-04-18,9507,9507,9448,9463,43567
2016-04-19,9443,9472,9423,9472,34414
2016-04-20,9577,9642,9567,9567,82963
2016-04-21,9537,9622,9537,9622,54220
2016-04-22,9577,9597,9542,9567,36835
2016-04-25,9472,9487,9443,9487,17744
2016-04-26,9487,9512,9472,9487,17732
2016-04-27,9517,9552,9517,9532,7719
2016-04-28,9552,9602,9507,9602,35102
2016-04-29,9691,9821,9691,9771,158058
2016-05-02,9915,9945,9895,9920,89736
2016-05-03,9910,9945,9880,9880,67138
2016-05-04,9861,9866,9801,9811,132762
2016-05-09,9851,9875,9806,9806,67497
2016-05-10,9691,9721,9662,9701,78971
2016-05-11,9701,9756,9686,9741,50641
2016-05-12,9786,9816,9746,9751,55050
2016-05-13,9726,9771,9706,9771,14323
2016-05-16,9776,9801,9741,9786,35185
2016-05-17,9786,9826,9761,9806,29193
2016-05-18,9821,9821,9751,9751,32152
2016-05-19,9657,9672,9597,9622,78821
2016-05-20,9612,9642,9602,9602,27782
2016-05-23,9587,9622,9582,9582,22834
2016-05-24,9617,9617,9537,9552,16708
2016-05-25,9403,9433,9383,9403,50297
2016-05-26,9383,9453,9373,9438,137384
2016-05-27,9418,9418,9298,9358,38010
2016-05-30,9254,9269,9194,9214,57638
2016-05-31,9254,9293,9254,9278,16096
2016-06-01,9303,9333,9293,9313,20034
2016-06-02,9313,9313,9273,9298,10595
2016-06-03,9264,9298,9239,9269,40476
2016-06-07,9522,9552,9507,9512,42840
2016-06-08,9512,9562,9512,9562,23376
2016-06-09,9672,9691,9652,9652,41804
2016-06-10,9716,9716,9681,9706,53328
2016-06-13,9771,9816,9741,9816,97406
2016-06-14,9841,9841,9786,9786,77649
2016-06-15,9836,9866,9816,9866,58058
2016-06-16,9895,10000,9895,9970,206286
2016-06-17,9816,9861,9801,9851,101649
2016-06-20,9861,9885,9801,9811,77068
2016-06-21,9861,9915,9831,9846,96712
2016-06-22,9726,9731,9662,9662,88301
2016-06-23,9686,9711,9652,9696,112219
2016-06-24,9691,10418,9691,10139,669817
2016-06-27,10413,10547,10154,10209,567709
2016-06-28,10214,10224,10070,10114,209383
2016-06-29,10070,10139,10065,10134,119442
2016-06-30,10114,10114,10055,10075,89915
2016-07-01,10109,10239,10104,10229,128759
2016-07-04,10278,10393,10264,10328,139418
2016-07-05,10343,10388,10259,10313,113119
2016-07-06,10433,10512,10428,10507,145775
2016-07-07,10497,10512,10468,10502,91111
2016-07-08,10448,10448,10383,10418,79084
2016-07-11,10487,10517,10443,10448,134820
2016-07-12,10368,10418,10353,10373,65382
2016-07-13,10169,10274,10169,10269,177308
2016-07-14,10328,10328,10219,10224,29859
2016-07-15,10224,10229,10144,10229,48302
2016-07-18,10194,10209,10144,10179,40117
2016-07-19,10179,10194,10139,10184,43178
2016-07-20,10229,10229,10159,10159,28548
2016-07-21,10075,10084,10040,10070,32569
2016-07-22,10184,10199,10139,10149,45054
2016-07-25,10149,10149,10050,10075,27922
2016-07-26,10075,10119,10060,10084,25046
2016-07-27,10104,10109,10070,10075,17105
2016-07-28,10234,10249,10219,10244,79455
2016-07-29,10249,10274,10189,10239,42760
2016-08-01,10303,10333,10288,10288,51934
2016-08-02,10333,10343,10293,10343,97294
2016-08-03,10403,10443,10403,10443,67798
2016-08-04,10368,10398,10308,10313,32891
2016-08-05,10423,10428,10383,10428,53952
2016-08-08,10214,10224,10189,10214,40444
2016-08-09,10194,10209,10154,10154,17696
2016-08-10,10239,10343,10239,10338,61310
2016-08-11,10313,10313,10244,10244,87467
2016-08-12,10219,10249,10199,10229,17332
2016-08-16,10259,10308,10239,10308,33138
2016-08-17,10308,10308,10239,10249,84312
2016-08-18,10303,10343,10303,10313,26634
2016-08-19,10328,10328,10269,10313,22027
2016-08-22,10184,10209,10159,10174,21991
2016-08-23,10214,10229,10194,10209,15674
2016-08-24,10204,10229,10184,10184,13225
2016-08-25,10129,10129,10079,10099,36885
2016-08-26,10060,10109,10060,10075,70335
2016-08-29,10070,10099,10030,10045,26367
2016-08-30,10079,10089,10055,10055,47884
2016-08-31,9990,10040,9985,10000,237361
2016-09-01,10000,10000,9965,9990,8085
2016-09-02,10055,10055,9980,9980,15306
2016-09-05,10079,10114,10075,10114,44762
2016-09-06,10114,10139,10099,10114,10690
2016-09-07,10283,10323,10278,10303,56904
2016-09-08,10249,10283,10244,10278,10993
2016-09-09,10224,10224,10179,10199,17201
2016-09-12,10159,10159,10099,10109,29199
2016-09-13,10124,10144,10114,10119,20639
2016-09-19,10020,10040,9980,10040,26629
2016-09-20,9995,10050,9995,10045,6920
2016-09-21,10050,10060,9985,10050,18451
2016-09-22,10149,10194,10144,10184,21272
2016-09-23,10189,10224,10134,10179,164711
2016-09-26,10189,10234,10149,10179,48070
2016-09-27,10184,10199,10154,10189,40857
2016-09-28,10129,10129,10079,10114,13832
2016-09-29,10109,10109,10070,10094,10871
2016-09-30,10099,10124,10075,10124,12560
2016-10-04,10015,10015,9965,9975,81937
2016-10-05,9691,9736,9652,9676,91017
2016-10-06,9681,9681,9632,9657,70314
2016-10-07,9557,9587,9517,9547,41968
2016-10-10,9622,9637,9552,9637,43214
2016-10-11,9572,9597,9547,9582,77725
2016-10-12,9532,9572,9532,9552,180193
2016-10-13,9562,9612,9532,9612,57214
2016-10-14,9587,9592,9532,9547,10596
2016-10-17,9552,9552,9512,9542,10841
2016-10-18,9527,9602,9527,9567,27365
2016-10-19,9597,9627,9587,9602,20709
2016-10-20,9681,9696,9642,9681,30185
2016-10-21,9642,9647,9592,9632,15201
2016-10-24,9632,9632,9597,9622,12508
2016-10-25,9632,9647,9597,9647,24873
2016-10-26,9681,9716,9667,9706,39166
2016-10-27,9652,9667,9617,9652,34378
2016-10-28,9672,9686,9637,9652,32388
2016-10-31,9711,9756,9701,9741,30272
2016-11-01,9731,9741,9701,9731,13951
2016-11-02,9776,9856,9776,9856,97479
2016-11-03,9861,9950,9861,9910,78995
2016-11-04,9930,9930,9861,9875,26948
2016-11-07,9831,9856,9791,9806,62946
2016-11-08,9776,9781,9726,9751,32850
2016-11-09,9711,10204,9667,10035,410262
2016-11-10,9691,9821,9637,9806,116514
2016-11-11,9617,9637,9542,9622,155129
2016-11-14,9353,9358,9214,9278,166183
2016-11-15,9303,9368,9303,9343,51126
2016-11-16,9343,9388,9328,9383,46389
2016-11-17,9343,9348,9308,9333,41857
2016-11-18,9249,9273,9144,9154,113126
2016-11-21,9184,9234,9164,9234,50049
2016-11-22,9234,9293,9234,9273,158393
2016-11-23,9229,9249,9209,9209,100713
2016-11-24,9050,9050,8985,8995,151152
2016-11-25,9010,9030,8905,8980,100858
2016-11-28,8975,9089,8975,9050,60286
2016-11-29,9050,9094,9040,9065,59448
2016-11-30,9040,9065,9005,9030,67090
2016-12-01,8915,8945,8836,8945,172031
2016-12-02,8920,8945,8895,8920,66380
2016-12-05,8975,8985,8905,8950,66648
2016-12-06,8890,8925,8885,8885,81151
2016-12-07,8895,8900,8866,8890,56864
2016-12-08,8935,8955,8910,8945,34333
2016-12-09,8945,8950,8856,8875,131744
2016-12-12,8811,8811,8766,8791,102687
2016-12-13,8836,8861,8811,8826,184406
2016-12-14,8821,8826,8791,8821,472317
2016-12-15,8696,8701,8617,8686,306887
2016-12-16,8557,8607,8537,8607,220940
2016-12-19,8617,8671,8617,8671,132575
2016-12-20,8666,8676,8632,8637,122904
2016-12-21,8612,8642,8592,8642,92229
2016-12-22,8617,8617,8572,8587,139702
2016-12-23,8582,8602,8567,8597,95753
2016-12-26,8647,8796,8627,8781,65910
2016-12-27,8637,8676,8607,8676,241213
2016-12-28,8666,8691,8657,8691,87877
2016-12-29,8686,8741,8681,8736,122425
2017-01-02,8766,8890,8766,8856,206597
2017-01-03,8751,8806,8736,8801,258086
2017-01-04,8801,8846,8791,8846,180791
2017-01-05,8861,8950,8861,8945,165681
2017-01-06,8990,8990,8935,8945,254980
2017-01-09,8915,8935,8905,8920,108761
2017-01-10,8960,9025,8950,9015,131127
2017-01-11,9015,9035,8985,9030,138097
2017-01-12,9030,9094,9025,9094,172638
2017-01-13,9084,9084,9000,9045,336519
2017-01-16,9079,9109,9055,9094,110789
2017-01-17,9114,9174,9099,9174,146474
2017-01-18,9194,9229,9189,9204,166996
2017-01-19,9174,9174,9079,9119,153279
2017-01-20,9104,9159,9089,9159,94784
2017-01-23,9184,9239,9179,9234,108094
2017-01-24,9244,9254,9194,9224,137580
2017-01-25,9174,9174,9104,9104,91415
2017-01-26,9069,9094,9035,9045,202644
2017-01-31,9045,9124,9025,9124,144953
2017-02-01,9169,9184,9129,9134,148590
2017-02-02,9119,9214,9119,9214,152831
2017-02-03,9249,9249,9164,9214,130193
2017-02-06,9239,9283,9214,9278,119547
2017-02-07,9303,9363,9293,9333,161403
2017-02-08,9348,9363,9288,9353,123588
2017-02-09,9368,9403,9353,9403,175521
2017-02-10,9293,9298,9229,9273,298484
2017-02-13,9278,9328,9269,9323,82040
2017-02-14,9283,9303,9259,9288,93020
2017-02-15,9283,9283,9254,9259,131747
2017-02-16,9288,9348,9288,9338,97701
2017-02-17,9378,9383,9338,9338,108747
2017-02-20,9338,9353,9308,9333,90170
2017-02-21,9353,9373,9293,9338,86759
2017-02-22,9353,9363,9313,9318,56578
2017-02-23,9333,9358,9328,9348,54946
2017-02-24,9423,9453,9398,9453,310314
2017-02-27,9468,9507,9468,9502,134948
2017-02-28,9458,9482,9448,9463,130626
2017-03-02,9433,9433,9388,9413,104703
2017-03-03,9318,9353,9283,9298,111829
2017-03-06,9328,9338,9283,9288,166168
2017-03-07,9293,9298,9239,9249,46901
2017-03-08,9159,9204,9154,9199,51083
2017-03-09,9139,9139,9094,9104,82104
2017-03-10,9074,9084,9055,9069,105021
2017-03-13,9104,9139,9099,9139,150784
2017-03-14,9094,9119,9094,9099,89208
2017-03-15,9094,9154,9065,9109,115695
2017-03-16,9219,9273,9204,9264,92462
2017-03-17,9269,9298,9249,9298,79050
2017-03-20,9293,9348,9293,9333,90013
2017-03-21,9333,9338,9244,9283,123702
2017-03-22,9388,9398,9363,9373,213659
2017-03-23,9368,9428,9368,9398,74677
2017-03-24,9393,9408,9363,9383,35836
2017-03-27,9433,9512,9433,9512,189607
2017-03-28,9482,9482,9433,9443,101882
2017-03-29,9423,9428,9383,9418,89563
2017-03-30,9413,9453,9403,9423,42636
2017-03-31,9348,9398,9333,9343,72844
2017-04-03,9403,9413,9378,9388,45712
2017-04-04,9443,9487,9438,9482,140517
2017-04-05,9453,9482,9433,9477,172150
2017-04-06,9463,9482,9428,9428,68603
2017-04-07,9423,9562,9418,9517,140006
2017-04-10,9527,9527,9418,9453,134831
2017-04-11,9448,9482,9438,9482,47543
2017-04-12,9622,9642,9592,9597,280006
2017-04-13,9662,9706,9657,9686,215964
2017-04-14,9686,9711,9647,9652,166237
2017-04-17,9746,9761,9686,9721,257037
2017-04-18,9602,9696,9597,9667,273961
2017-04-19,9686,9711,9657,9686,182960
2017-04-20,9632,9667,9617,9652,139362
2017-04-21,9637,9667,9622,9647,122628
2017-04-24,9612,9622,9577,9577,57102
2017-04-25,9607,9622,9572,9572,76957
2017-04-26,9502,9542,9487,9522,130214
2017-04-27,9602,9602,9507,9537,44355
2017-04-28,9552,9572,9507,9572,61932
2017-05-02,9487,9492,9448,9453,116563
2017-05-04,9343,9363,9308,9323,70251
2017-05-08,9303,9308,9254,9269,74604
2017-05-10,9269,9269,9229,9229,59055
2017-05-11,9194,9229,9189,9229,60422
2017-05-12,9244,9269,9219,9269,69176
2017-05-15,9303,9303,9244,9298,66203
2017-05-16,9273,9318,9264,9318,65592
2017-05-17,9358,9378,9338,9378,37961
2017-05-18,9472,9502,9458,9472,79716
2017-05-19,9423,9433,9388,9428,38003
2017-05-22,9448,9482,9423,9453,46008
2017-05-23,9492,9507,9482,9482,81836
2017-05-24,9438,9443,9408,9423,35182
2017-05-25,9458,9477,9443,9458,77188
2017-05-26,9463,9463,9403,9438,58731
2017-05-29,9527,9547,9512,9537,68096
2017-05-30,9537,9557,9507,9547,45583
2017-05-31,9542,9542,9463,9517,24073
2017-06-01,9552,9567,9517,9547,29129
2017-06-02,9492,9537,9458,9463,43444
2017-06-05,9602,9647,9597,9647,107698
2017-06-07,9691,9726,9676,9701,144231
2017-06-08,9701,9721,9652,9686,95227
2017-06-09,9632,9632,9562,9577,47358
2017-06-12,9552,9562,9522,9557,33138
2017-06-13,9492,9537,9492,9537,31253
2017-06-14,9532,9577,9522,9567,16818
2017-06-15,9532,9542,9497,9512,31672
2017-06-16,9433,9448,9413,9448,22039
2017-06-19,9448,9458,9418,9433,47819
2017-06-20,9358,9398,9353,9398,46653
2017-06-21,9358,9398,9358,9393,43734
2017-06-22,9383,9448,9373,9398,49395
2017-06-23,9428,9443,9388,9443,45642
2017-06-26,9482,9482,9438,9453,43079
2017-06-27,9398,9433,9318,9433,58262
2017-06-28,9408,9433,9393,9423,23495
2017-06-29,9413,9433,9388,9418,44429
2017-06-30,9428,9428,9363,9363,37197
2017-07-03,9348,9348,9278,9298,95204
2017-07-04,9204,9229,9184,9224,90662
2017-07-05,9259,9264,9204,9234,69385
2017-07-06,9224,9234,9199,9229,72654
2017-07-07,9204,9209,9174,9194,67097
2017-07-10,9139,9139,9069,9074,94415
2017-07-11,9104,9134,9099,9114,46875
2017-07-12,9134,9184,9134,9179,49632
2017-07-13,9179,9199,9159,9194,93637
2017-07-14,9164,9164,9124,9164,29887
2017-07-17,9239,9264,9224,9249,51269
2017-07-18,9273,9298,9249,9298,21739
2017-07-19,9313,9328,9303,9318,30643
2017-07-20,9318,9328,9273,9298,53027
2017-07-21,9313,9353,9303,9353,72290
2017-07-24,9398,9418,9378,9408,81821
2017-07-25,9393,9428,9388,9418,67280
2017-07-26,9378,9378,9323,9358,30458
2017-07-27,9428,9482,9428,9482,97604
2017-07-28,9453,9458,9423,9458,42119
2017-07-31,9512,9517,9487,9517,62604
2017-08-01,9517,9532,9487,9497,64670
2017-08-02,9512,9517,9468,9482,30985
2017-08-03,9453,9472,9443,9448,45867
2017-08-04,9502,9522,9487,9517,44845
2017-08-07,9458,9458,9413,9453,32116
2017-08-08,9458,9458,9408,9453,16777
2017-08-09,9482,9487,9448,9487,52079
2017-08-10,9522,9592,9522,9592,107500
2017-08-11,9672,9672,9612,9652,123827
2017-08-14,9642,9686,9617,9662,136422
2017-08-16,9552,9552,9517,9547,65186
2017-08-17,9597,9662,9572,9632,104591
2017-08-18,9691,9691,9632,9672,64810
2017-08-21,9647,9667,9607,9667,50538
2017-08-22,9681,9681,9632,9637,49032
2017-08-23,9632,9642,9597,9627,47476
2017-08-24,9652,9667,9632,9657,45001
2017-08-25,9652,9662,9622,9662,170833
2017-08-28,9662,9736,9662,9736,53493
2017-08-29,9801,9885,9801,9885,244090
2017-08-30,9811,9861,9776,9826,95398
2017-08-31,9811,9811,9731,9771,80175
2017-09-01,9885,9900,9866,9890,119570
2017-09-04,9985,10040,9975,10040,184408
2017-09-05,10015,10040,9980,9995,71893
2017-09-06,10040,10050,10015,10015,69386
2017-09-07,10010,10015,9975,9985,82903
2017-09-08,10079,10164,10079,10119,153118
2017-09-11,10040,10040,9995,10020,55342
