날짜,시가,고가,저가,종가,거래량,등락률
2016-03-17,15485,15593,15485,15593,1,1.0891410048622365
2016-03-18,15470,15490,15470,15490,73,-0.6605528121593023
2016-03-21,15549,15549,15399,15399,94,-0.5874757908327953
2016-03-22,15435,15536,15435,15531,238,0.8571985193843756
2016-03-23,15554,15568,15554,15568,21,0.2382332109973601
2016-03-24,15531,15531,15531,15531,85448,-0.23766700924974307
2016-03-25,15425,15425,15417,15417,2,-0.7340158392891636
2016-03-28,15316,15354,15311,15335,1151,-0.531880391775313
2016-03-29,15470,15470,15470,15470,1,0.8803390935767852
2016-03-30,15593,15593,15509,15509,14,0.25210084033613445
2016-03-31,15509,15509,15490,15490,73,-0.12250951060674448
2016-04-01,15602,15619,15593,15593,2939,0.6649451258876695
2016-04-04,15593,15593,15588,15588,1,-0.032065670493170016
2016-04-05,15568,15568,15558,15558,6,-0.1924557351809084
2016-04-06,15480,15528,15475,15475,6,-0.5334875948065304
2016-04-07,15381,15435,15381,15435,5870,-0.25848142164781907
2016-04-08,15359,15490,15330,15490,7771,0.35633300939423385
2016-04-11,15490,15490,15490,15490,0,0.0
2016-04-12,15573,15605,15544,15544,69419,0.34861200774693346
2016-04-14,15685,15685,15675,15675,15,0.8427689140504374
2016-04-15,15680,15680,15675,15675,10,0.0
2016-04-18,15675,15675,15509,15509,92993,-1.0590111642743223
2016-04-19,15536,15615,15536,15615,69,0.6834741118060481
2016-04-20,15615,15615,15615,15615,8,0.0
2016-04-21,15628,15628,15593,15593,160238,-0.1408901697086135
2016-04-22,15593,15593,15593,15593,0,0.0
2016-04-25,15593,15671,15593,15671,24,0.5002244596934522
2016-04-26,15685,15729,15685,15715,2186,0.28077340310126986
2016-04-27,15712,15712,15638,15638,1,-0.48997772828507796
2016-04-28,15577,15577,15543,15543,283,-0.6074945645223174
2016-04-29,15517,15517,15517,15517,1,-0.1672778742842437
2016-05-02,15387,15387,15387,15387,0,-0.8377908100792679
2016-05-03,15460,15460,15460,15460,1,0.47442646389809584
2016-05-04,15401,15401,15401,15401,0,-0.38163001293661064
2016-05-09,15195,15195,15195,15195,0,-1.3375754821115513
2016-05-10,15178,15178,15178,15178,101,-0.11187890753537348
2016-05-11,15209,15209,15209,15209,1,0.20424298326525234
2016-05-12,15073,15073,15073,15073,0,-0.894207377210862
2016-05-13,15063,15063,15063,15063,0,-0.06634379353811451
2016-05-16,15102,15102,15000,15000,10,-0.41824337781318466
2016-05-17,15085,15085,15085,15085,0,0.5666666666666667
2016-05-18,15053,15053,15053,15053,0,-0.2121312562147829
2016-05-19,14940,14940,14940,14940,0,-0.750680927389889
2016-05-20,14940,14940,14940,14940,0,0.0
2016-05-23,15209,15209,15209,15209,1,1.8005354752342704
2016-05-24,15174,15174,15174,15174,0,-0.23012689854691304
2016-05-25,15345,15350,15345,15350,10,1.1598787399499144
2016-05-26,15418,15442,15391,15405,2104,0.3583061889250814
2016-05-27,15526,15526,15526,15526,101,0.7854592664719248
2016-05-30,15507,15562,15507,15562,118,0.2318691227618189
2016-05-31,15582,15696,15582,15696,26,0.8610718416655956
2016-06-01,15897,15907,15791,15791,65,0.605249745158002
2016-06-02,15883,15902,15883,15902,61,0.7029320499018429
2016-06-03,15902,15902,15902,15902,35,0.0
2016-06-07,15963,16206,15963,16206,408,1.9117092189661677
2016-06-08,16128,16128,16128,16128,1,-0.4813032210292484
2016-06-09,16157,16214,16157,16172,6,0.2728174603174603
2016-06-10,16115,16115,16115,16115,0,-0.35246104377937176
2016-06-13,15817,15817,15817,15817,1,-1.8492088116661496
2016-06-14,15804,15972,15804,15972,4,0.9799582727445154
2016-06-15,16274,16376,16274,16376,14,2.5294264963686452
2016-06-16,16197,16197,16197,16197,1,-1.0930630190522717
2016-06-17,16233,16233,16233,16233,1,0.22226338210779772
2016-06-20,16269,16363,16223,16363,203,0.8008377995441385
2016-06-21,16386,16386,16192,16376,224,0.07944753407076942
2016-06-22,16376,16437,16376,16437,358,0.3724963361016121
2016-06-23,16437,16485,16358,16485,263,0.29202409198758894
2016-06-24,16621,16621,15791,16073,6287,-2.499241734910525
2016-06-27,15730,15977,15730,15977,3922,-0.5972749331176508
2016-06-28,15892,16063,15892,16039,319,0.38805783313513176
2016-06-29,16363,16363,16240,16240,117,1.2531953363676038
2016-06-30,16401,16493,16298,16493,538,1.557881773399015
2016-07-01,16493,16816,16493,16677,343,1.1156248105256776
2016-07-04,16803,16879,16705,16836,280,0.9534088864903759
2016-07-05,16929,16929,16812,16831,304,-0.029698265621287717
2016-07-06,16687,16687,16328,16328,82,-2.9885330639890677
2016-07-07,16789,16789,16682,16780,6,2.768250857422832
2016-07-08,16890,16890,16650,16816,22162,0.21454112038140644
2016-07-11,16874,17171,16874,17171,177,2.1110846812559467
2016-07-12,17214,17214,17060,17120,114,-0.29701240463572304
2016-07-13,17190,17190,17055,17120,3033,0.0
2016-07-14,17185,17317,17163,17317,1581,1.1507009345794392
2016-07-15,17283,17317,17199,17312,973,-0.028873361436738465
2016-07-18,17171,17363,17171,17363,630,0.2945933456561922
2016-07-19,17371,17371,17256,17341,95,-0.12670621436387722
2016-07-20,17326,17430,17326,17430,761,0.513234530880572
2016-07-21,17560,17859,17560,17849,223204,2.4039013195639702
2016-07-22,17593,17779,17588,17766,305,-0.4650120454927447
2016-07-25,17784,17887,17661,17661,464,-0.5910165484633569
2016-07-26,17639,17705,17466,17705,583,0.2491365154860993
2016-07-27,17919,17919,17849,17891,1366,1.050550691894945
2016-07-28,17891,17891,17746,17746,99,-0.8104633614666592
2016-07-29,18054,18213,18054,18146,522,2.254029076975093
2016-08-01,18491,18585,18491,18496,1461,1.9287997354788935
2016-08-02,18459,18459,18314,18314,1584,-0.9839965397923875
2016-08-03,18222,18496,18222,18420,222627,0.5787921808452551
2016-08-04,18491,18524,18272,18272,2606,-0.8034744842562433
2016-08-05,18322,18585,18322,18585,1411,1.7130035026269703
2016-08-08,18687,18687,18415,18444,22184,-0.7586763518966909
2016-08-09,18486,18529,18439,18529,4751,0.4608544784211668
2016-08-10,18529,18529,18213,18222,2725,-1.6568622159857522
2016-08-11,18179,18184,17946,18184,2916,-0.20853912852595763
2016-08-12,18213,18272,18090,18154,560,-0.16498020237571492
2016-08-16,18154,18194,17844,17844,336,-1.7076126473504463
2016-08-17,17830,17839,17630,17756,2305,-0.4931629679444071
2016-08-18,17802,18296,17751,18296,15956,3.0412255012390177
2016-08-19,18296,18622,18296,18617,57971,1.7544818539571492
2016-08-22,18592,18617,18425,18425,13427,-1.0313154643605307
2016-08-23,18459,18592,18459,18580,244,0.841248303934871
2016-08-24,18580,18580,18402,18420,273,-0.8611410118406888
2016-08-25,18336,18351,18213,18351,784,-0.3745928338762215
2016-08-26,18272,18272,18194,18194,5,-0.8555392076726063
2016-08-29,18019,18019,17979,17979,390,-1.1817082554688358
2016-08-30,18040,18154,17905,17971,975137,-0.04449635686078202
2016-08-31,17900,17909,17680,17900,362819,-0.39508096377497076
2016-09-01,17676,17741,17560,17741,117361,-0.888268156424581
2016-09-02,17732,17854,17732,17849,119290,0.6087593709486501
2016-09-05,17896,18026,17896,17905,228213,0.31374306683847836
2016-09-06,18019,18071,17989,18054,157737,0.8321697849762636
2016-09-07,18179,18179,17821,17821,295814,-1.2905727262656475
2016-09-08,17873,17923,17485,17789,78862,-0.179563436395264
2016-09-09,17574,17598,17457,17574,286371,-1.2086120636348305
2016-09-12,17176,17331,17055,17055,19610,-2.9532263571184703
2016-09-13,17371,17384,17148,17283,79690,1.3368513632365875
2016-09-19,17475,17475,17475,17475,1048,1.1109182433605278
2016-09-20,17821,17878,17710,17878,4661,2.3061516452074393
2016-09-21,17878,17878,17839,17839,17,-0.21814520639892604
2016-09-22,18110,18359,18110,18359,551,2.9149616009866026
2016-09-23,18226,18306,18174,18174,14782,-1.0076801568712892
2016-09-26,18137,18150,18137,18150,40,-0.13205678441729946
2016-09-27,18095,18222,18095,18222,379,0.39669421487603307
2016-09-28,18379,18491,18281,18291,755,0.3786631544287125
2016-09-29,18314,18314,18258,18314,112,0.12574490186430487
2016-09-30,18314,18407,18213,18301,634,-0.07098394670743693
2016-10-04,18499,18607,18499,18597,4681,1.6173979563958254
2016-10-05,18597,18690,18499,18597,1170,0.0
2016-10-06,18719,18724,18552,18592,1718,-0.026886056890896383
2016-10-07,18592,18592,18454,18454,293,-0.7422547332185886
2016-10-10,18454,18454,18244,18244,102,-1.1379646689064702
2016-10-11,18208,18286,18132,18132,1438,-0.6139004604253453
2016-10-12,18023,18086,17931,18026,129060,-0.5846018089565409
2016-10-13,17900,17900,17661,17661,303,-2.0248529901253742
2016-10-14,17868,17989,17868,17989,156,1.857199479078195
2016-10-17,18066,18066,17779,17859,7,-0.7226638501306354
2016-10-18,17878,17887,17806,17868,20230,0.050394758945069715
2016-10-19,17849,17873,17656,17727,83824,-0.789120214909335
2016-10-20,17533,17569,17440,17528,45873,-1.1225813730467649
2016-10-21,17430,17485,17371,17425,8431,-0.587631218621634
2016-10-24,17425,17425,17341,17341,18,-0.48206599713055953
2016-10-25,17341,17341,17153,17204,1480,-0.7900351767487457
2016-10-26,17050,17317,17050,17307,3443,0.5986979772146013
2016-10-27,17475,18004,17475,18004,296,4.027272201999191
2016-10-28,17923,17923,17923,17923,1,-0.4499000222172851
2016-10-31,17891,17891,17574,17574,1,-1.947218657590805
2016-11-01,17656,17656,17630,17635,118,0.3471036758848299
2016-11-02,17283,17283,17163,17163,69,-2.676495605330309
2016-11-03,17163,17269,17125,17269,6,0.6176076443512206
2016-11-04,17269,17269,17218,17264,6,-0.028953616306676703
2016-11-07,17462,17642,17462,17642,1118,2.1895273401297497
2016-11-08,17635,17635,17551,17565,262,-0.4364584514227412
2016-11-09,17635,17635,16672,17112,436,-2.578992314261315
2016-11-10,17393,17393,17199,17236,290,0.7246376811594203
2016-11-11,17013,17143,17013,17120,86076,-0.6730099791134834
2016-11-14,17138,17138,17013,17013,1308,-0.625
2016-11-15,17060,17060,17055,17055,70,0.24687004055722095
2016-11-16,17171,17307,17171,17307,3317,1.4775725593667546
2016-11-17,17317,17445,17317,17445,19,0.7973652279424511
2016-11-18,17363,17371,17278,17322,1153,-0.7050730868443681
2016-11-21,17209,17218,17013,17013,398,-1.783858676827156
2016-11-22,17143,17298,17143,17298,11772,1.6751895609239995
2016-11-23,17317,17359,17204,17204,12,-0.5434154237484102
2016-11-24,17322,17322,17013,17138,859,-0.3836317135549872
2016-11-25,17167,17241,17167,17241,1,0.6010036176916793
2016-11-28,17214,17326,17158,17158,7,-0.48141059103300277
2016-11-29,17089,17274,17060,17274,3246,0.6760694719664296
2016-11-30,17274,17375,17274,17336,1692,0.35892092161630196
2016-12-01,17307,17388,17204,17341,227,0.02884171665897554
2016-12-02,17194,17251,17098,17231,316,-0.634334813447898
2016-12-05,17120,17227,17079,17125,244,-0.6151703325401892
2016-12-06,17231,17317,17231,17317,225,1.1211678832116787
2016-12-07,17302,17307,17218,17218,45909,-0.5716925564474216
2016-12-08,17480,17588,17457,17560,521,1.9862934138692068
2016-12-09,17528,17560,17466,17523,3285,-0.21070615034168563
2016-12-12,17642,17741,17618,17671,5421,0.844604234434743
2016-12-13,17971,18110,17956,18110,810,2.484296304679984
2016-12-14,18272,18374,18231,18374,243,1.4577581446714523
2016-12-15,18374,18664,18374,18659,2694,1.5511048220311308
2016-12-16,18650,18783,18622,18783,3067,0.6645586580202584
2016-12-19,18724,18724,18565,18607,1628,-0.9370175158387903
2016-12-20,18607,18636,18420,18434,6848,-0.9297576181007149
2016-12-21,18444,18783,18439,18668,269,1.2693935119887165
2016-12-22,18736,19006,18733,18733,2188,0.34818941504178275
2016-12-23,18829,18950,18829,18950,848,1.1583836011316926
2016-12-26,18954,18954,18580,18607,115287,-1.8100263852242744
2016-12-27,18607,18852,18607,18796,1749,1.0157467619713012
2016-12-28,18919,18964,18919,18964,2177,0.8938071930197914
2016-12-29,18877,19112,18877,19112,5278,0.7804260704492724
2017-01-02,19122,19364,19122,19231,10896,0.6226454583507745
2017-01-03,19373,19421,19308,19416,141746,0.9619884561385263
2017-01-04,19378,19378,19060,19122,98267,-1.5142150803461063
2017-01-05,19151,19206,19046,19064,123950,-0.30331555276644706
2017-01-06,19270,19368,19248,19275,68792,1.1067981535879143
2017-01-09,19392,19727,19373,19695,79139,2.178988326848249
2017-01-10,19695,19695,19489,19489,60921,-1.045950748921046
2017-01-11,19591,19846,19591,19846,82766,1.8318025552875983
2017-01-12,19816,19816,19485,19629,150879,-1.0934193288320064
2017-01-13,19582,19643,19392,19563,180915,-0.336237200061134
2017-01-16,19513,19513,19001,19064,171067,-2.55073352757757
2017-01-17,19236,19236,19001,19068,1409,0.0209819555182543
2017-01-18,19068,19226,18964,19216,7573,0.776169498636459
2017-01-19,19416,19443,19154,19221,134615,0.026019983347210656
2017-01-20,19284,19284,19001,19019,1460,-1.0509338744081993
2017-01-23,19073,19270,19073,19187,79960,0.8833271991166729
2017-01-24,19256,19289,19064,19112,900,-0.3908896648772606
2017-01-25,19289,19402,19231,19299,2578,0.9784428631226454
2017-01-26,19387,19629,19341,19615,8725,1.6373905383698637
2017-01-31,19700,19803,19587,19759,6082,0.7341320418047412
2017-02-01,19842,19972,19705,19722,11187,-0.1872564401032441
2017-02-02,19700,19700,19434,19434,8303,-1.4602981442044418
2017-02-03,19416,19439,19261,19416,1204,-0.09262117937635073
2017-02-06,19606,19606,19239,19239,2744,-0.911619283065513
2017-02-07,19243,19275,18872,18910,2988,-1.710068090857113
2017-02-08,18973,19261,18796,19261,40568,1.856160761501851
