날짜,시가,고가,저가,종가,거래량,등락률
2016-03-17,9593,9831,9593,9792,16209,3.2693524572874924
2016-03-18,9868,9873,9719,9750,3128,-0.428921568627451
2016-03-21,9807,9859,9704,9769,9292,0.19487179487179487
2016-03-22,9785,9810,9670,9699,4666,-0.7165523595045552
2016-03-23,9763,9768,9689,9734,8831,0.36086194453036397
2016-03-24,9695,9807,9695,9799,2402,0.6677624820217793
2016-03-25,9831,9958,9806,9908,7705,1.1123584039187673
2016-03-28,9954,9954,9831,9908,3482,0.0
2016-03-29,9939,10020,9897,10025,15137,1.1808639483245862
2016-03-30,10067,10238,10067,10239,13555,2.1346633416458856
2016-03-31,10276,10276,10133,10159,15397,-0.7813263013966207
2016-04-01,10155,10155,9893,9912,16146,-2.4313416674869575
2016-04-04,9922,10005,9869,10008,12035,0.9685230024213075
2016-04-05,9891,9929,9806,9889,5791,-1.189048760991207
2016-04-06,9819,9975,9814,9959,3914,0.7078572150874709
2016-04-07,10063,10063,9959,9977,6977,0.18074103825685311
2016-04-08,9930,9977,9804,9982,6146,0.050115265109752435
2016-04-11,10021,10043,9936,9939,6513,-0.4307753957122821
2016-04-12,9951,10053,9916,10055,5738,1.167119428513935
2016-04-14,10218,10366,10181,10365,13841,3.0830432620586774
2016-04-15,10359,10389,10086,10099,8999,-2.566328991799325
2016-04-18,9980,10145,9938,10151,5498,0.5149024655906526
2016-04-19,10204,10204,9977,10012,9207,-1.3693232193872524
2016-04-20,10068,10104,9839,9852,16888,-1.5980823012385137
2016-04-21,9959,9989,9730,9912,13203,0.6090133982947624
2016-04-22,9851,9882,9709,9774,6856,-1.3922518159806294
2016-04-25,9772,9854,9757,9847,9291,0.7468794761612442
2016-04-26,9824,9824,9607,9659,11143,-1.9092109271859452
2016-04-27,9656,9719,9625,9659,3628,0.0
2016-04-28,9714,9741,9530,9542,7211,-1.2113055181695829
2016-04-29,9533,9533,9348,9440,2053,-1.0689582896667364
2016-05-02,9408,9537,9400,9413,45607,-0.2860169491525424
2016-05-03,9440,9452,9401,9430,9196,0.1806012960798895
2016-05-04,9322,9344,9133,9197,7578,-2.4708377518557794
2016-05-09,9065,9100,8907,8954,7602,-2.6421659236707624
2016-05-10,8935,9120,8935,9113,13652,1.775742684833594
2016-05-11,9189,9299,9170,9303,5764,2.0849336113244816
2016-05-12,9282,9320,9236,9320,7723,0.18273675158551006
2016-05-13,9323,9323,9073,9148,5442,-1.8454935622317596
2016-05-16,9099,9192,9074,9171,1686,0.2514210756449497
2016-05-17,9263,9263,9163,9176,3772,0.05451968160505943
2016-05-18,9164,9164,8908,9035,8598,-1.536617262423714
2016-05-19,9030,9030,8898,8914,3337,-1.3392363032650803
2016-05-20,8878,8986,8848,8963,1650,0.549697105676464
2016-05-23,8973,9035,8917,9027,7133,0.7140466361709249
2016-05-24,8994,8994,8851,8855,1510,-1.9053949263321146
2016-05-25,8916,9030,8916,8958,728,1.1631846414455111
2016-05-26,8964,9044,8964,9030,902,0.8037508372404554
2016-05-27,9047,9285,9047,9255,6377,2.4916943521594686
2016-05-30,9248,9248,9108,9223,117883,-0.3457590491626148
2016-05-31,9036,9199,9036,9189,11263,-0.3686436083703784
2016-06-01,9089,9180,9035,9042,9944,-1.5997388181521384
2016-06-02,9040,9061,9008,9030,899,-0.13271400132714
2016-06-03,9047,9047,8889,8929,5525,-1.1184939091915835
2016-06-07,9025,9066,8999,9069,13830,1.5679247396124987
2016-06-08,9104,9153,9073,9157,18411,0.9703385158231338
2016-06-09,9177,9182,9076,9122,3590,-0.3822212515015835
2016-06-10,9081,9140,9081,9144,1653,0.24117518088138568
2016-06-13,8999,9025,8933,8973,7040,-1.8700787401574805
2016-06-14,8940,9002,8780,8855,6712,-1.315056279950964
2016-06-15,8813,8813,8695,8700,8935,-1.7504234895539243
2016-06-16,8721,8805,8669,8700,115613,0.0
2016-06-17,8770,8809,8634,8660,3132,-0.45977011494252873
2016-06-20,8747,8821,8738,8817,1905,1.8129330254041571
2016-06-21,8730,8730,8607,8624,6054,-2.1889531586707496
2016-06-22,8675,8825,8619,8813,7810,2.1915584415584415
2016-06-23,8740,8758,8651,8687,4630,-1.4297061159650517
2016-06-24,8788,8788,8243,8308,20421,-4.3628410268216875
2016-06-27,8080,8332,8068,8294,16333,-0.16851227732306212
2016-06-28,8202,8321,8153,8324,14206,0.36170725825898237
2016-06-29,8439,8619,8421,8588,5452,3.1715521383950023
2016-06-30,8713,8713,8545,8643,6327,0.6404285048905449
2016-07-01,8636,8636,8585,8619,1091,-0.2776813606386671
2016-07-04,8644,8846,8644,8851,6646,2.6917275786054065
2016-07-05,8845,8855,8736,8779,79032,-0.8134674048130154
2016-07-06,8722,8722,8497,8532,8230,-2.8135322929718645
2016-07-07,8586,8616,8515,8532,4750,0.0
2016-07-08,8501,8501,8392,8447,4345,-0.996249413970933
2016-07-11,8474,8624,8474,8628,1712,2.142772581981769
2016-07-12,8603,8611,8549,8615,90595,-0.15067222994900326
2016-07-13,8719,8794,8678,8727,5715,1.3000580383052815
2016-07-14,8691,8856,8662,8859,10638,1.512547267102097
2016-07-15,8883,8927,8808,8836,6466,-0.2596229822779095
2016-07-18,8848,8906,8835,8889,6820,0.599818922589407
2016-07-19,8916,8916,8774,8841,546,-0.5399932500843739
2016-07-20,8842,8883,8813,8836,905,-0.05655468838366701
2016-07-21,8863,8876,8726,8733,1370,-1.165685830692621
2016-07-22,8766,8766,8689,8770,6692,0.42368029314095956
2016-07-25,8722,8797,8722,8792,493,0.25085518814139107
2016-07-26,8788,8816,8742,8813,4511,0.23885350318471338
2016-07-27,8843,8843,8739,8760,2458,-0.6013843186202201
2016-07-28,8757,8779,8690,8695,4522,-0.7420091324200913
2016-07-29,8722,8839,8722,8809,9570,1.3110983323749281
2016-08-01,8824,8997,8814,8999,7509,2.1568850039732093
2016-08-02,8929,8953,8845,8877,2932,-1.3557061895766196
2016-08-03,8778,8778,8704,8742,4728,-1.5207840486650894
2016-08-04,8785,8844,8766,8792,627,0.5719514985129261
2016-08-05,8820,8856,8820,8859,304,0.762056414922657
2016-08-08,8869,8880,8810,8855,2841,-0.04515182300485382
2016-08-09,8850,9027,8850,9030,9408,1.9762845849802373
2016-08-10,9022,9154,9022,9117,4051,0.9634551495016611
2016-08-11,9086,9086,8952,8999,3890,-1.2942854008994187
2016-08-12,9108,9206,9046,9077,7690,0.8667629736637403
2016-08-16,9119,9163,9079,9106,7745,0.3194888178913738
2016-08-17,9077,9157,9065,9157,950,0.5600702833296728
2016-08-18,9154,9194,8993,9030,4797,-1.38691711259146
2016-08-19,9040,9073,8972,9066,4160,0.3986710963455149
2016-08-22,9078,9124,9031,9047,3506,-0.2095742333995147
2016-08-23,9035,9035,8858,8929,2716,-1.3042997678788548
2016-08-24,8930,8997,8899,8934,790,0.055997312129017804
2016-08-25,8883,8883,8823,8836,7409,-1.0969330646966644
2016-08-26,8864,8864,8799,8855,885,0.21502942507922135
2016-08-29,8801,8801,8634,8655,5156,-2.258610954263128
2016-08-30,8665,8752,8665,8700,1171,0.5199306759098787
2016-08-31,8694,8797,8694,8770,2262,0.8045977011494253
2016-09-01,8764,8838,8725,8836,1442,0.7525655644241733
2016-09-02,8831,8831,8730,8760,487,-0.8601177003168854
2016-09-05,8836,8919,8836,8924,8567,1.872146118721461
2016-09-06,8868,8868,8694,8738,5137,-2.0842671447781265
2016-09-07,8751,8783,8735,8738,4879,0.0
2016-09-08,8735,8776,8661,8722,6623,-0.18310826276035705
2016-09-09,8689,8731,8598,8733,3336,0.12611786287548726
2016-09-12,8561,8676,8561,8619,9437,-1.305393335623497
2016-09-13,8665,8677,8519,8544,2763,-0.8701705534284719
2016-09-19,8407,8577,8378,8579,890,0.4096441947565543
2016-09-20,8523,8575,8466,8572,6228,-0.08159459144422428
2016-09-21,8558,8666,8537,8669,360,1.1315912272515165
2016-09-22,8764,8764,8713,8733,2685,0.7382627754066213
2016-09-23,8745,8801,8745,8779,4221,0.5267376617428146
2016-09-26,8793,8863,8793,8846,7965,0.7631848729923681
2016-09-27,8838,8902,8782,8904,2600,0.6556635767578567
2016-09-28,8904,8904,8834,8851,274,-0.5952380952380952
2016-09-29,8977,9101,8977,9101,8759,2.8245396000451928
2016-09-30,9002,9065,8942,9038,8133,-0.6922316228985825
2016-10-04,9047,9075,9017,9023,6722,-0.16596592166408497
2016-10-05,8993,9075,8964,9027,2954,0.04433115371827552
2016-10-06,9021,9021,8919,8945,3293,-0.9083859532513571
2016-10-07,8919,8951,8903,8924,1552,-0.23476802683063164
2016-10-10,8957,9061,8942,8989,7252,0.7283729269385926
2016-10-11,9061,9123,9061,9101,13654,1.2459672933585493
2016-10-12,9061,9124,9003,9018,2176,-0.9119876936600374
2016-10-13,9014,9014,8867,8900,2248,-1.3084941228653804
2016-10-14,8928,8976,8916,8954,4718,0.6067415730337079
2016-10-17,9001,9056,8952,9035,2466,0.9046236318963593
2016-10-18,9039,9171,9039,9176,8466,1.5605976757055895
2016-10-19,9183,9206,9140,9157,90457,-0.2070619006102877
2016-10-20,9242,9312,9223,9251,225124,1.0265370754613956
2016-10-21,9246,9246,9177,9206,13303,-0.4864338990379418
2016-10-24,9203,9215,9159,9197,1547,-0.0977623289159244
2016-10-25,9194,9194,9111,9189,7085,-0.08698488637599218
