날짜,시가,고가,저가,종가,거래량,등락률
2017-11-30,10232,10267,10187,10212,70447,
2017-12-01,10252,10252,10182,10187,52181,-0.24481002741872307
2017-12-04,10182,10262,10182,10257,33429,0.687150289584765
2017-12-05,10232,10232,10202,10207,22172,-0.4874719703617042
2017-12-06,10247,10286,10242,10247,14780,0.3918879200548643
2017-12-07,10252,10267,10212,10232,25734,-0.14638430760222504
2017-12-08,10232,10232,10217,10227,8143,-0.0488663017982799
2017-12-11,10217,10237,10207,10232,20815,0.048890192627358955
2017-12-12,10232,10232,10187,10197,21947,-0.3420641125879593
2017-12-13,10217,10242,10197,10237,11730,0.3922722369324311
2017-12-14,10237,10296,10237,10262,16978,0.2442121715346293
2017-12-15,10242,10252,10222,10242,27922,-0.19489378288832587
2017-12-18,10242,10242,10202,10227,14865,-0.14645577035735208
2017-12-19,10217,10247,10202,10202,16760,-0.24445096313679476
2017-12-20,10187,10207,10147,10152,35521,-0.4900999803960008
2017-12-21,10122,10122,10044,10079,14562,-0.719070133963751
2017-12-22,10064,10079,10044,10069,40381,-0.09921619208254787
2017-12-26,10069,10089,10029,10029,28156,-0.39725891349687165
2017-12-27,10029,10059,10029,10059,8543,0.2991325157044571
2017-12-28,10094,10122,10079,10122,10448,0.6263048016701461
2018-01-02,10122,10132,10099,10104,30326,-0.17783046828689983
2018-01-03,10089,10137,10084,10122,18745,0.17814726840855108
2018-01-04,10122,10142,10069,10069,44614,-0.5236119344003161
2018-01-05,10069,10122,10064,10118,20814,0.4866421690336677
2018-01-08,10118,10172,10099,10157,12578,0.38545167029057126
2018-01-09,10157,10177,10127,10142,32114,-0.14768140198877622
2018-01-10,10162,10172,10113,10132,14711,-0.09859988168014197
2018-01-11,10109,10109,10069,10109,17786,-0.22700355309909198
2018-01-12,10109,10109,10044,10079,18910,-0.2967652586803838
2018-01-15,10079,10079,10054,10079,11809,0.0
2018-01-16,10069,10109,10064,10104,8733,0.2480404802063697
2018-01-17,10104,10113,10084,10113,10508,0.08907363420427554
2018-01-18,10094,10142,10094,10118,13403,0.04944131316127757
2018-01-19,10109,10118,10054,10079,13005,-0.38545167029057126
2018-01-22,10064,10064,10020,10049,15754,-0.2976485762476436
2018-01-23,10049,10089,10049,10084,11973,0.3482933625236342
2018-01-24,10113,10142,10109,10132,12660,0.4760015866719556
2018-01-25,10099,10118,10074,10089,13828,-0.4243979470983024
2018-01-26,10118,10142,10094,10132,7901,0.42620675983744677
2018-01-29,10142,10187,10127,10172,14928,0.3947887879984209
2018-01-30,10152,10177,10132,10137,10256,-0.3440817931576878
2018-01-31,10132,10172,10099,10113,13921,-0.23675643681562594
2018-02-01,10099,10132,10079,10118,12239,0.04944131316127757
2018-02-02,10099,10099,10039,10064,10949,-0.5337023127100218
2018-02-05,10054,10059,10020,10044,15374,-0.19872813990461047
2018-02-06,10044,10079,9976,10010,32142,-0.33851055356431703
2018-02-07,10010,10044,9911,9921,18893,-0.8891108891108892
2018-02-08,9921,9956,9896,9921,6555,0.0
2018-02-09,9876,9916,9785,9823,33888,-0.9878036488257231
2018-02-12,9921,9921,9770,9848,18012,0.25450473378804844
2018-02-13,9838,9891,9833,9858,9709,0.10154346060113728
2018-02-14,9863,9906,9848,9863,5784,0.050720227226617974
2018-02-19,9881,9881,9799,9843,20623,-0.20277805941397142
2018-02-20,9833,9848,9814,9823,5352,-0.203190084323885
2018-02-21,9814,9858,9814,9858,3303,0.35630662730326784
2018-02-22,9833,9858,9804,9848,5041,-0.10144045445323595
2018-02-23,9853,9871,9853,9871,2845,0.23354995938261575
2018-02-26,9871,9886,9858,9871,3606,0.0
2018-02-27,9871,9891,9853,9871,4057,0.0
2018-02-28,9863,9881,9843,9868,9658,-0.030392057542295615
2018-03-02,10262,10262,9799,9818,8897,-0.5066882853668423
2018-03-05,9809,9809,9770,9770,10462,-0.48889794255449176
2018-03-06,9775,9804,9770,9799,3034,0.2968270214943705
2018-03-07,9780,9799,9745,9780,7050,-0.19389733646290438
2018-03-08,9780,9818,9765,9818,16712,0.3885480572597137
2018-03-09,9818,9896,9818,9871,2555,0.5398248115705846
2018-03-12,9871,9876,9838,9868,2747,-0.030392057542295615
2018-03-13,9871,9916,9871,9916,3693,0.48642075395216866
2018-03-14,9896,9926,9896,9906,4202,-0.10084711577248891
2018-03-15,9886,9956,9876,9951,4070,0.4542701393095093
2018-03-16,9956,9966,9916,9941,6149,-0.10049241282283188
2018-03-19,9911,9941,9901,9921,2801,-0.20118700331958556
2018-03-20,9916,9926,9871,9921,23563,0.0
2018-03-21,9921,9931,9906,9931,1910,0.10079629069650238
2018-03-22,9911,9941,9906,9941,2667,0.1006947940791461
2018-03-23,9951,9971,9911,9926,5697,-0.15089025248968918
