,Open,High,Low,Close,Volume
2017-07-07,,,,76552.8203125,1619864.0
2017-07-10,,,,81854.765625,840451.0
2017-07-11,,,,77017.90625,422303.0
2017-07-12,,,,77669.015625,238407.0
2017-07-13,,,,75901.6875,218138.0
2017-07-14,,,,75343.6015625,195088.0
2017-07-17,,,,76459.796875,141369.0
2017-07-18,,,,77482.96875,165584.0
2017-07-19,,,,78692.1953125,223083.0
2017-07-20,,,,74878.5078125,183151.0
2017-07-21,,,,75529.625,92821.0
2017-07-24,,,,77203.9375,123728.0
2017-07-25,,,,77482.96875,116806.0
2017-07-26,,,,79157.2890625,121061.0
2017-07-27,,,,78320.140625,68816.0
2017-07-28,,,,78878.2421875,95657.0
2017-07-31,,,,76366.796875,77011.0
2017-08-01,,,,77669.015625,89377.0
2017-08-02,,,,77110.90625,62216.0
2017-08-03,,,,77855.046875,82484.0
2017-08-04,,,,79343.3125,63572.0
2017-08-07,,,,79622.3671875,40097.0
2017-08-08,,,,79064.2578125,40475.0
2017-08-09,,,,79622.3671875,38950.0
2017-08-10,,,,79343.3125,75619.0
2017-08-11,,,,80459.515625,60086.0
2017-08-14,,,,83157.0078125,106552.0
2017-08-16,,,,88645.0,239188.0
2017-08-17,,,,85761.46875,129941.0
2017-08-18,,,,88738.015625,94515.0
2017-08-21,,,,86040.53125,63817.0
2017-08-22,,,,87063.7109375,98102.0
2017-08-23,,,,87714.828125,78239.0
2017-08-24,,,,87342.765625,50476.0
2017-08-25,,,,85761.46875,60684.0
2017-08-28,,,,83343.046875,101907.0
2017-08-29,,,,84459.234375,74316.0
2017-08-30,,,,83994.15625,54611.0
2017-08-31,,,,81203.6484375,104709.0
2017-09-01,,,,81296.6640625,59116.0
2017-09-04,,,,80366.4921875,47663.0
2017-09-05,,,,79250.2890625,61294.0
2017-09-06,,,,80273.484375,103961.0
2017-09-07,,,,80831.59375,47383.0
2017-09-08,,,,81203.6484375,49147.0
2017-09-11,,,,85296.390625,98648.0
2017-09-12,,,,86040.53125,58778.0
2017-09-13,,,,86784.6640625,87262.0
2017-09-14,,,,89296.109375,150398.0
2017-09-15,,,,89854.21875,135228.0
2017-09-18,,,,90226.296875,55832.0
2017-09-19,,,,90319.296875,70406.0
2017-09-20,,,,90691.3671875,87986.0
2017-09-21,,,,92179.625,117504.0
2017-09-25,,,,89203.1015625,96876.0
2017-09-26,,,,89203.1015625,0.0
2017-09-27,,,,91156.453125,53926.0
2017-09-28,,,,88458.96875,210687.0
2017-09-29,,,,90226.296875,130721.0
2017-10-10,,,,88365.953125,121490.0
2017-10-11,,,,84645.265625,161332.0
2017-10-12,,,,87435.7734375,94760.0
2017-10-13,,,,87714.828125,58961.0
2017-10-16,,,,88179.9140625,41409.0
