current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,total_assets,current_liabilities,prev_current_liabilities,long_term_debt,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,roe,debt_ratio,opm,year
,,12411083242,11000000000,,,1884244264087,,,,1107643964364,11827649303,776600299723,,,,,,8775350689,12627014103,-12034779765,,,,,2021
,,37188731118,38053334575,,,3127366909549,,,,2158647314000,321722119,968719595549,,,,,,3732637782,12746447133,-688301536836,,,,,2022
,,83371358519,18000000000,,,4295626954241,,,,4295626954241,-11435596174,1321400311577,,,,,,4776022048,122505005287,12622334575,,,,,2023
,,53574663869,24743895445,,,4433542205994,,,,4433542205994,-65980825234,1264816356167,,,,,,2335602882,15277073528,-194999703759,,,,,2024
,,53672621611,10030000000,,,5433913123855,,,,5433913123855,560559996885,2020783201585,,,64534748213.0,50321093490.0,,33550467838,4931950608,-384857978878,,,,,2025
