current_assets,prev_current_assets,cash,short_term_investments,accounts_receivable,prev_accounts_receivable,inventory,ppe_net,prev_ppe_net,total_assets,current_liabilities,prev_current_liabilities,total_liabilities,retained_earnings,total_equity,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,sga_expense,prev_sga,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,capex,short_term_debt,long_term_debt,roe,debt_ratio,opm,year,depreciation
2045628324149,1950912696695,462032180911,125180559640,708683730271,613982558551,449372028472,3812464489580,4339626355496,7033887850957,2528074123798,2769541618818,4019139094333,863100159623,3014748756624,6934326039077,6196497585196,5537612971083,4880730804608,1396713067994,1315766780588,932115967580,865024324724,464597100414,450742455864,409523767484,333723096884,470646032734,-424030415711,1389722625817.0,225184898283,,,,2017,
2646338687623,2045628324149,633424834765,226841021925,853080208916,708683730271,601393598194,4200804280233,3812464489580,8113419644582,3309777623593,2528074123798,4816642570287,941673978287,3296777074295,7357069317679,6934326039077,6050547971108,5537612971083,1306521346571,1396713067994,951572495886,932115967580,354948850685,464597100414,229047439998,194337799958,167138871544,-648642973526,,161634248806,,,,2018,582120000.0
2527654525910,2646338687623,565224525556,206909456080,754615918332,853080208916,563593814437,4820387121503,4200804280233,8615722154016,3296304028174,3309777623593,5166235938778,986973904632,3449486215238,7350259327184,7357069317679,6013539115603,6050547971108,1336720211581,1306521346571,1030209562585,951572495886,306510648996,354948850685,133832622988,94582868669,434100886491,-515948496750,,389961296876,,,,2019,966810000.0
2678817951776,2527654525910,722888205176,82242523609,819172593676,754615918332,524105423855,5323375314163,4820387121503,9363676359930,3764295417244,3296304028174,5909022884991,1033019608609,3454653474939,7723311404491,7350259327184,6291357210727,6013539115603,1431954193764,1336720211581,1077920308836,1030209562585,354033884928,306510648996,225111627527,173596938777,670282130407,-669613099193,,174313562500,,,,2020,219300550.0
3721307089364,2678817951776,1068174210442,158144204116,987199339333,819172593676,714981861176,6241024491272,5323375314163,11578947867846,4603189404703,3764295417244,7325386740258,1343360570558,4253561127588,10808699503695,7723311404491,8882541050128,6291357210727,1926158453567,1431954193764,1181569846351,1077920308836,744588607216,354033884928,648802934515,588108633687,734673211140,-579456341649,,117570381229,,,,2021,60185965000.0
4756365991493,3756713435332,1261107033203,404421778410,1157239896587,1022650437348,957902194251,6695908549347,6241024491272,13268988298801,5220519370734,4657380565363,8209604806659,1576701262601,5059383492142,13775295981364,10619103875695,11525777257320,8695702716738,2249518724044,1923401158957,1308211949337,1181624973428,941306774707,741776185529,616005224415,569034806372,1244815935240,-994698389185,,269065323000,,,,2022,221085285000.0
4319465747358,4756365991493,1255474731605,237968880634,1144472040469,1157239896587,892585283480,7354478847022,6695908549347,13385071963493,5601961097786,5220519370734,13385071963493,1589046769855,5247513872393,12062362764029,13775295981364,10083995952955,11525777257320,1978366811074,2249518724044,1410822042482,1308211949337,567544768592,941306774707,49529887168,178306415028,900670962295,-299673015728,,4734165000,,,,2023,108194122840.0
4749366000000,4319466000000,1285932000000,457330000000,1169949000000,1144472000000,843306000000,9326089000000,7354479000000,16078958000000,6010822000000,5601961000000,16078958000000,1596196000000,5941952000000,12272959000000,12062363000000,10082969000000,10083996000000,2189990000000,1978367000000,1424510000000,1410822000000,765480000000,567545000000,-2775000000,174817000000,878774000000,-1025709000000,,281755000000,,,,2024,8000000.0
4835031000000,4749366000000,1459340000000,470089000000,1128902000000,1169949000000,807135000000,10260265000000,9326089000000,17008288000000,6383145000000,6010822000000,17008288000000,1813885000000,6277593000000,13214884000000,12272959000000,10878068000000,10082969000000,2336816000000,2189990000000,1449389000000,1424510000000,887427000000,765480000000,89051000000,513760000000,1141068000000,-521575000000,,149497000000,,,,2025,86805000000.0
