ppe_net,prev_ppe_net,accounts_receivable,prev_accounts_receivable,current_assets,prev_current_assets,inventory,cash,total_assets,retained_earnings,total_equity,long_term_debt,current_liabilities,prev_current_liabilities,short_term_debt,total_liabilities,revenue,prev_revenue,cost_of_goods_sold,prev_cogs,gross_profit,prev_gross_profit,operating_income,prev_operating_income,income_tax,net_income,cash_from_operations,depreciation,interest_expense,capex,roe,debt_ratio,opm,year
1817464495886,1757468057123,986086492,2731995338,758893568809,939740690203,194383140182,239537403190,2908864464708,1536514709660.0,1704895452316,276564600682,872341698912,735268871114,93934024577,1203969012392,2386269282408,2382377301315,1235596513271,1267654383680,1150672769137,1114722917635,326246561218,299320247808,307430205588,249049643991,340626404934,108041531089,25326229224,-43000075809,,,,2016
1803666746669,1817464495886,1584140622,986086492,695007321694,758893568809,174236220295,215153915915,4302849629124,2348374932673.0,3117905287723,329446063313,588775800651,872341698912,104443834030,1184944341401,112748277933,127964479476,85244091657,101434882705,27504186276,26529596771,4900910146,-1793961749,-40003791442,1486406463796,-8784025368,27709868330,8464755089,59052775722,,,,2017
1823994886314,1803666746669,1018218297,1584140622,803190611242,695007321694,180118278757,257785259294,4342134127722,151793558013.0,3176587954361,309611588418,543033402248,588775800651,105318222583,1165546173361,1997682828008,112748277933,1100287563880,85244091657,897395264128,27504186276,230512590959,4900910146,240931380226,118294877940,350515236757,109729367619,16034080578,-122399841903,,,,2018
1918489681968,1823994886314,2026997549,1018218297,760826107799,803190611242,172458676988,190319070246,4366333653455,145596954054.0,3337625446118,219776994743,495404877185,543033402248,6980143898,1028708207337,2103591289157,1997682828008,1175362310441,1100287563880,928228978716,897395264128,266659512732,230512590959,244117046904,156389780756,342587759965,117310442376,10940120978,-243030160988,,,,2019
1933053426296,1918489681968,1467405928,2026997549,942466720981,760826107799,204062042797,386729245179,4497550946110,192613298966.0,3494709905014,229674752578,438191612013,495404877185,19516962956,1002841041096,2280487378280,2103591289157,1317085603639,1175362310441,963401774641,928228978716,308628634832,266659512732,324276753881,218531878719,420303273309,126617813721,9019144907,-129927399437,,,,2020
2042973604188,1933053426296,1295883466,1467405928,1277244705780,942466720981,209362083053,568772628319,4961788340261,,3870846883349,69890942446,641043985604,438191612013,95734777670,1090941456912,242449213042,192613298966,1445964162178,1317085603639,969094987289,963401774641,315697398867,308628634832,320020107452,225328340769,446496362728,132823081595,9038653861,-273595695442,,,,2021
1986066120844,2042973604188,678027093,354296596,1584060873911,1277244705780,236448833969,630770041350,5102168431194,,4124954123258,0,663512598084,641043985604,105907382812,977214307936,542119764405,242449213042,1827978797221,1445964162178,1106644563417,969094987289,399824809538,315697398867,421165629185,323574721674,530055129168,141553177828,6547723540,-239595660842,,,,2022
1990734685876,1986066120844,196293597460,216997005763,1684449259398,1584060873911,260873003600,404731530788,5138300057884,339247756314.0,4319813022573,0,514479147567,663512598084,95812743556,5138300057884,-8763842047,1463737349,1837263188275,1827978797221,1116543077584,1106644563417,405463095002,399824809538,136727310646,290412989562,451802067767,3610948,6996034212,-523033188825,,,,2023
2053279692934,1990734685876,181224183518,196293597460,1735604960268,1684449259398,318271254541,535398625640,5933196336149,0.0,4878744091875,150148616411,707188930335,514479147567,505392088228,5933196336149,410399475566,339247756314,1959182510945,1837263188275,1236063347488,1116543077584,506240029274,405463095002,164891121214,479528618409,676298319370,602951239,4833945526,-517529015511,,,,2024
2102485589462,2053279692934,184883028945,181224183518,1977889740941,1735604960268,324243443866,353427526408,6183410426053,0.0,5155936347634,189500000000,707468257930,707188930335,484176302569,6183410426053,416070295619,410399475566,2166458526628,1959182510945,1226667672824,1236063347488,487728621983,506240029274,140220008745,337777860270,514071834748,250578241,5478089425,-613098765862,,,,2025
